配布場所,住所,緯度,経度,座標系,配布時間,備考
再生可能エネルギーPR館（エコっと白丸）,東京都西多摩郡奥多摩町白丸1-7,35.811116,139.123383,JGD2011,開所時間内（ホームページ）,再生可能エネルギーPR館 公式ホームページ（https://www.kotsu.metro.tokyo.jp/other/hatsuden/prkan/）
白丸ダム魚道窓口,東京都西多摩郡奥多摩町白丸1,35.811515,139.123510,JGD2011,開所時間内（ホームページ）,奥多摩町 公式ホームページ（https://www.town.okutama.tokyo.jp/gyosei/6/kankojoho/oshirase/2264.html）（魚道開放日のお知らせ）
奥多摩の風　はとのす荘フロント,東京都西多摩郡奥多摩町棚沢662,35.813363,139.126915,JGD2011,9時から16時まで（配布されない日がありますので、ホームページを参照）,奥多摩の風 はとのす荘 公式ホームページ（http://www.okutamas.co.jp/hatonosu/index.html）
