区市,発売所,フリーカード（IC）,フリーカード（磁気券）,学バス（磁気券）,多摩地域（磁気券）,都電連絡（IC）,都電連絡（磁気券）,地下鉄連絡（IC・磁気券）,ライナー連絡（IC・磁気券）,他社との共通（磁気券）
千代田区,東京駅丸の内南口発売所,〇,〇,〇,×,〇,〇,×,×,×
千代田区,都営地下鉄神保町駅▲,〇,×,×,×,〇,×,〇,〇,×
港区,品川駅港南口発売所,〇,〇,〇,×,〇,〇,×,×,×
港区,都営バス港南支所,〇,〇,〇,×,〇,〇,×,×,×
品川区,都営地下鉄三田駅▲,〇,〇,×,×,〇,〇,〇,〇,×
品川区,都営バス品川営業所,〇,〇,〇,×,〇,〇,×,×,×
品川区,都営地下鉄五反田駅▲,〇,×,×,×,〇,×,〇,〇,×
