区市,発売所,所在地,電話,営業時間,休業日,地図
青梅市,都営バス青梅支所,青梅市森下町554 都営バス「青梅車庫前」すぐ,0428-23-0288,7:00～20:00,無休,http://www.kotsu.metro.tokyo.jp/bus/branch/map/eigyo_oume.html
東大和市,都営バス大和操車所,東大和市奈良橋6-772-1 都営バス大和操車所内,042-561-3215,7:00～20:00,無休,
