国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成26年中の転入者数
総数,0,13000,総数,25369,27759,92067,65228,30084,27008,29551,27609,28202,27984,22986,25431,429278
総数,1,13100,区部,19909,21723,69279,47288,23476,21266,23179,21391,21606,21865,17857,19587,328426
総数,1,13200,市部,5362,5965,22558,17670,6546,5667,6285,6130,6508,6028,5056,5754,99529
総数,2,13300,郡部,53,39,115,68,38,34,50,32,57,44,40,54,624
総数,2,13350,島部,45,32,115,202,24,41,37,56,31,47,33,36,699
総数,1,13100,区部,19909,21723,69279,47288,23476,21266,23179,21391,21606,21865,17857,19587,328426
総数,4,13101,千代田区,172,153,640,687,188,133,294,179,191,192,162,153,3144
総数,4,13102,中央区,457,451,1498,1014,516,491,549,486,449,447,435,478,7271
総数,4,13103,港区,664,806,1877,1363,760,627,684,659,723,757,608,734,10262
総数,4,13104,新宿区,1027,978,3146,2172,1094,1007,1082,1184,1105,1052,820,933,15600
総数,4,13105,文京区,536,565,2105,1465,589,518,560,508,569,580,443,477,8915
総数,4,13106,台東区,509,525,1253,920,535,528,602,511,587,520,470,515,7475
総数,4,13107,墨田区,608,614,1871,1238,688,609,753,608,691,659,542,650,9531
総数,4,13108,江東区,1007,1109,3759,2279,1159,1001,1261,1081,1096,1077,877,959,16665
総数,4,13109,品川区,959,1079,2997,1855,1067,1075,1029,1009,963,1011,854,907,14805
総数,4,13110,目黒区,666,709,2126,1604,755,676,788,848,696,700,557,663,10788
総数,4,13111,大田区,1665,1860,6341,3899,2065,1788,1989,1795,1810,1866,1521,1519,28118
総数,4,13112,世田谷区,1784,1964,7052,4731,2201,1978,1957,2047,1944,1900,1734,1872,31164
総数,4,13113,渋谷区,546,621,1546,1272,629,557,570,579,520,589,485,521,8435
総数,4,13114,中野区,831,840,2817,1907,988,858,880,779,875,849,679,745,13048
総数,4,13115,杉並区,1175,1303,4554,3041,1368,1248,1298,1259,1279,1213,959,1047,19744
総数,4,13116,豊島区,814,904,2485,1726,917,895,909,739,897,891,738,759,12674
総数,4,13117,北区,752,943,2517,1921,980,889,972,874,876,892,745,778,13139
総数,4,13118,荒川区,367,410,1083,889,455,433,482,425,475,597,350,388,6354
総数,4,13119,板橋区,1089,1249,3883,2583,1332,1257,1353,1098,1099,1242,985,1201,18371
総数,4,13120,練馬区,1318,1356,5204,3477,1422,1416,1630,1442,1295,1359,1136,1239,22294
総数,4,13121,足立区,1091,1112,3407,2221,1272,1197,1213,1135,1278,1252,996,1135,17309
総数,4,13122,葛飾区,709,739,2231,1659,820,729,787,732,713,784,660,682,11245
