国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,平成26年中の死亡数
総数,0,13000,総数,12123,9519,9642,9404,8754,8178,8734,8499,8972,9311,8803,9587,111526
総数,1,13100,区部,8319,6513,6616,6458,6016,5624,5920,5858,6144,6351,5986,6531,76336
総数,1,13200,市部,3675,2888,2921,2847,2630,2448,2709,2531,2728,2812,2705,2929,33823
総数,2,13300,郡部,94,78,74,73,78,76,77,81,66,106,91,84,978
総数,2,13350,島部,35,40,31,26,30,30,28,29,34,42,21,43,389
総数,1,13100,区部,8319,6513,6616,6458,6016,5624,5920,5858,6144,6351,5986,6531,76336
総数,4,13101,千代田区,31,32,32,27,32,22,39,27,34,44,34,30,384
総数,4,13102,中央区,93,78,64,69,75,65,57,60,58,79,82,68,848
総数,4,13103,港区,184,147,154,136,97,106,120,125,136,123,144,138,1610
総数,4,13104,新宿区,286,194,226,188,193,178,203,180,229,226,195,235,2533
総数,4,13105,文京区,159,134,119,141,108,108,121,130,127,135,121,137,1540
総数,4,13106,台東区,198,165,191,153,185,140,135,152,146,148,168,201,1982
総数,4,13107,墨田区,230,201,231,201,175,201,202,185,191,203,177,231,2428
総数,4,13108,江東区,410,311,341,334,340,301,285,300,325,345,315,330,3937
総数,4,13109,品川区,343,243,246,248,250,231,229,251,232,232,251,257,3013
総数,4,13110,目黒区,188,165,149,197,147,156,145,135,147,170,157,163,1919
総数,4,13111,大田区,709,511,492,560,479,467,486,502,529,501,534,566,6336
総数,4,13112,世田谷区,720,546,533,555,505,494,507,481,515,561,510,474,6401
総数,4,13113,渋谷区,152,135,125,140,126,115,120,116,128,136,131,122,1546
総数,4,13114,中野区,300,224,204,232,222,206,208,197,220,217,202,248,2680
総数,4,13115,杉並区,467,339,375,340,350,314,344,346,366,381,315,371,4308
総数,4,13116,豊島区,344,234,294,258,188,191,182,172,201,189,163,220,2636
総数,4,13117,北区,389,275,284,313,295,256,268,283,256,253,262,312,3446
総数,4,13118,荒川区,240,207,200,150,172,135,168,145,165,175,158,179,2094
総数,4,13119,板橋区,478,442,415,408,378,364,401,403,372,392,338,419,4810
総数,4,13120,練馬区,573,495,488,426,429,428,448,420,443,462,449,443,5504
総数,4,13121,足立区,761,600,580,561,512,457,488,506,516,558,525,529,6593
総数,4,13122,葛飾区,457,356,370,363,323,321,345,335,369,361,296,401,4297
総数,4,13123,江戸川区,607,479,503,458,435,368,419,407,439,460,459,457,5491
総数,1,13200,市部,3675,2888,2921,2847,2630,2448,2709,2531,2728,2812,2705,2929,33823
総数,4,13201,八王子市,524,436,432,393,395,363,412,364,376,385,361,424,4865
総数,4,13202,立川市,186,126,134,136,120,98,110,107,123,115,104,118,1477
総数,4,13203,武蔵野市,120,111,83,99,88,89,93,83,97,92,73,91,1119
総数,4,13204,三鷹市,137,121,94,114,129,93,121,119,121,113,117,137,1416
総数,4,13205,青梅市,155,118,115,132,134,105,145,114,119,148,130,149,1564
総数,4,13206,府中市,220,149,157,170,155,121,150,138,158,181,165,145,1909
総数,4,13207,昭島市,105,76,77,105,69,85,71,73,99,85,72,72,989
総数,4,13208,調布市,197,135,132,114,125,139,143,116,129,136,148,147,1661
総数,4,13209,町田市,409,280,292,296,278,226,270,261,264,204,279,307,3366
総数,4,13210,小金井市,86,79,89,74,62,71,80,75,73,73,67,83,912
総数,4,13211,小平市,184,123,133,114,107,106,131,110,117,126,108,122,1481
総数,4,13212,日野市,167,110,152,139,101,101,108,79,110,123,118,123,1431
総数,4,13213,東村山市,135,109,118,124,110,109,108,81,116,118,110,101,1339
総数,4,13214,国分寺市,84,71,80,62,43,59,46,61,83,67,75,63,794
総数,4,13215,国立市,61,57,66,51,39,32,33,47,36,49,37,57,565
