国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,平成26年中の増減
総数,0,13000,総数,-9,-1233,-3195,2764,567,-373,722,-487,-206,498,-1326,751,-1527
総数,1,13100,区部,116,-367,-785,1435,530,-256,746,-25,-265,539,-856,537,1349
総数,1,13200,市部,-160,-914,-2023,992,22,-116,-34,-477,-29,-146,-518,191,-3212
総数,2,13300,郡部,45,34,-26,35,8,11,0,0,79,116,42,33,377
総数,2,13350,島部,-10,14,-361,302,7,-12,10,15,9,-11,6,-10,-41
総数,1,13100,区部,116,-367,-785,1435,530,-256,746,-25,-265,539,-856,537,1349
総数,4,13101,千代田区,-32,31,339,203,39,-5,361,26,-9,174,-24,15,1118
総数,4,13102,中央区,46,81,483,429,85,174,74,25,-61,115,150,114,1715
総数,4,13103,港区,101,40,-286,54,54,45,-120,-85,-40,206,191,182,342
総数,4,13104,新宿区,-70,-218,-566,-216,-147,-41,-241,-207,-101,-332,-378,-294,-2811
総数,4,13105,文京区,-33,-11,-155,-8,27,-35,24,-16,78,36,-46,64,-75
総数,4,13106,台東区,22,-52,-47,83,-75,10,-13,1,-92,-69,-91,-52,-375
総数,4,13107,墨田区,51,76,204,13,3,-23,2,-17,78,193,41,112,733
総数,4,13108,江東区,53,212,395,131,98,115,69,61,40,84,-14,28,1272
総数,4,13109,品川区,-72,73,-16,-162,-29,-9,-68,2,44,-147,-87,-77,-548
総数,4,13110,目黒区,-8,-86,-263,28,40,-125,-11,-104,-67,-14,-96,29,-677
総数,4,13111,大田区,6,46,-76,210,74,67,88,93,-70,126,96,-34,626
総数,4,13112,世田谷区,-112,-160,198,102,163,-143,-33,166,45,41,-93,-98,76
総数,4,13113,渋谷区,-13,130,43,-94,-41,-44,126,-32,-68,8,-143,-64,-192
総数,4,13114,中野区,83,-187,-52,108,-33,-164,-115,-46,-20,-25,-247,18,-680
総数,4,13115,杉並区,14,-150,-57,-65,-55,45,-50,-122,-214,-173,-173,-101,-1101
総数,4,13116,豊島区,-126,-91,22,140,32,-75,-6,8,-163,-30,-20,-2,-311
総数,4,13117,北区,68,308,40,58,74,-28,150,50,-6,-24,63,96,849
総数,4,13118,荒川区,30,15,-158,-133,57,-72,135,-84,-16,166,-14,29,-45
総数,4,13119,板橋区,29,-170,-204,134,174,126,71,78,51,121,96,311,817
総数,4,13120,練馬区,-42,-18,-370,-7,-114,51,154,-178,-6,-84,-90,121,-583
総数,4,13121,足立区,155,31,333,305,158,82,21,217,146,148,29,137,1762
総数,4,13122,葛飾区,133,-15,-19,214,-6,-91,47,31,25,64,29,-59,353
総数,4,13123,江戸川区,-167,-252,-573,-92,-48,-116,81,108,161,-45,-35,62,-916
総数,1,13200,市部,-160,-914,-2023,992,22,-116,-34,-477,-29,-146,-518,191,-3212
総数,4,13201,八王子市,-145,-306,-545,1,-122,-71,25,-159,-88,-39,-144,-56,-1649
総数,4,13202,立川市,-110,133,-58,131,80,62,39,26,40,37,-52,-91,237
総数,4,13203,武蔵野市,44,13,298,82,-10,-23,65,-49,-45,-38,-89,-36,212
総数,4,13204,三鷹市,-55,-99,-136,80,-76,57,112,86,219,66,91,-22,323
総数,4,13205,青梅市,61,-10,-91,-65,-48,21,-30,19,-14,-39,31,2,-163
総数,4,13206,府中市,37,-266,-345,259,-9,-38,-96,-307,-26,-580,-323,179,-1515
総数,4,13207,昭島市,33,-32,-46,-10,-5,-1,-65,41,30,58,23,18,44
総数,4,13208,調布市,-12,-159,-193,-9,-30,-113,-116,-5,-74,-4,-94,-47,-856
総数,4,13209,町田市,0,-74,-80,-55,-51,-36,-38,-102,-34,-47,-117,105,-529
総数,4,13210,小金井市,-23,-76,-125,-80,2,-39,-30,-40,-112,-5,2,-37,-563
総数,4,13211,小平市,-11,-52,-190,195,93,99,-1,-26,-47,-3,27,71,155
総数,4,13212,日野市,94,2,52,134,6,-12,37,76,101,65,149,32,736
総数,4,13213,東村山市,-76,36,-91,-7,1,-57,13,-5,14,5,-3,-64,-234
総数,4,13214,国分寺市,-20,-32,-40,0,59,-35,30,37,-77,-1,-63,-82,-224
総数,4,13215,国立市,-29,-77,-66,-13,-22,19,-39,-74,-4,27,-24,11,-291
総数,4,13218,福生市,-9,-75,-97,-20,-9,-73,15,-28,-12,10,-73,23,-348
総数,4,13219,狛江市,1,187,35,27,34,61,15,54,37,-3,51,60,559
総数,4,13220,東大和市,53,65,-23,338,84,63,22,6,55,50,33,7,753
総数,4,13221,清瀬市,31,20,-32,33,9,11,-36,16,34,75,52,18,231
総数,4,13222,東久留米市,31,20,-11,4,7,0,45,0,1,3,20,34,154
総数,4,13223,武蔵村山市,9,-31,-67,-41,39,10,9,13,19,32,-7,61,46
総数,4,13224,多摩市,-13,8,-15,-48,45,27,-5,-40,-11,12,-14,-80,-134
総数,4,13225,稲城市,-54,-26,-19,0,-22,-22,-37,-39,-23,56,24,33,-129
総数,4,13227,羽村市,-42,-24,-20,-17,-17,-19,-22,21,-41,13,-5,-1,-174
総数,4,13228,あきる野市,-4,21,35,18,34,51,38,-38,17,-63,4,35,148
総数,4,13229,西東京市,49,-80,-153,55,-50,-58,16,40,12,167,-17,18,-1
総数,1,13550,町村部,35,48,-387,337,15,-1,10,15,88,105,48,23,336
総数,2,13300,郡部,45,34,-26,35,8,11,0,0,79,116,42,33,377
総数,4,13303,瑞穂町,27,5,-28,14,-10,2,-1,-27,42,16,13,5,58
総数,4,13305,日の出町,14,24,5,28,10,5,3,23,42,91,17,26,288
総数,4,13307,檜原村,2,0,-2,-9,2,2,0,1,-3,4,7,-1,3
総数,4,13308,奥多摩町,2,5,-1,2,6,2,-2,3,-2,5,5,3,28
総数,2,13350,島部,-10,14,-361,302,7,-12,10,15,9,-11,6,-10,-41
総数,3,13360,大島支庁,-7,5,-206,182,3,-6,2,1,8,-14,7,4,-21
総数,4,13361,大島町,-4,1,-132,121,2,-1,-2,0,3,-9,3,2,-16
