国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成26年中の転入者数
総数,0,13000,総数,30383,33609,56700,46106,32769,32109,34570,31006,32037,35327,30714,35018,430348
総数,1,13100,区部,22766,25270,41057,33218,24608,24113,26018,23116,23681,26356,22992,25941,319136
総数,1,13200,市部,7454,8178,15282,12303,8029,7839,8390,7688,8133,8752,7563,8896,108507
総数,2,13300,郡部,135,117,209,157,101,135,124,116,190,199,134,154,1771
総数,2,13350,島部,28,44,152,428,31,22,38,86,33,20,25,27,934
総数,1,13100,区部,22766,25270,41057,33218,24608,24113,26018,23116,23681,26356,22992,25941,319136
総数,4,13101,千代田区,209,338,787,585,311,276,674,352,293,414,251,298,4788
総数,4,13102,中央区,549,635,1396,1184,672,707,641,545,529,671,691,667,8887
総数,4,13103,港区,972,1086,1588,1362,1063,1061,979,894,1028,1236,1128,1197,13594
総数,4,13104,新宿区,1444,1439,2151,2026,1494,1447,1575,1378,1518,1540,1257,1453,18722
総数,4,13105,文京区,645,772,1315,1047,706,647,801,682,838,808,650,820,9731
総数,4,13106,台東区,642,635,971,915,648,736,696,628,621,749,598,707,8546
総数,4,13107,墨田区,712,784,1406,935,723,730,785,669,754,981,703,864,10046
総数,4,13108,江東区,1076,1330,2531,1713,1188,1178,1229,1061,1094,1313,1017,1181,15911
総数,4,13109,品川区,1012,1244,1738,1231,1018,1107,1060,1080,1061,990,1024,1129,13694
総数,4,13110,目黒区,920,1014,1564,1303,1079,948,1061,964,911,1078,977,1143,12962
総数,4,13111,大田区,1153,1333,1973,1618,1205,1153,1255,1128,1165,1269,1170,1131,15553
総数,4,13112,世田谷区,1954,2152,3882,2939,2278,2069,2220,2210,2112,2227,2065,2265,28373
総数,4,13113,渋谷区,965,1081,1612,1245,1007,1049,1110,940,945,1017,908,1044,12923
総数,4,13114,中野区,1267,1251,1980,1693,1278,1187,1274,1227,1258,1343,1120,1343,16221
総数,4,13115,杉並区,1578,1846,2984,2230,1700,1777,1817,1598,1532,1707,1616,1759,22144
総数,4,13116,豊島区,1107,1180,1845,1655,1169,1172,1240,1103,1044,1325,1129,1251,15220
総数,4,13117,北区,866,1185,1410,1128,938,856,976,813,854,930,889,974,11819
総数,4,13118,荒川区,540,556,878,742,616,574,718,510,600,799,577,628,7738
総数,4,13119,板橋区,1144,1185,1865,1603,1286,1208,1259,1132,1152,1325,1165,1525,15849
総数,4,13120,練馬区,1355,1506,2350,2012,1472,1488,1676,1411,1429,1503,1451,1683,19336
総数,4,13121,足立区,955,942,1858,1427,1028,1054,981,1054,1030,1082,950,1027,13388
総数,4,13122,葛飾区,756,771,1298,1202,741,694,818,710,744,857,718,742,10051
総数,4,13123,江戸川区,945,1005,1675,1423,988,995,1173,1027,1169,1192,938,1110,13640
総数,1,13200,市部,7454,8178,15282,12303,8029,7839,8390,7688,8133,8752,7563,8896,108507
総数,4,13201,八王子市,612,581,1431,1075,624,653,778,594,646,697,614,716,9021
総数,4,13202,立川市,387,623,887,719,480,498,456,487,461,500,425,436,6359
総数,4,13203,武蔵野市,428,476,1165,737,448,432,513,425,427,486,394,476,6407
総数,4,13204,三鷹市,435,483,989,853,537,584,677,590,741,610,560,574,7633
総数,4,13205,青梅市,215,199,326,254,187,206,218,193,217,189,209,204,2617
総数,4,13206,府中市,478,501,945,1002,518,472,462,431,511,513,388,731,6952
総数,4,13207,昭島市,264,258,258,296,237,218,209,270,259,279,233,260,3041
総数,4,13208,調布市,547,561,978,783,564,524,522,545,511,615,493,617,7260
