国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,平成26年中の増減
総数,0,13000,総数,-2202,-1463,-1121,-610,453,1209,1602,1206,1527,1340,55,-182,1814
総数,1,13100,区部,-1217,-878,-601,-211,512,1016,1526,1055,1353,1326,372,226,4479
総数,1,13200,市部,-916,-507,-457,-342,1,257,132,204,234,115,-262,-325,-1866
総数,2,13300,郡部,-50,-47,-50,-46,-41,-51,-40,-49,-43,-71,-56,-51,-595
総数,2,13350,島部,-19,-31,-13,-11,-19,-13,-16,-4,-17,-30,1,-32,-204
総数,1,13100,区部,-1217,-878,-601,-211,512,1016,1526,1055,1353,1326,372,226,4479
総数,4,13101,千代田区,23,12,8,25,16,33,14,29,12,21,13,29,235
総数,4,13102,中央区,68,37,48,94,70,100,96,86,129,99,81,82,990
総数,4,13103,港区,93,60,99,76,115,146,187,138,154,154,96,123,1441
総数,4,13104,新宿区,-52,0,-39,-10,7,20,31,30,-3,31,-21,-12,-18
総数,4,13105,文京区,-16,-11,14,-3,55,60,82,36,52,34,39,35,377
総数,4,13106,台東区,-57,-54,-75,-26,-49,-7,19,3,-2,-2,-47,-75,-372
総数,4,13107,墨田区,-24,-51,-64,-36,14,-3,15,5,22,16,12,-36,-130
総数,4,13108,江東区,30,6,1,74,56,102,192,87,96,106,52,51,853
総数,4,13109,品川区,-34,25,50,35,23,40,88,58,66,85,60,41,537
総数,4,13110,目黒区,16,-4,50,10,54,77,97,89,70,99,51,62,671
総数,4,13111,大田区,-191,-76,-36,-89,-1,2,84,-38,36,72,-42,-82,-361
総数,4,13112,世田谷区,-42,26,82,59,165,162,269,190,208,234,95,173,1621
総数,4,13113,渋谷区,9,7,31,13,66,44,56,83,51,40,44,54,498
総数,4,13114,中野区,-92,-66,-24,-36,-9,48,25,7,14,22,9,-27,-129
総数,4,13115,杉並区,-84,-47,-54,22,28,69,53,81,69,57,50,12,256
総数,4,13116,豊島区,-148,-80,-146,-82,-14,-8,3,32,13,20,3,-26,-433
総数,4,13117,北区,-141,-108,-72,-91,-63,-28,0,-34,-6,33,-31,-69,-610
総数,4,13118,荒川区,-73,-44,-34,-22,-41,22,4,18,9,7,-20,-12,-186
総数,4,13119,板橋区,-75,-139,-45,-55,0,0,-19,-22,63,32,23,-59,-296
総数,4,13120,練馬区,-12,-35,-61,80,118,59,84,127,140,107,10,56,673
総数,4,13121,足立区,-257,-199,-178,-160,-77,2,15,-31,38,-60,-106,-28,-1041
総数,4,13122,葛飾区,-101,-84,-103,-85,-55,-13,8,-9,-7,5,-18,-117,-579
総数,4,13123,江戸川区,-57,-53,-53,-4,34,89,123,90,129,114,19,51,482
総数,1,13200,市部,-916,-507,-457,-342,1,257,132,204,234,115,-262,-325,-1866
総数,4,13201,八王子市,-187,-130,-150,-101,-114,-56,-67,-64,-23,-22,-86,-122,-1122
総数,4,13202,立川市,-63,-24,-7,-27,-31,37,11,18,12,22,0,-1,-53
総数,4,13203,武蔵野市,-11,-6,30,-10,14,29,22,24,26,34,27,22,201
総数,4,13204,三鷹市,4,-21,14,8,-3,44,22,3,34,29,-4,-13,117
総数,4,13205,青梅市,-60,-59,-50,-63,-54,-41,-63,-32,-35,-68,-56,-87,-668
総数,4,13206,府中市,-33,1,17,-4,28,81,44,72,43,39,20,39,347
総数,4,13207,昭島市,-30,-6,0,-31,6,-20,22,3,-23,0,-6,9,-76
総数,4,13208,調布市,-7,27,-5,67,59,37,46,51,62,45,46,20,448
総数,4,13209,町田市,-152,-40,-77,-61,-58,46,-15,11,23,-15,-27,-69,-434
総数,4,13210,小金井市,11,7,-9,7,44,33,10,16,26,25,15,18,203
総数,4,13211,小平市,-68,-7,1,16,18,16,19,29,64,31,-13,-7,99
総数,4,13212,日野市,-48,-3,-31,-21,32,17,-3,36,55,20,-5,-16,33
総数,4,13213,東村山市,-43,-31,-36,-51,-20,-25,-13,17,-30,-13,-28,-15,-288
総数,4,13214,国分寺市,-9,7,-10,14,36,9,38,22,2,34,-16,17,144
総数,4,13215,国立市,-24,-5,-25,-15,15,4,24,2,10,-2,20,-1,3
総数,4,13218,福生市,-41,-9,-15,-17,-27,8,2,9,-8,-21,-21,-12,-152
総数,4,13219,狛江市,1,-13,-6,-5,-13,9,12,10,-2,19,-2,6,16
総数,4,13220,東大和市,-8,-17,2,22,23,11,2,-9,7,-16,4,4,25
総数,4,13221,清瀬市,-24,-34,-23,-5,-4,-10,-8,-41,-31,-20,-28,-29,-257
