国籍区分,地域階層,地域コード,地域,1月中／出生数,2月中／出生数,3月中／出生数,4月中／出生数,5月中／出生数,6月中／出生数,7月中／出生数,8月中／出生数,9月中／出生数,10月中／出生数,11月中／出生数,12月中／出生数,平成26年中の出生数
総数,0,13000,総数,9921,8056,8521,8794,9207,9387,10336,9705,10499,10651,8858,9405,113340
総数,1,13100,区部,7102,5635,6015,6247,6528,6640,7446,6913,7497,7677,6358,6757,80815
総数,1,13200,市部,2759,2381,2464,2505,2631,2705,2841,2735,2962,2927,2443,2604,31957
総数,2,13300,郡部,44,31,24,27,37,25,37,32,23,35,35,33,383
総数,2,13350,島部,16,9,18,15,11,17,12,25,17,12,22,11,185
総数,1,13100,区部,7102,5635,6015,6247,6528,6640,7446,6913,7497,7677,6358,6757,80815
総数,4,13101,千代田区,54,44,40,52,48,55,53,56,46,65,47,59,619
総数,4,13102,中央区,161,115,112,163,145,165,153,146,187,178,163,150,1838
総数,4,13103,港区,277,207,253,212,212,252,307,263,290,277,240,261,3051
総数,4,13104,新宿区,234,194,187,178,200,198,234,210,226,257,174,223,2515
総数,4,13105,文京区,143,123,133,138,163,168,203,166,179,169,160,172,1917
総数,4,13106,台東区,141,111,116,127,136,133,154,155,144,146,121,126,1610
総数,4,13107,墨田区,206,150,167,165,189,198,217,190,213,219,189,195,2298
総数,4,13108,江東区,440,317,342,408,396,403,477,387,421,451,367,381,4790
総数,4,13109,品川区,309,268,296,283,273,271,317,309,298,317,311,298,3550
総数,4,13110,目黒区,204,161,199,207,201,233,242,224,217,269,208,225,2590
総数,4,13111,大田区,518,435,456,471,478,469,570,464,565,573,492,484,5975
総数,4,13112,世田谷区,678,572,615,614,670,656,776,671,723,795,605,647,8022
総数,4,13113,渋谷区,161,142,156,153,192,159,176,199,179,176,175,176,2044
総数,4,13114,中野区,208,158,180,196,213,254,233,204,234,239,211,221,2551
総数,4,13115,杉並区,383,292,321,362,378,383,397,427,435,438,365,383,4564
総数,4,13116,豊島区,196,154,148,176,174,183,185,204,214,209,166,194,2203
総数,4,13117,北区,248,167,212,222,232,228,268,249,250,286,231,243,2836
総数,4,13118,荒川区,167,163,166,128,131,157,172,163,174,182,138,167,1908
総数,4,13119,板橋区,403,303,370,353,378,364,382,381,435,424,361,360,4514
総数,4,13120,練馬区,561,460,427,506,547,487,532,547,583,569,459,499,6177
総数,4,13121,足立区,504,401,402,401,435,459,503,475,554,498,419,501,5552
総数,4,13122,葛飾区,356,272,267,278,268,308,353,326,362,366,278,284,3718
総数,4,13123,江戸川区,550,426,450,454,469,457,542,497,568,574,478,508,5973
総数,1,13200,市部,2759,2381,2464,2505,2631,2705,2841,2735,2962,2927,2443,2604,31957
総数,4,13201,八王子市,337,306,282,292,281,307,345,300,353,363,275,302,3743
総数,4,13202,立川市,123,102,127,109,89,135,121,125,135,137,104,117,1424
総数,4,13203,武蔵野市,109,105,113,89,102,118,115,107,123,126,100,113,1320
総数,4,13204,三鷹市,141,100,108,122,126,137,143,122,155,142,113,124,1533
総数,4,13205,青梅市,95,59,65,69,80,64,82,82,84,80,74,62,896
総数,4,13206,府中市,187,150,174,166,183,202,194,210,201,220,185,184,2256
総数,4,13207,昭島市,75,70,77,74,75,65,93,76,76,85,66,81,913
総数,4,13208,調布市,190,162,127,181,184,176,189,167,191,181,194,167,2109
総数,4,13209,町田市,257,240,215,235,220,272,255,272,287,189,252,238,2932
総数,4,13210,小金井市,97,86,80,81,106,104,90,91,99,98,82,101,1115
総数,4,13211,小平市,116,116,134,130,125,122,150,139,181,157,95,115,1580
総数,4,13212,日野市,119,107,121,118,133,118,105,115,165,143,113,107,1464
総数,4,13213,東村山市,92,78,82,73,90,84,95,98,86,105,82,86,1051
総数,4,13214,国分寺市,75,78,70,76,79,68,84,83,85,101,59,80,938
総数,4,13215,国立市,37,52,41,36,54,36,57,49,46,47,57,56,568
総数,4,13218,福生市,33,36,29,35,26,41,42,45,40,36,28,36,427
総数,4,13219,狛江市,56,41,49,42,51,61,69,64,54,73,48,64,672
総数,4,13220,東大和市,65,38,54,65,65,60,61,54,60,50,64,56,692
総数,4,13221,清瀬市,44,36,32,43,50,42,39,33,45,50,31,39,484
総数,4,13222,東久留米市,83,68,78,76,84,83,84,76,69,85,64,76,926
総数,4,13223,武蔵村山市,45,41,46,44,40,47,43,38,55,46,36,42,523
総数,4,13224,多摩市,108,75,92,82,100,88,93,84,96,88,68,100,1074
総数,4,13225,稲城市,59,49,49,45,64,72,63,66,74,86,49,65,741
総数,4,13227,羽村市,35,28,38,33,40,39,35,40,33,31,37,36,425
総数,4,13228,あきる野市,60,48,56,65,50,47,40,55,43,50,47,45,606
総数,4,13229,西東京市,121,110,125,124,134,117,154,144,126,158,120,112,1545
総数,1,13550,町村部,60,40,42,42,48,42,49,57,40,47,57,44,568
総数,2,13300,郡部,44,31,24,27,37,25,37,32,23,35,35,33,383
総数,4,13303,瑞穂町,25,20,16,12,26,15,28,16,15,20,14,23,230
総数,4,13305,日の出町,15,11,7,13,11,9,6,13,8,13,16,9,131
