"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","3年未満[人]","3年以上5年未満[人]","5年以上10年未満[人]","10年以上20年未満[人]","引っ越してきてから20年以上[人]","生まれてからずっと港区に住んでいる[人]","無回答[人]"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","全体",,"558","69","44","108","159","120","53","5"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","男性（計）","231","31","19","45","67","44","24","1"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","男性 18～29歳","13","6","2","0","2","0","3","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","男性 30～39歳","38","17","3","10","4","0","4","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","男性 40～49歳","50","2","7","20","14","3","4","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","男性 50～59歳","47","2","2","7","23","10","3","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","男性 60～69歳","42","4","1","4","11","19","3","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","男性 70歳以上","40","0","4","4","13","11","7","1"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","男性 無回答","1","0","0","0","0","1","0","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","女性（計）","313","37","24","59","90","73","27","3"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","女性 18～29歳","26","11","2","5","2","2","4","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","女性 30～39歳","49","16","10","16","3","1","3","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","女性 40～49歳","78","4","7","19","33","11","4","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","女性 50～59歳","62","4","5","6","27","15","5","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","女性 60～69歳","56","0","0","11","18","21","6","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","女性 70歳以上","42","2","0","2","7","23","5","3"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","性・年代別","無回答","14","1","1","4","2","3","2","1"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","職業別","自営業主・家族従業","86","3","7","16","22","27","11","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","職業別","会社員・団体職員・公務員","243","46","22","60","71","33","11","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","職業別","アルバイト・パートタイマー","35","3","4","5","14","4","5","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","職業別","家事専業","55","5","4","12","15","17","1","1"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","職業別","学生","13","0","3","2","2","1","5","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","職業別","無職","81","5","3","5","20","31","14","3"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","職業別","その他","31","5","0","5","14","3","4","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","職業別","無回答","14","2","1","3","1","4","2","1"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","居住地区別","芝地区","86","9","8","21","23","14","9","2"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","居住地区別","麻布地区","87","13","6","22","17","22","7","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","居住地区別","赤坂地区","81","17","10","9","15","23","7","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","居住地区別","高輪地区","146","11","10","22","45","34","22","2"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","居住地区別","芝浦港南地区","139","18","8","30","57","22","4","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","居住地区別","無回答","19","1","2","4","2","5","4","1"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","住居形態別","持家（一戸建）","64","0","2","5","11","28","17","1"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","住居形態別","持家（マンション）","267","13","22","51","93","61","25","2"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","住居形態別","借家（一戸建）","9","1","1","1","2","2","2","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","151","50","13","36","38","12","2","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","26","1","1","4","8","10","2","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","0","1","5","1","3","1","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","住居形態別","社宅・公務員宿舎","10","3","2","2","1","1","1","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","1","1","2","0","0","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","住居形態別","その他","5","0","0","0","2","1","1","1"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","住居形態別","無回答","11","1","1","3","1","2","2","1"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","定住意向別","ずっと住み続けていたい","279","17","15","45","79","81","40","2"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","定住意向別","当分は住んでいたい","203","33","22","46","65","30","7","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","16","2","12","8","6","1","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","1","1","0","2","1","0","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","13","2","4","4","1","0","2","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","定住意向別","わからない","10","0","0","1","4","2","3","0"
"202203","定住意向","Q1. あなたは、港区に住んで何年になりますか。（１つ選択）","定住意向別","無回答","3","0","0","0","0","0","0","3"

"第33回港区民世論調査クロス集計表・定住意向Q1","Ver202203",,,,,,,,,,,
