項目,区分,（令和元年）指摘,（令和元年）意見・要望,（令和元年）合計,（平成30年）指摘,（平成30年）意見・要望,（平成30年）合計
収入,会計処理（収入）,1,,1,1,1,2
収入,債権管理,,,,5,,5
支出,契約（仕様・積算）,,,,4,,4
支出,契約（履行確認）,2,,2,5,,5
支出,契約（その他）,2,1,3,12,,12
支出,会計処理（支出）,2,,2,1,,1
支出,補助金等,34,,34,22,3,25
財産,財産管理,2,1,3,3,,3
財産,物品管理,,,,3,,3
その他,情報管理,,,,4,,4
その他,その他,1,,1,6,,6
合計,,44,2,46,66,4,70
