区分・団体名,指摘（団体）,指摘（局及び団体）,指摘（局）,意見・要望,合計
（補助金）学校法人８４団体,,1,,,1
（補助金）東京都国際交流委員会,1,,,,1
（補助金）京王電鉄株式会社など３団体,,,,,
（補助金）社会福祉法人等１０１団体,,27,6,,33
（補助金）公益財団法人東京都農林水産振興財団 ,,,,,
（補助金）東京商工会議所など９団体,,,,,
（補助金）全国地方新聞社連合会 ,,,2,,2
（補助金）一般財団法人自警会,,,,,
（出資）公益財団法人東京都島しょ振興公社 ,,,,1,1
（出資）一般財団法人東京都人材支援事業団 ,,,,,
（出資）公益財団法人東京税務協会,1,,,,1
（出資）首都高速道路株式会社,,,,,
（出資）多摩都市モノレール株式会社,,,,,
（出資）日本自動車ターミナル株式会社,,,,,
（出資）公益財団法人城北労働・福祉センター,1,,,,1
（出資）東京食肉市場株式会社,,,,,
（出資）東京港埠頭株式会社,1,,,,1
（出資）東京交通サービス株式会社,1,1,2,,4
（出資）公益財団法人暴力団追放運動推進都民センター,,,,1,1
合計,5,29,10,2,46
,,,,,
,,,,,
,,,,,
