平成19年12月1日現在,,,
年  齢,計,男,女
総  数,174579,86308,88271
0～4,7045,3541,3504
0,1427,740,687
1,1438,698,740
2,1428,736,692
3,1349,648,701
4,1403,719,684
5～9,7179,3670,3509
5,1441,743,698
6,1359,696,663
7,1450,737,713
8,1450,736,714
9,1479,758,721
10～14,7039,3597,3442
10,1397,705,692
11,1443,730,713
12,1398,706,692
13,1458,759,699
14,1343,697,646
15～19,7205,3693,3512
15,1334,667,667
16,1322,671,651
17,1282,660,622
18,1463,761,702
19,1804,934,870
20～24,11859,5892,5967
20,1900,963,937
21,2097,1037,1060
22,2300,1146,1154
23,2705,1330,1375
24,2857,1416,1441
25～29,14785,7563,7222
25,2882,1450,1432
26,2841,1438,1403
27,2917,1463,1454
28,3087,1639,1448
29,3058,1573,1485
30～34,15615,8088,7527
30,2964,1510,1454
31,3030,1587,1443
32,3027,1597,1430
33,3180,1651,1529
34,3414,1743,1671
35～39,16007,8228,7779
35,3335,1675,1660
36,3232,1676,1556
37,3218,1620,1598
38,3166,1678,1488
39,3056,1579,1477
40～44,13583,7086,6497
40,3053,1595,1458
41,2307,1179,1128
42,3029,1596,1433
43,2660,1421,1239
44,2534,1295,1239
45～49,11198,5794,5404
45,2459,1249,1210
46,2285,1208,1077
47,2188,1118,1070
48,2202,1161,1041
49,2064,1058,1006
50～54,9627,4905,4722
50,1941,982,959
51,1873,945,928
52,1853,923,930
53,1969,1043,926
54,1991,1012,979
55～59,11803,6007,5796
55,2005,1047,958
56,2147,1123,1024
57,2326,1177,1149
58,2593,1312,1281
59,2732,1348,1384
60～64,10033,4929,5104
60,2605,1270,1335
61,1729,851,878
62,1658,809,849
63,2024,1016,1008
64,2017,983,1034
65～69,8938,4159,4779
65,1976,941,1035
66,2004,941,1063
67,1794,852,942
68,1568,682,886
69,1596,743,853
70～74,7894,3530,4364
70,1676,787,889
71,1683,698,985
72,1631,746,885
73,1487,658,829
74,1417,641,776
75～79,6640,2851,3789
75,1546,676,870
76,1419,590,829
77,1312,592,720
78,1165,512,653
79,1198,481,717
80～84,4379,1687,2692
80,1013,428,585
81,997,405,592
82,896,354,542
83,793,270,523
84,680,230,450
85～89,2369,726,1643
85,636,220,416
86,543,144,399
87,513,150,363
88,351,106,245
89,326,106,220
90～94,1058,293,765
90,325,86,239
91,226,55,171
92,197,61,136
93,188,54,134
94,122,37,85
95～103,318,67,251
95,104,18,86
96,76,20,56
97,50,11,39
98,33,8,25
99,19,2,17
100,13,3,10
101,11,1,10
102,7,3,4
103,5,1,4
104以上,5,2,3
不詳者,0,0,0
平成19年11月1日現在,,,
年  齢,計,男,女
総  数,174556,86301,88255
0～4,7068,3553,3515
0,1429,739,690
1,1468,718,750
2,1400,719,681
3,1354,663,691
4,1417,714,703
