平成20年12月1日現在,,,
年  齢,計,男,女
総  数,175705,86830,88875
0～4,7113,3577,3536
0,1456,749,707
1,1438,737,701
2,1427,700,727
3,1422,726,696
4,1370,665,705
5～9,7109,3610,3499
5,1392,710,682
6,1451,744,707
7,1353,680,673
8,1460,738,722
9,1453,738,715
10～14,7242,3682,3560
10,1484,757,727
11,1416,714,702
12,1457,731,726
13,1414,714,700
14,1471,766,705
15～19,7174,3708,3466
15,1359,707,652
16,1358,685,673
17,1331,681,650
18,1394,726,668
19,1732,909,823
20～24,11354,5693,5661
20,1944,1006,938
21,1999,990,1009
22,2194,1064,1130
23,2472,1245,1227
24,2745,1388,1357
25～29,14542,7422,7120
25,2881,1463,1418
26,2898,1461,1437
27,2785,1401,1384
28,2907,1494,1413
29,3071,1603,1468
30～34,15258,7915,7343
30,3043,1573,1470
31,2946,1498,1448
32,3054,1593,1461
33,3069,1619,1450
34,3146,1632,1514
35～39,16341,8367,7974
35,3441,1758,1683
36,3298,1651,1647
37,3247,1677,1570
38,3213,1625,1588
39,3142,1656,1486
40～44,14061,7321,6740
40,3047,1555,1492
41,3029,1570,1459
42,2308,1182,1126
43,3021,1586,1435
44,2656,1428,1228
45～49,11694,6047,5647
45,2504,1271,1233
46,2481,1261,1220
47,2297,1221,1076
48,2209,1129,1080
49,2203,1165,1038
50～54,9640,4906,4734
50,2039,1035,1004
51,1921,967,954
52,1874,950,924
53,1846,914,932
54,1960,1040,920
55～59,10995,5627,5368
55,1985,1007,978
56,1987,1040,947
57,2139,1124,1015
58,2306,1160,1146
59,2578,1296,1282
60～64,10614,5214,5400
60,2698,1326,1372
61,2571,1245,1326
62,1699,836,863
63,1637,801,836
64,2009,1006,1003
65～69,9259,4325,4934
65,1993,971,1022
66,1960,928,1032
67,1982,923,1059
68,1773,834,939
69,1551,669,882
70～74,7936,3544,4392
70,1564,719,845
71,1640,759,881
72,1664,692,972
73,1597,725,872
74,1471,649,822
75～79,6673,2897,3776
75,1385,620,765
76,1505,647,858
77,1380,572,808
78,1272,568,704
79,1131,490,641
80～84,4696,1835,2861
80,1152,452,700
81,991,416,575
82,946,378,568
83,874,340,534
84,733,249,484
85～89,2521,761,1760
85,638,211,427
86,590,196,394
87,504,129,375
88,473,132,341
89,316,93,223
90～94,1134,306,828
90,309,93,216
91,287,75,212
92,200,44,156
93,174,48,126
94,164,46,118
95～103,342,73,269
95,96,28,68
96,94,15,79
97,63,14,49
98,35,8,27
99,24,4,20
100,13,1,12
101,4,0,4
102,8,0,8
103,5,3,2
104以上,7,0,7
不詳者,0,0,0
平成20年11月1日現在,,,
年  齢,計,男,女
総  数,175803,86887,88916
0～4,7109,3580,3529
0,1456,750,706
1,1429,728,701
2,1459,716,743
3,1397,715,682
4,1368,671,697
5～9,7107,3605,3502
5,1403,704,699
6,1444,741,703
7,1382,695,687
8,1438,734,704
9,1440,731,709
10～14,7242,3682,3560
10,1493,756,737
11,1414,715,699
12,1460,730,730
13,1416,721,695
14,1459,760,699
15～19,7244,3745,3499
15,1366,700,666
16,1365,690,675
17,1321,678,643
18,1432,746,686
19,1760,931,829
20～24,11393,5707,5686
20,1939,1002,937
21,1993,987,1006
22,2225,1075,1150
23,2490,1255,1235
24,2746,1388,1358
25～29,14596,7460,7136
25,2920,1478,1442
26,2883,1469,1414
27,2779,1406,1373
28,2974,1544,1430
29,3040,1563,1477
30～34,15327,7931,7396
30,3023,1559,1464
31,2957,1516,1441
32,3084,1598,1486
33,3044,1607,1437
34,3219,1651,1568
35～39,16316,8367,7949
35,3399,1739,1660
36,3323,1682,1641
37,3258,1661,1597
38,3182,1616,1566
39,3154,1669,1485
40～44,14031,7308,6723
40,3055,1551,1504
41,2976,1569,1407
42,2367,1204,1163
43,2958,1550,1408
44,2675,1434,1241
45～49,11658,6032,5626
45,2492,1274,1218
46,2482,1259,1223
47,2279,1202,1077
48,2197,1120,1077
49,2208,1177,1031
50～54,9636,4897,4739
50,2028,1025,1003
51,1923,960,963
52,1864,943,921
53,1850,925,925
54,1971,1044,927
55～59,11051,5645,5406
55,1981,1010,971
56,1981,1035,946
57,2155,1133,1022
58,2321,1165,1156
59,2613,1302,1311
60～64,10586,5211,5375
60,2682,1328,1354
61,2545,1233,1312
62,1625,804,821
63,1677,823,854
64,2057,1023,1034
65～69,9203,4292,4911
65,1947,937,1010
66,2013,961,1052
67,1965,926,1039
68,1764,820,944
69,1514,648,866
70～74,7974,3568,4406
70,1619,759,860
71,1626,741,885
72,1657,687,970
73,1586,728,858
74,1486,653,833
75～79,6664,2894,3770
75,1397,622,775
76,1473,635,838
77,1386,579,807
78,1279,569,710
79,1129,489,640
80～84,4676,1826,2850
80,1121,437,684
81,1006,429,577
82,946,374,572
83,868,335,533
84,735,251,484
85～89,2518,765,1753
85,634,210,424
86,583,192,391
87,518,137,381
88,459,124,335
89,324,102,222
90～94,1127,302,825
90,305,84,221
91,286,75,211
92,196,44,152
93,175,49,126
94,165,50,115
95～103,338,70,268
95,95,24,71
96,91,15,76
97,63,15,48
98,39,7,32
99,19,4,15
100,16,2,14
101,4,0,4
102,7,1,6
103,4,2,2
104以上,7,0,7
不詳者,0,0,0
平成20年10月1日現在,,,
総  数,175804,86910,88894
0～4,7111,3577,3534
0,1436,730,706
1,1440,746,694
2,1455,708,747
3,1372,702,670
4,1408,691,717
5～9,7077,3591,3486
5,1386,689,697
6,1437,740,697
7,1400,705,695
8,1425,722,703
9,1429,735,694
10～14,7249,3680,3569
10,1516,762,754
11,1412,719,693
12,1458,720,738
13,1401,714,687
14,1462,765,697
15～19,7278,3779,3499
15,1360,710,650
16,1352,677,675
17,1312,672,640
18,1484,779,705
19,1770,941,829
20～24,11472,5733,5739
20,1947,993,954
21,2002,989,1013
22,2245,1084,1161
23,2505,1264,1241
24,2773,1403,1370
25～29,14640,7496,7144
25,2934,1484,1450
26,2892,1467,1425
27,2789,1416,1373
28,3008,1563,1445
29,3017,1566,1451
30～34,15382,7961,7421
30,3040,1558,1482
31,2979,1536,1443
32,3069,1568,1501
33,3037,1621,1416
34,3257,1678,1579
35～39,16304,8373,7931
35,3405,1739,1666
36,3338,1710,1628
37,3211,1632,1579
38,3181,1614,1567
39,3169,1678,1491
40～44,13997,7288,6709
40,3015,1535,1480
41,2962,1548,1414
42,2443,1250,1193
43,2896,1528,1368
44,2681,1427,1254
45～49,11616,6016,5600
45,2498,1268,1230
46,2439,1252,1187
47,2267,1197,1070
48,2211,1132,1079
49,2201,1167,1034
50～54,9648,4904,4744
50,1988,1002,986
51,1929,974,955
52,1890,954,936
53,1857,930,927
54,1984,1044,940
55～59,11099,5669,5430
55,1972,1010,962
56,1968,1036,932
57,2183,1141,1042
58,2350,1184,1166
59,2626,1298,1328
60～64,10543,5185,5358
60,2699,1337,1362
61,2494,1203,1291
62,1554,770,784
63,1723,850,873
64,2073,1025,1048
65～69,9138,4268,4870
65,1914,914,1000
66,2010,969,1041
67,1971,924,1047
68,1734,807,927
69,1509,654,855
70～74,7964,3556,4408
70,1662,768,894
71,1579,709,870
72,1688,707,981
73,1572,719,853
74,1463,653,810
75～79,6673,2882,3791
75,1399,616,783
76,1489,646,843
77,1383,568,815
78,1261,568,693
79,1141,484,657
80～84,4656,1822,2834
80,1117,449,668
81,996,419,577
82,938,372,566
83,876,332,544
84,729,250,479
85～89,2508,760,1748
85,630,211,419
86,578,186,392
87,513,136,377
88,449,120,329
89,338,107,231
90～94,1112,301,811
90,296,82,214
91,279,75,204
92,196,46,150
93,182,49,133
94,159,49,110
95～103,331,69,262
95,96,26,70
96,88,14,74
97,63,14,49
98,33,6,27
99,21,4,17
100,14,2,12
101,5,0,5
102,7,2,5
103,4,1,3
104以上,6,0,6
不詳者,0,0,0
平成20年9月1日現在,,,
年  齢,計,男,女
総  数,175712,86840,88872
0～4,7089,3569,3520
0,1429,724,705
1,1429,750,679
2,1465,714,751
3,1350,686,664
4,1416,695,721
5～9,7081,3598,3483
5,1398,696,702
6,1425,740,685
7,1410,709,701
