平成18年12月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1564,1512,1598,3110
下連雀２丁目,1670,1590,1729,3319
下連雀３丁目,4916,3897,4386,8283
下連雀４丁目,3130,2762,2982,5744
下連雀５丁目,1520,1640,1893,3533
下連雀６丁目,1900,1959,1973,3932
下連雀７丁目,2447,2555,2702,5257
下連雀８丁目,1182,1304,1375,2679
下連雀９丁目,1397,1584,1705,3289
小計,19726,18803,20343,39146
牟礼１丁目,1039,998,1005,2003
牟礼２丁目,1701,1588,1610,3198
牟礼３丁目,846,860,726,1586
牟礼４丁目,1437,1518,1606,3124
牟礼５丁目,1315,1317,1302,2619
牟礼６丁目,2299,2438,2428,4866
牟礼７丁目,774,825,811,1636
小計,9411,9544,9488,19032
井の頭１丁目,2544,2123,2324,4447
井の頭２丁目,2008,1614,1857,3471
井の頭３丁目,1146,1091,1156,2247
井の頭４丁目,1086,1035,1043,2078
井の頭５丁目,1710,1657,1659,3316
小計,8494,7520,8039,15559
中原１丁目,1928,1923,1977,3900
中原２丁目,1253,1349,1327,2676
中原３丁目,1370,1466,1525,2991
中原４丁目,1837,2102,2149,4251
小計,6388,6840,6978,13818
北野１丁目,697,771,838,1609
北野２丁目,901,979,962,1941
北野３丁目,994,1187,1128,2315
北野４丁目,977,1040,1033,2073
小計,3569,3977,3961,7938
新川１丁目,849,870,904,1774
新川２丁目,626,714,704,1418
新川３丁目,888,891,860,1751
新川４丁目,1440,1519,1543,3062
新川５丁目,1227,1239,1311,2550
新川６丁目,2520,2454,2253,4707
小計,7550,7687,7575,15262
上連雀１丁目,1629,1526,1449,2975
上連雀２丁目,1308,1082,1166,2248
上連雀３丁目,842,780,719,1499
上連雀４丁目,1639,1513,1494,3007
上連雀５丁目,1451,1488,1392,2880
上連雀６丁目,1418,1387,1561,2948
上連雀７丁目,1361,1443,1499,2942
上連雀８丁目,1424,1609,1614,3223
上連雀９丁目,1494,1648,1675,3323
小計,12566,12476,12569,25045
井口１丁目,1534,1663,1559,3222
井口２丁目,982,1066,1104,2170
井口３丁目,885,935,991,1926
井口４丁目,1228,1296,1288,2584
井口５丁目,482,521,560,1081
小計,5111,5481,5502,10983
深大寺１丁目,736,768,769,1537
深大寺２丁目,1803,2045,1911,3956
深大寺３丁目,1008,1051,908,1959
小計,3547,3864,3588,7452
野崎１丁目,496,511,500,1011
野崎２丁目,1046,1203,1096,2299
野崎３丁目,860,972,923,1895
野崎４丁目,261,315,269,584
小計,2663,3001,2788,5789
大沢１丁目,1180,1363,1299,2662
大沢２丁目,855,941,890,1831
大沢３丁目,721,623,644,1267
大沢４丁目,1244,1353,1456,2809
大沢５丁目,793,995,1005,2000
大沢６丁目,717,752,772,1524
小計,5510,6027,6066,12093
合計,84535,85220,86897,172117
平成18年11月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1569,1509,1593,3102
下連雀２丁目,1671,1589,1738,3327
下連雀３丁目,4920,3897,4376,8273
下連雀４丁目,3124,2761,2978,5739
下連雀５丁目,1521,1630,1894,3524
下連雀６丁目,1899,1958,1968,3926
下連雀７丁目,2456,2557,2702,5259
下連雀８丁目,1178,1299,1371,2670
下連雀９丁目,1390,1570,1697,3267
小計,19728,18770,20317,39087
牟礼１丁目,1030,990,990,1980
牟礼２丁目,1694,1581,1604,3185
牟礼３丁目,850,860,726,1586
牟礼４丁目,1431,1513,1599,3112
牟礼５丁目,1314,1314,1302,2616
牟礼６丁目,2296,2440,2421,4861
牟礼７丁目,771,823,806,1629
小計,9386,9521,9448,18969
井の頭１丁目,2532,2112,2306,4418
井の頭２丁目,2019,1615,1863,3478
井の頭３丁目,1154,1099,1159,2258
井の頭４丁目,1089,1039,1042,2081
井の頭５丁目,1716,1672,1657,3329
小計,8510,7537,8027,15564
中原１丁目,1935,1933,1978,3911
中原２丁目,1250,1343,1322,2665
中原３丁目,1365,1461,1529,2990
中原４丁目,1838,2103,2148,4251
小計,6388,6840,6977,13817
北野１丁目,698,772,833,1605
北野２丁目,903,974,964,1938
北野３丁目,985,1177,1129,2306
北野４丁目,969,1034,1030,2064
小計,3555,3957,3956,7913
新川１丁目,850,866,904,1770
新川２丁目,622,712,705,1417
新川３丁目,889,899,857,1756
新川４丁目,1441,1522,1547,3069
新川５丁目,1219,1228,1313,2541
新川６丁目,2542,2472,2266,4738
小計,7563,7699,7592,15291
上連雀１丁目,1639,1533,1454,2987
上連雀２丁目,1304,1081,1164,2245
上連雀３丁目,845,781,726,1507
上連雀４丁目,1637,1511,1496,3007
上連雀５丁目,1448,1488,1392,2880
上連雀６丁目,1416,1388,1561,2949
上連雀７丁目,1358,1442,1500,2942
