平成17年12月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1521,1498,1557,3055
下連雀２丁目,1687,1610,1769,3379
下連雀３丁目,4808,3862,4262,8124
下連雀４丁目,3168,2837,3032,5869
下連雀５丁目,1472,1570,1812,3382
下連雀６丁目,1880,1952,1972,3924
下連雀７丁目,2431,2533,2690,5223
下連雀８丁目,1188,1305,1366,2671
下連雀９丁目,1313,1479,1592,3071
小計,19468,18646,20052,38698
牟礼１丁目,1045,1011,1007,2018
牟礼２丁目,1506,1387,1397,2784
牟礼３丁目,887,876,801,1677
牟礼４丁目,1433,1529,1612,3141
牟礼５丁目,1308,1336,1318,2654
牟礼６丁目,2212,2374,2360,4734
牟礼７丁目,817,863,835,1698
小計,9208,9376,9330,18706
井の頭１丁目,2525,2088,2350,4438
井の頭２丁目,2000,1644,1851,3495
井の頭３丁目,1195,1142,1191,2333
井の頭４丁目,1122,1090,1072,2162
井の頭５丁目,1705,1676,1641,3317
小計,8547,7640,8105,15745
中原１丁目,1947,1980,2003,3983
中原２丁目,1212,1313,1285,2598
中原３丁目,1329,1446,1487,2933
中原４丁目,1817,2088,2150,4238
小計,6305,6827,6925,13752
北野１丁目,676,757,790,1547
北野２丁目,854,951,927,1878
北野３丁目,948,1135,1078,2213
北野４丁目,970,1052,1027,2079
小計,3448,3895,3822,7717
新川１丁目,844,862,913,1775
新川２丁目,636,735,709,1444
新川３丁目,886,903,877,1780
新川４丁目,1426,1522,1541,3063
新川５丁目,1170,1205,1288,2493
新川６丁目,2534,2524,2263,4787
小計,7496,7751,7591,15342
上連雀１丁目,1645,1567,1469,3036
上連雀２丁目,1272,1085,1168,2253
上連雀３丁目,834,780,714,1494
上連雀４丁目,1569,1433,1477,2910
上連雀５丁目,1440,1479,1404,2883
上連雀６丁目,1407,1411,1544,2955
上連雀７丁目,1347,1454,1515,2969
上連雀８丁目,1394,1599,1611,3210
上連雀９丁目,1534,1684,1718,3402
小計,12442,12492,12620,25112
井口１丁目,1568,1713,1590,3303
井口２丁目,990,1093,1094,2187
井口３丁目,853,913,957,1870
井口４丁目,1247,1305,1315,2620
井口５丁目,471,516,559,1075
小計,5129,5540,5515,11055
深大寺１丁目,733,778,759,1537
深大寺２丁目,1812,2036,1884,3920
深大寺３丁目,1012,1059,927,1986
小計,3557,3873,3570,7443
野崎１丁目,492,512,486,998
野崎２丁目,1062,1232,1110,2342
野崎３丁目,864,971,939,1910
野崎４丁目,252,311,267,578
小計,2670,3026,2802,5828
大沢１丁目,1122,1349,1284,2633
大沢２丁目,851,931,865,1796
大沢３丁目,724,623,629,1252
大沢４丁目,1232,1340,1458,2798
大沢５丁目,790,997,998,1995
大沢６丁目,714,758,778,1536
小計,5433,5998,6012,12010
合計,83703,85064,86344,171408
平成17年11月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1526,1502,1561,3063
下連雀２丁目,1685,1605,1771,3376
下連雀３丁目,4803,3857,4255,8112
下連雀４丁目,3155,2826,3021,5847
下連雀５丁目,1480,1568,1819,3387
下連雀６丁目,1891,1963,1981,3944
下連雀７丁目,2405,2498,2654,5152
下連雀８丁目,1192,1311,1367,2678
下連雀９丁目,1315,1486,1594,3080
小計,19452,18616,20023,38639
牟礼１丁目,1042,1010,1011,2021
牟礼２丁目,1507,1383,1395,2778
牟礼３丁目,897,883,801,1684
牟礼４丁目,1439,1536,1613,3149
牟礼５丁目,1302,1333,1316,2649
牟礼６丁目,2207,2373,2357,4730
牟礼７丁目,817,858,832,1690
小計,9211,9376,9325,18701
井の頭１丁目,2525,2085,2347,4432
井の頭２丁目,1993,1643,1847,3490
井の頭３丁目,1197,1148,1189,2337
井の頭４丁目,1133,1095,1081,2176
井の頭５丁目,1696,1664,1642,3306
小計,8544,7635,8106,15741
中原１丁目,1935,1971,1992,3963
中原２丁目,1220,1319,1288,2607
中原３丁目,1327,1446,1486,2932
中原４丁目,1819,2094,2154,4248
小計,6301,6830,6920,13750
北野１丁目,670,751,788,1539
北野２丁目,850,949,924,1873
北野３丁目,940,1127,1069,2196
北野４丁目,977,1062,1031,2093
小計,3437,3889,3812,7701
新川１丁目,845,864,911,1775
新川２丁目,633,735,707,1442
新川３丁目,889,897,880,1777
新川４丁目,1429,1526,1541,3067
新川５丁目,1163,1193,1284,2477
新川６丁目,2552,2534,2269,4803
小計,7511,7749,7592,15341
上連雀１丁目,1646,1569,1456,3025
上連雀２丁目,1285,1087,1187,2274
上連雀３丁目,834,782,716,1498
上連雀４丁目,1569,1435,1480,2915
上連雀５丁目,1436,1476,1403,2879
上連雀６丁目,1401,1406,1538,2944
上連雀７丁目,1350,1455,1520,2975
上連雀８丁目,1395,1598,1606,3204
上連雀９丁目,1531,1686,1717,3403
小計,12447,12494,12623,25117
井口１丁目,1566,1711,1589,3300
井口２丁目,995,1098,1097,2195
井口３丁目,851,916,956,1872
井口４丁目,1253,1309,1315,2624
井口５丁目,473,518,559,1077
小計,5138,5552,5516,11068
深大寺１丁目,728,774,757,1531
深大寺２丁目,1816,2038,1886,3924
深大寺３丁目,1012,1059,931,1990
小計,3556,3871,3574,7445
野崎１丁目,491,512,485,997
野崎２丁目,1065,1237,1111,2348
野崎３丁目,861,969,937,1906
野崎４丁目,249,308,268,576
小計,2666,3026,2801,5827
大沢１丁目,1120,1347,1279,2626
大沢２丁目,850,930,862,1792
大沢３丁目,726,625,631,1256
大沢４丁目,1236,1343,1458,2801
大沢５丁目,795,1001,1003,2004
大沢６丁目,713,755,777,1532
小計,5440,6001,6010,12011
合計,83703,85039,86302,171341
平成17年10月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1526,1505,1561,3066
下連雀２丁目,1683,1605,1768,3373
下連雀３丁目,4794,3843,4254,8097
下連雀４丁目,3153,2832,3022,5854
下連雀５丁目,1483,1564,1823,3387
下連雀６丁目,1876,1952,1969,3921
下連雀７丁目,2368,2435,2605,5040
下連雀８丁目,1192,1311,1363,2674
下連雀９丁目,1317,1490,1597,3087
小計,19392,18537,19962,38499
牟礼１丁目,1037,1012,1005,2017
牟礼２丁目,1509,1381,1397,2778
牟礼３丁目,906,888,806,1694
牟礼４丁目,1429,1529,1607,3136
牟礼５丁目,1314,1346,1326,2672
