平成21年12月１日現在,,,
年齢,計,男,女
総計　　　,177046,87502,89544
　０～４　,7275,3732,3543
0,1523,802,721
1,1472,746,726
2,1413,731,682
3,1415,698,717
4,1452,755,697
　５～９　,7099,3585,3514
5,1383,682,701
6,1399,715,684
7,1455,746,709
8,1376,687,689
9,1486,755,731
１０～１４,7315,3696,3619
10,1466,746,720
11,1505,764,741
12,1428,719,709
13,1485,750,735
14,1431,717,714
１５～１９,7307,3753,3554
15,1483,778,705
16,1380,714,666
17,1366,687,679
18,1440,733,707
19,1638,841,797
２０～２４,10947,5509,5438
20,1853,976,877
21,2021,1015,1006
22,2117,1047,1070
23,2383,1166,1217
24,2573,1305,1268
２５～２９,14238,7315,6923
25,2815,1445,1370
26,2886,1495,1391
27,2867,1475,1392
28,2767,1422,1345
29,2903,1478,1425
３０～３４,15051,7787,7264
30,3027,1569,1458
31,2995,1539,1456
32,2982,1524,1458
33,3017,1561,1456
34,3030,1594,1436
３５～３９,16223,8246,7977
35,3134,1602,1532
36,3418,1750,1668
37,3268,1635,1633
38,3214,1654,1560
39,3189,1605,1584
４０～４４,14675,7580,7095
40,3182,1668,1514
41,3061,1562,1499
42,3058,1577,1481
43,2311,1170,1141
44,3063,1603,1460
４５～４９,12103,6277,5826
45,2656,1424,1232
46,2476,1259,1217
47,2488,1262,1226
48,2287,1217,1070
49,2196,1115,1081
５０～５４,9907,5053,4854
50,2218,1172,1046
51,2045,1037,1008
52,1928,980,948
53,1877,952,925
54,1839,912,927
５５～５９,10336,5337,4999
55,1933,1031,902
56,1978,991,987
57,1976,1030,946
58,2146,1131,1015
59,2303,1154,1149
６０～６４,11054,5442,5612
60,2560,1288,1272
61,2666,1303,1363
62,2540,1230,1310
63,1675,827,848
64,1613,794,819
６５～６９,9581,4566,5015
65,1976,984,992
66,1973,950,1023
67,1944,917,1027
68,1942,898,1044
69,1746,817,929
７０～７４,7915,3488,4427
70,1550,665,885
71,1543,703,840
72,1623,743,880
73,1641,682,959
74,1558,695,863
７５～７９,6874,2964,3910
75,1449,633,816
76,1359,600,759
77,1475,629,846
78,1348,549,799
79,1243,553,690
８０～８４,4880,1968,2912
80,1090,468,622
81,1113,433,680
82,956,395,561
83,902,358,544
84,819,314,505
８５～８９,2732,823,1909
85,691,223,468
86,598,188,410
87,555,178,377
88,461,116,345
89,427,118,309
９０～９４,1126,294,832
90,280,79,201
91,281,81,200
92,252,65,187
93,166,31,135
94,147,38,109
９５～１０３,399,86,313
95,135,37,98
96,74,21,53
97,80,11,69
98,51,10,41
99,29,6,23
100,14,1,13
101,11,0,11
102,2,0,2
103,3,0,3
１０４以上,9,1,8
不詳者　　,0,0,0
平成21年11月１日現在,,,
年齢,計,男,女
総計　　　,177059,87511,89548
　０～４　,7248,3715,3533
0,1492,780,712
1,1480,763,717
2,1405,720,685
3,1451,714,737
4,1420,738,682
　５～９　,7101,3587,3514
5,1379,687,692
6,1416,711,705
7,1444,740,704
8,1401,703,698
9,1461,746,715
１０～１４,7319,3700,3619
10,1456,740,716
11,1513,764,749
12,1432,720,712
13,1485,749,736
14,1433,727,706
１５～１９,7347,3770,3577
15,1479,774,705
16,1376,705,671
17,1370,691,679
18,1443,740,703
19,1679,860,819
２０～２４,10995,5526,5469
20,1872,983,889
21,2007,1000,1007
22,2123,1057,1066
23,2401,1174,1227
24,2592,1312,1280
２５～２９,14287,7361,6926
25,2802,1449,1353
26,2918,1499,1419
27,2854,1481,1373
28,2771,1423,1348
29,2942,1509,1433
３０～３４,15040,7758,7282
30,3001,1542,1459
31,2998,1529,1469
32,3000,1551,1449
33,3031,1564,1467
34,3010,1572,1438
３５～３９,16264,8267,7997
35,3227,1650,1577
36,3356,1709,1647
37,3280,1662,1618
38,3231,1641,1590
39,3170,1605,1565
４０～４４,14628,7567,7061
40,3184,1679,1505
41,3068,1553,1515
42,2997,1568,1429
43,2376,1196,1180
44,3003,1571,1432
４５～４９,12086,6273,5813
45,2684,1440,1244
46,2470,1268,1202
47,2480,1256,1224
48,2270,1202,1068
49,2182,1107,1075
５０～５４,9892,5049,4843
50,2225,1185,1040
51,2033,1028,1005
52,1924,969,955
53,1869,945,924
54,1841,922,919
５５～５９,10373,5354,5019
55,1941,1028,913
56,1966,990,976
57,1979,1032,947
58,2172,1146,1026
59,2315,1158,1157
６０～６４,11011,5428,5583
60,2584,1286,1298
61,2652,1310,1342
62,2520,1220,1300
63,1601,793,808
64,1654,819,835
６５～６９,9607,4573,5034
65,2022,1000,1022
66,1939,926,1013
67,1984,942,1042
68,1921,898,1023
69,1741,807,934
７０～７４,7883,3473,4410
70,1507,641,866
71,1594,741,853
72,1602,723,879
73,1636,676,960
74,1544,692,852
７５～７９,6873,2952,3921
75,1467,638,829
76,1369,598,771
77,1440,614,826
78,1357,556,801
79,1240,546,694
８０～８４,4863,1958,2905
80,1091,471,620
81,1084,419,665
82,971,407,564
83,898,350,548
84,819,311,508
８５～８９,2708,815,1893
85,688,223,465
86,595,188,407
87,545,173,372
88,464,119,345
89,416,112,304
９０～９４,1129,297,832
90,289,90,199
91,279,72,207
92,250,66,184
93,164,31,133
94,147,38,109
９５～１０３,397,88,309
95,138,40,98
96,73,19,54
97,76,11,65
98,50,10,40
99,31,6,25
100,12,1,11
101,13,0,13
102,1,0,1
103,3,1,2
１０４以上,8,0,8
不詳者　　,0,0,0
平成21年10月１日現在,,,
年齢,計,男,女
総計　　　,176901,87438,89463
　０～４　,7189,3695,3494
0,1487,784,703
1,1451,743,708
2,1410,733,677
3,1447,708,739
4,1394,727,667
　５～９　,7109,3579,3530
5,1416,708,708
6,1394,693,701
7,1435,738,697
8,1421,709,712
9,1443,731,712
１０～１４,7319,3697,3622
10,1456,747,709
11,1529,768,761
12,1433,727,706
13,1481,734,747
14,1420,721,699
１５～１９,7390,3809,3581
15,1479,775,704
16,1370,715,655
17,1366,682,684
18,1456,744,712
19,1719,893,826
２０～２４,11054,5543,5511
20,1885,983,902
21,2004,985,1019
22,2168,1077,1091
23,2390,1174,1216
24,2607,1324,1283
２５～２９,14301,7358,6943
25,2793,1444,1349
26,2923,1478,1445
27,2843,1489,1354
28,2776,1423,1353
29,2966,1524,1442
３０～３４,15015,7757,7258
30,2986,1537,1449
31,2989,1528,1461
32,3000,1562,1438
33,3027,1536,1491
34,3013,1594,1419
３５～３９,16233,8261,7972
35,3244,1657,1587
36,3350,1706,1644
37,3291,1694,1597
38,3198,1614,1584
39,3150,1590,1560
４０～４４,14570,7543,7027
40,3196,1685,1511
41,3029,1532,1497
42,2969,1534,1435
43,2447,1250,1197
44,2929,1542,1387
４５～４９,12062,6260,5802
45,2684,1427,1257
46,2483,1268,1215
47,2437,1251,1186
48,2259,1196,1063
49,2199,1118,1081
５０～５４,9864,5034,4830
50,2216,1174,1042
51,1991,1005,986
52,1929,980,949
53,1889,952,937
54,1839,923,916
５５～５９,10424,5385,5039
55,1958,1029,929
56,1962,996,966
57,1965,1033,932
58,2196,1153,1043
59,2343,1174,1169
６０～６４,10971,5399,5572
60,2603,1286,1317
61,2668,1317,1351
62,2468,1193,1275
63,1533,761,772
64,1699,842,857
６５～６９,9594,4563,5031
65,2052,1010,1042
