平成18年12月1日現在,,,
年  齢,計,男,女
総  数,172117,85220,86897
0～4,6856,3446,3410
0,1360,679,681
1,1406,725,681
2,1323,627,696
3,1368,687,681
4,1399,728,671
5～9,6987,3563,3424
5,1317,675,642
6,1413,712,701
7,1411,723,688
8,1466,756,710
9,1380,697,683
10～14,6881,3520,3361
10,1408,714,694
11,1379,701,678
12,1425,743,682
13,1336,694,642
14,1333,668,665
15～19,7251,3700,3551
15,1311,673,638
16,1268,650,618
17,1351,700,651
18,1525,774,751
19,1796,903,893
20～24,12049,6009,6040
20,1978,1002,976
21,2181,1088,1093
22,2455,1213,1242
23,2667,1310,1357
24,2768,1396,1372
25～29,14900,7671,7229
25,2825,1425,1400
26,2911,1476,1435
27,3108,1645,1463
28,3105,1616,1489
29,2951,1509,1442
30～34,15948,8283,7665
30,3045,1595,1450
31,3040,1612,1428
32,3156,1643,1513
33,3372,1743,1629
34,3335,1690,1645
35～39,15459,8076,7383
35,3165,1660,1505
36,3157,1605,1552
37,3151,1690,1461
38,2997,1542,1455
39,2989,1579,1410
40～44,12837,6642,6195
40,2258,1150,1108
41,2978,1564,1414
42,2629,1400,1229
43,2519,1280,1239
44,2453,1248,1205
45～49,10595,5488,5107
45,2274,1207,1067
46,2160,1107,1053
47,2166,1137,1029
48,2060,1061,999
49,1935,976,959
50～54,9755,5011,4744
50,1884,956,928
51,1864,929,935
52,2001,1059,942
53,1999,1016,983
54,2007,1051,956
55～59,12465,6278,6187
55,2159,1132,1027
56,2350,1198,1152
57,2617,1327,1290
58,2732,1351,1381
59,2607,1270,1337
60～64,9509,4659,4850
60,1755,864,891
61,1677,818,859
62,2050,1034,1016
63,2033,991,1042
64,1994,952,1042
65～69,8712,4070,4642
65,2020,955,1065
66,1811,864,947
67,1592,699,893
68,1601,754,847
69,1688,798,890
70～74,7879,3496,4383
70,1702,714,988
71,1655,758,897
72,1513,680,833
73,1449,659,790
74,1560,685,875
75～79,6283,2706,3577
75,1443,605,838
76,1344,610,734
77,1206,534,672
78,1219,498,721
79,1071,459,612
80～84,4187,1571,2616
80,1036,426,610
81,941,375,566
82,831,293,538
83,712,246,466
84,667,231,436
85～89,2267,678,1589
85,586,167,419
86,573,172,401
87,377,120,257
88,369,116,253
89,362,103,259
90～94,999,278,721
90,264,69,195
91,238,72,166
92,220,66,154
93,149,47,102
94,128,24,104
95～103,295,74,221
95,90,26,64
96,67,16,51
97,48,13,35
98,29,5,24
99,23,4,19
100,17,4,13
101,10,3,7
102,6,1,5
103,5,2,3
104以上,3,1,2
不詳者,0,0,0
平成18年11月1日現在,,,
年  齢,計,男,女
総  数,172016,85167,86849
0～4,6857,3428,3429
0,1384,683,701
1,1371,700,671
2,1328,639,689
3,1385,685,700
4,1389,721,668
5～9,6970,3566,3404
5,1349,694,655
6,1378,706,672
7,1400,716,684
8,1481,756,725
9,1362,694,668
10～14,6894,3522,3372
10,1416,712,704
11,1375,708,667
12,1416,739,677
13,1345,691,654
14,1342,672,670
15～19,7295,3731,3564
15,1293,666,627
16,1286,657,629
17,1363,709,654
18,1557,795,762
19,1796,904,892
20～24,12051,6001,6050
20,1982,1003,979
21,2197,1091,1106
22,2474,1229,1245
23,2686,1314,1372
24,2712,1364,1348
25～29,14914,7681,7233
25,2819,1432,1387
26,2954,1524,1430
27,3067,1599,1468
28,3101,1604,1497
29,2973,1522,1451
30～34,16013,8343,7670
30,3070,1608,1462
31,3037,1622,1415
32,3224,1675,1549
33,3321,1716,1605
34,3361,1722,1639
35～39,15389,8027,7362
35,3184,1648,1536
36,3139,1596,1543
37,3141,1683,1458
38,3000,1540,1460
39,2925,1560,1365
40～44,12810,6638,6172
40,2310,1174,1136
41,2921,1536,1385
42,2646,1406,1240
43,2489,1278,1211
44,2444,1244,1200
45～49,10586,5464,5122
45,2269,1195,1074
46,2144,1098,1046
47,2177,1145,1032
48,2053,1056,997
49,1943,970,973
50～54,9742,5015,4727
50,1875,952,923
51,1861,937,924
52,2006,1057,949
53,1993,1017,976
54,2007,1052,955
55～59,12497,6285,6212
55,2167,1135,1032
56,2374,1203,1171
57,2655,1336,1319
58,2713,1351,1362
59,2588,1260,1328
60～64,9493,4639,4854
60,1664,824,840
61,1711,838,873
62,2085,1041,1044
63,1985,953,1032
64,2048,983,1065
65～69,8674,4049,4625
65,1991,952,1039
66,1807,851,956
67,1545,673,872
68,1654,795,859
69,1677,778,899
70～74,7848,3484,4364
70,1694,712,982
71,1636,753,883
72,1535,689,846
73,1456,658,798
74,1527,672,855
75～79,6276,2710,3566
75,1458,618,840
76,1336,602,734
77,1205,530,675
78,1184,482,702
79,1093,478,615
80～84,4165,1562,2603
80,1027,422,605
81,941,372,569
82,821,293,528
83,719,246,473
84,657,229,428
85～89,2257,669,1588
85,599,169,430
86,552,162,390
87,386,134,252
88,359,102,257
89,361,102,259
90～94,987,278,709
90,263,72,191
91,239,72,167
92,217,71,146
93,145,40,105
94,123,23,100
95～103,297,74,223
95,94,29,65
96,67,13,54
97,44,13,31
98,34,6,28
99,22,4,18
100,15,4,11
101,8,2,6
102,6,1,5
103,7,2,5
104以上,1,1,0
不詳者,0,0,0
平成18年10月1日現在,,,
年  齢,計,男,女
総  数,171834,85070,86764
0～4,6837,3427,3410
0,1378,685,693
1,1350,686,664
2,1362,660,702
3,1356,666,690
4,1391,730,661
5～9,6994,3580,3414
5,1356,702,654
6,1373,692,681
7,1400,724,676
8,1505,762,743
9,1360,700,660
10～14,6874,3503,3371
10,1417,703,714
11,1361,696,665
12,1414,741,673
13,1339,699,640
14,1343,664,679
15～19,7360,3766,3594
15,1282,660,622
16,1301,673,628
17,1376,714,662
18,1583,804,779
19,1818,915,903
20～24,12073,6011,6062
20,1954,988,966
21,2221,1105,1116
22,2492,1231,1261
23,2676,1314,1362
24,2730,1373,1357
25～29,14914,7693,7221
25,2787,1416,1371
26,3011,1541,1470
27,3047,1599,1448
28,3070,1589,1481
29,2999,1548,1451
30～34,16013,8329,7684
30,3082,1573,1509
31,3029,1643,1386
32,3233,1668,1565
33,3326,1716,1610
34,3343,1729,1614
35～39,15315,7972,7343
35,3136,1617,1519
36,3154,1606,1548
37,3156,1690,1466
38,2969,1530,1439
39,2900,1529,1371
40～44,12783,6633,6150
40,2388,1221,1167
41,2854,1506,1348
42,2636,1390,1246
43,2500,1278,1222
44,2405,1238,1167
45～49,10533,5442,5091
45,2255,1190,1065
46,2156,1110,1046
47,2171,1134,1037
48,2009,1030,979
49,1942,978,964
50～54,9755,5027,4728
50,1897,962,935
51,1872,946,926
52,2011,1056,955
53,1985,1018,967
54,1990,1045,945
55～59,12527,6280,6247
55,2203,1152,1051
56,2396,1212,1184
57,2675,1336,1339
58,2715,1349,1366
59,2538,1231,1307
60～64,9450,4631,4819
60,1591,793,798
61,1755,869,886
62,2107,1042,1065
63,1961,941,1020
64,2036,986,1050
65～69,8643,4024,4619
65,2003,948,1055
66,1782,844,938
67,1532,678,854
68,1698,807,891
69,1628,747,881
70～74,7856,3491,4365
70,1723,728,995
71,1623,746,877
72,1518,693,825
73,1452,646,806
74,1540,678,862
75～79,6231,2694,3537
75,1444,609,835
76,1313,602,711
77,1212,522,690
78,1181,495,686
79,1081,466,615
80～84,4138,1545,2593
80,1014,419,595
81,957,369,588
82,811,290,521
83,714,249,465
84,642,218,424
85～89,2245,667,1578
85,594,168,426
86,548,162,386
87,401,138,263
88,361,101,260
89,341,98,243
90～94,993,282,711
90,266,74,192
91,251,73,178
92,213,72,141
93,144,42,102
94,119,21,98
95～103,300,73,227
95,99,28,71
96,64,13,51
97,46,13,33
98,30,5,25
99,24,5,19
100,16,4,12
101,6,1,5
102,6,1,5
103,9,3,6
104以上,0,0,0
不詳者,0,0,0
平成18年9月1日現在,,,
年  齢,計,男,女
総  数,171857,85080,86777
0～4,6860,3449,3411
0,1409,695,714
1,1344,687,657
2,1368,665,703
3,1360,674,686
4,1379,728,651
5～9,7006,3579,3427
5,1357,695,662
6,1360,688,672
7,1418,734,684
8,1485,753,732
9,1386,709,677
10～14,6872,3522,3350
10,1401,696,705
11,1362,698,664
12,1434,755,679
13,1315,690,625
14,1360,683,677
15～19,7370,3758,3612
15,1264,639,625
16,1316,671,645
17,1371,713,658
18,1598,818,780
19,1821,917,904
20～24,12153,6043,6110
20,1953,990,963
21,2253,1104,1149
22,2519,1250,1269
23,2675,1299,1376
24,2753,1400,1353
25～29,14919,7679,7240
25,2760,1387,1373
26,3033,1565,1468
27,3049,1585,1464
