平成26年10月１日現在,,,,,,,,,,,,
町丁目,性別,年齢,１丁目,２丁目,３丁目,４丁目,５丁目,６丁目,７丁目,８丁目,９丁目,計
下連雀　　　,男,0,8,15,55,28,10,20,14,29,33,212
下連雀　　　,男,1,5,20,47,35,22,21,17,22,30,219
下連雀　　　,男,2,10,12,49,14,18,12,27,28,39,209
下連雀　　　,男,3,8,13,34,27,29,19,22,25,46,223
下連雀　　　,男,4,12,11,32,18,17,11,19,31,46,197
下連雀　　　,男,5,9,8,24,33,15,21,23,35,29,197
下連雀　　　,男,6,9,15,38,23,18,12,14,24,42,195
下連雀　　　,男,7,12,8,21,20,29,17,29,22,23,181
下連雀　　　,男,8,16,7,19,18,24,9,25,19,40,177
下連雀　　　,男,9,11,12,18,21,26,11,14,31,35,179
下連雀　　　,男,10,11,11,23,20,26,17,19,19,24,170
下連雀　　　,男,11,13,9,16,19,21,26,26,24,26,180
下連雀　　　,男,12,9,11,27,12,34,15,22,15,32,177
下連雀　　　,男,13,16,10,28,21,26,27,25,17,25,195
下連雀　　　,男,14,10,13,23,27,19,13,27,21,28,181
下連雀　　　,男,15,5,13,35,14,17,16,21,22,33,176
下連雀　　　,男,16,21,13,20,26,28,25,24,12,17,186
下連雀　　　,男,17,8,9,29,21,20,20,23,16,29,175
下連雀　　　,男,18,11,9,20,28,18,23,27,13,18,167
下連雀　　　,男,19,7,10,24,17,10,23,19,14,22,146
下連雀　　　,男,20,11,15,34,32,16,28,16,15,24,191
下連雀　　　,男,21,15,13,31,22,17,28,31,14,10,181
下連雀　　　,男,22,6,21,40,31,8,18,23,11,21,179
下連雀　　　,男,23,15,19,46,33,11,33,23,15,13,208
下連雀　　　,男,24,18,19,46,26,15,25,19,15,15,198
下連雀　　　,男,25,25,20,56,42,7,29,26,19,18,242
下連雀　　　,男,26,20,23,79,33,9,36,24,17,12,253
下連雀　　　,男,27,18,23,87,39,4,18,26,14,11,240
下連雀　　　,男,28,24,42,61,58,13,21,20,21,19,279
下連雀　　　,男,29,20,23,87,49,12,25,16,20,25,277
下連雀　　　,男,30,23,32,104,38,12,24,21,30,25,309
下連雀　　　,男,31,23,33,82,43,13,26,28,22,31,301
下連雀　　　,男,32,31,37,99,55,18,32,22,23,28,345
下連雀　　　,男,33,21,31,98,51,22,32,20,26,37,338
下連雀　　　,男,34,22,23,99,50,16,45,32,33,43,363
下連雀　　　,男,35,19,31,92,51,28,38,24,36,40,359
下連雀　　　,男,36,25,32,106,52,27,34,30,30,57,393
下連雀　　　,男,37,27,21,98,61,32,32,27,35,50,383
下連雀　　　,男,38,23,28,95,50,26,35,37,39,63,396
下連雀　　　,男,39,25,28,89,62,25,32,47,38,53,399
下連雀　　　,男,40,33,28,86,52,32,35,44,44,69,423
下連雀　　　,男,41,39,33,88,61,41,32,40,40,49,423
下連雀　　　,男,42,20,20,89,61,40,32,48,46,54,410
下連雀　　　,男,43,24,25,74,57,46,39,50,37,61,413
下連雀　　　,男,44,27,27,85,50,29,33,48,36,54,389
下連雀　　　,男,45,33,34,91,54,58,38,45,33,51,437
下連雀　　　,男,46,25,25,86,47,39,22,37,37,43,361
下連雀　　　,男,47,37,21,75,42,41,30,45,42,48,381
下連雀　　　,男,48,18,21,57,48,26,36,42,27,31,306
下連雀　　　,男,49,19,32,85,55,46,30,47,31,39,384
下連雀　　　,男,50,18,24,81,58,40,39,46,30,42,378
下連雀　　　,男,51,14,19,65,36,29,34,39,24,29,289
下連雀　　　,男,52,16,24,60,37,31,31,40,30,22,291
下連雀　　　,男,53,17,24,60,40,22,28,38,21,16,266
下連雀　　　,男,54,24,20,66,34,23,31,28,21,23,270
下連雀　　　,男,55,14,21,57,50,25,33,48,17,33,298
下連雀　　　,男,56,13,19,53,33,19,19,24,17,21,218
下連雀　　　,男,57,17,18,47,33,18,21,27,15,24,220
下連雀　　　,男,58,13,13,57,32,12,22,26,13,19,207
下連雀　　　,男,59,19,19,47,40,11,25,26,5,16,208
下連雀　　　,男,60,19,11,53,35,13,13,36,13,23,216
下連雀　　　,男,61,18,24,40,25,20,19,28,16,24,214
下連雀　　　,男,62,18,22,40,39,20,26,33,16,23,237
下連雀　　　,男,63,12,25,37,43,22,20,29,22,22,232
下連雀　　　,男,64,16,27,37,38,24,26,31,16,24,239
下連雀　　　,男,65,22,31,47,33,12,26,39,18,35,263
下連雀　　　,男,66,24,24,37,47,21,35,41,21,30,280
下連雀　　　,男,67,19,32,44,22,12,18,33,15,23,218
下連雀　　　,男,68,5,21,38,26,12,18,18,12,12,162
下連雀　　　,男,69,12,17,32,20,15,16,20,11,21,164
下連雀　　　,男,70,22,19,31,30,14,15,31,9,18,189
下連雀　　　,男,71,18,17,34,26,10,11,26,9,14,165
下連雀　　　,男,72,21,23,29,29,9,17,19,8,22,177
下連雀　　　,男,73,13,21,26,31,8,17,22,8,16,162
下連雀　　　,男,74,14,15,29,23,7,23,29,14,16,170
下連雀　　　,男,75,9,16,14,14,10,16,21,5,11,116
下連雀　　　,男,76,8,9,19,15,10,12,17,12,18,120
下連雀　　　,男,77,8,14,18,23,13,19,28,5,12,140
下連雀　　　,男,78,16,9,24,18,18,11,14,4,11,125
下連雀　　　,男,79,10,14,19,18,6,12,14,7,7,107
下連雀　　　,男,80,11,7,27,12,12,14,9,3,11,106
下連雀　　　,男,81,7,9,22,9,9,11,12,5,7,91
下連雀　　　,男,82,10,8,22,18,12,12,10,5,8,105
下連雀　　　,男,83,7,5,24,17,9,3,8,4,12,89
下連雀　　　,男,84,18,7,7,9,8,9,5,5,7,75
下連雀　　　,男,85,3,9,11,11,7,4,8,7,4,64
下連雀　　　,男,86,6,6,9,9,6,8,4,4,5,57
下連雀　　　,男,87,3,7,10,2,6,2,4,8,10,52
下連雀　　　,男,88,4,4,9,10,7,5,4,2,1,46
下連雀　　　,男,89,4,7,2,8,5,3,4,6,5,44
下連雀　　　,男,90,5,4,3,5,3,4,0,3,1,28
下連雀　　　,男,91,2,4,6,0,1,4,1,0,1,19
下連雀　　　,男,92,2,0,4,0,2,1,2,2,0,13
下連雀　　　,男,93,2,2,1,3,0,2,0,1,0,11
