平成22年10月１日現在,,,,,,,,,,,,
町丁目,性別,年齢,１丁目,２丁目,３丁目,４丁目,５丁目,６丁目,７丁目,８丁目,９丁目,計
下連雀　　　,男,0,12,13,44,25,20,12,21,28,32,207
下連雀　　　,男,1,8,10,36,32,24,15,21,29,25,200
下連雀　　　,男,2,8,12,43,19,21,9,20,25,40,197
下連雀　　　,男,3,5,7,24,23,33,14,21,26,30,183
下連雀　　　,男,4,9,5,23,18,27,8,30,20,37,177
下連雀　　　,男,5,9,8,25,21,29,8,21,32,28,181
下連雀　　　,男,6,10,8,21,21,24,19,18,19,23,163
下連雀　　　,男,7,12,9,22,14,22,19,30,17,22,167
下連雀　　　,男,8,6,12,26,10,34,14,23,16,22,163
下連雀　　　,男,9,16,9,30,22,24,30,25,18,19,193
下連雀　　　,男,10,7,11,21,24,24,15,29,20,18,169
下連雀　　　,男,11,8,11,32,12,16,15,18,16,32,160
下連雀　　　,男,12,24,14,24,19,28,23,24,11,16,183
下連雀　　　,男,13,12,7,28,18,22,16,25,14,26,168
下連雀　　　,男,14,10,8,16,22,19,19,32,11,20,157
下連雀　　　,男,15,8,10,24,16,9,11,25,14,18,135
下連雀　　　,男,16,12,12,26,20,15,23,19,13,22,162
下連雀　　　,男,17,13,11,27,16,14,14,33,12,11,151
下連雀　　　,男,18,6,10,22,21,8,12,22,12,21,134
下連雀　　　,男,19,9,15,31,23,15,26,26,13,12,170
下連雀　　　,男,20,11,13,30,21,19,19,24,9,21,167
下連雀　　　,男,21,14,16,32,28,7,26,28,22,16,189
下連雀　　　,男,22,14,14,42,25,11,26,33,11,8,184
下連雀　　　,男,23,18,18,46,34,8,26,34,7,11,202
下連雀　　　,男,24,16,27,50,39,12,27,23,15,21,230
下連雀　　　,男,25,24,29,79,40,9,29,24,23,17,274
下連雀　　　,男,26,24,24,85,33,16,24,22,29,20,277
下連雀　　　,男,27,26,42,75,43,11,36,24,23,19,299
下連雀　　　,男,28,24,38,97,51,13,31,26,27,21,328
下連雀　　　,男,29,28,26,91,51,12,35,18,23,25,309
下連雀　　　,男,30,26,31,111,41,13,48,28,23,33,354
下連雀　　　,男,31,24,33,91,54,20,38,31,22,39,352
下連雀　　　,男,32,30,37,96,66,18,30,41,25,40,383
下連雀　　　,男,33,34,23,106,56,33,29,37,22,42,382
下連雀　　　,男,34,21,33,98,53,23,34,39,33,51,385
下連雀　　　,男,35,21,25,83,61,27,29,42,32,41,361
下連雀　　　,男,36,28,34,98,58,25,33,48,43,61,428
下連雀　　　,男,37,41,33,105,54,34,33,44,39,49,432
下連雀　　　,男,38,21,25,90,62,44,39,42,46,50,419
下連雀　　　,男,39,24,27,77,55,46,35,44,36,50,394
下連雀　　　,男,40,23,29,93,59,38,32,53,35,44,406
下連雀　　　,男,41,31,27,96,46,66,41,44,29,42,422
下連雀　　　,男,42,26,24,98,43,45,22,44,32,42,376
下連雀　　　,男,43,31,17,84,51,38,27,44,36,41,369
下連雀　　　,男,44,17,21,67,47,24,44,39,27,22,308
下連雀　　　,男,45,22,28,92,55,47,30,48,32,32,386
下連雀　　　,男,46,19,29,78,47,43,40,43,30,41,370
下連雀　　　,男,47,20,17,60,44,33,31,48,24,27,304
下連雀　　　,男,48,20,20,61,36,37,29,45,28,22,298
下連雀　　　,男,49,19,21,56,39,26,33,42,24,15,275
下連雀　　　,男,50,21,19,72,33,27,26,29,22,25,274
下連雀　　　,男,51,15,23,56,52,27,32,48,19,32,304
下連雀　　　,男,52,12,20,51,34,18,20,27,16,23,221
下連雀　　　,男,53,22,20,43,37,19,24,27,13,24,229
下連雀　　　,男,54,15,15,46,37,12,25,27,13,20,210
下連雀　　　,男,55,18,14,48,46,13,24,31,10,15,219
下連雀　　　,男,56,21,11,53,39,13,12,39,17,25,230
下連雀　　　,男,57,18,27,38,34,22,20,32,14,20,225
下連雀　　　,男,58,20,21,41,46,20,31,31,16,23,249
下連雀　　　,男,59,13,26,42,50,24,23,35,19,24,256
下連雀　　　,男,60,14,23,48,42,30,24,35,18,27,261
下連雀　　　,男,61,24,32,50,34,13,28,39,20,33,273
下連雀　　　,男,62,24,27,45,47,17,37,41,24,29,291
下連雀　　　,男,63,18,34,46,30,12,22,35,17,21,235
下連雀　　　,男,64,9,22,42,26,13,18,24,12,9,175
下連雀　　　,男,65,14,20,34,24,16,15,20,14,18,175
下連雀　　　,男,66,25,21,34,35,13,18,33,10,18,207
下連雀　　　,男,67,18,17,36,28,14,15,28,9,13,178
下連雀　　　,男,68,21,24,39,28,7,19,21,9,17,185
下連雀　　　,男,69,15,21,25,38,4,16,23,9,16,167
下連雀　　　,男,70,17,17,30,25,3,20,30,11,16,169
下連雀　　　,男,71,8,17,17,18,10,15,23,4,13,125
下連雀　　　,男,72,10,9,25,19,8,14,19,11,17,132
下連雀　　　,男,73,11,15,20,25,9,19,30,6,15,150
下連雀　　　,男,74,17,11,30,22,10,13,14,3,11,131
下連雀　　　,男,75,11,14,19,21,8,14,17,7,8,119
下連雀　　　,男,76,13,12,29,15,7,16,10,3,14,119
下連雀　　　,男,77,8,10,24,10,5,12,14,6,7,96
下連雀　　　,男,78,11,10,23,20,7,13,11,4,12,111
下連雀　　　,男,79,6,9,26,20,9,3,11,4,12,100
下連雀　　　,男,80,18,9,8,12,2,11,8,6,12,86
下連雀　　　,男,81,7,11,17,18,4,6,11,9,4,87
下連雀　　　,男,82,8,12,11,15,2,7,8,6,5,74
下連雀　　　,男,83,12,10,11,4,6,7,6,8,12,76
下連雀　　　,男,84,6,8,10,15,2,7,5,6,2,61
下連雀　　　,男,85,6,15,8,13,4,6,6,6,7,71
下連雀　　　,男,86,6,7,6,7,3,6,3,4,4,46
下連雀　　　,男,87,2,5,6,3,3,7,1,0,2,29
下連雀　　　,男,88,3,0,4,3,3,3,3,4,0,23
下連雀　　　,男,89,2,3,2,4,0,2,4,1,0,18
下連雀　　　,男,90,3,3,4,2,3,4,2,1,2,24
下連雀　　　,男,91,4,0,4,3,0,1,1,1,0,14
下連雀　　　,男,92,2,2,3,2,1,1,0,0,1,12
下連雀　　　,男,93,0,0,3,1,0,0,2,1,0,7
下連雀　　　,男,94,1,2,2,1,1,0,0,1,0,8
下連雀　　　,男,95,1,2,3,1,0,1,0,1,0,9
下連雀　　　,男,96,2,1,0,1,1,1,1,1,1,9
下連雀　　　,男,97,0,1,0,0,0,0,0,0,0,1
下連雀　　　,男,98,0,0,0,0,0,0,0,0,1,1
下連雀　　　,男,99,0,0,0,0,0,1,0,0,0,1
下連雀　　　,男,100,0,1,0,0,0,0,0,0,0,1
下連雀　　　,男,101,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,102,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,103,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,104以上,0,0,1,0,0,0,0,0,0,1
下連雀　　　,男,不詳,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,計,1453,1636,4147,2828,1671,1937,2450,1589,2047,19758
下連雀　　　,女,0,4,11,48,33,21,17,23,16,33,206
下連雀　　　,女,1,7,6,33,18,27,17,19,18,36,181
下連雀　　　,女,2,10,7,33,29,13,14,22,22,27,177
下連雀　　　,女,3,5,8,25,19,32,12,24,19,28,172
下連雀　　　,女,4,11,13,35,14,20,13,26,28,34,194
下連雀　　　,女,5,10,9,33,22,25,8,16,30,24,177
下連雀　　　,女,6,14,6,36,19,30,23,26,23,25,202
下連雀　　　,女,7,13,12,15,15,20,14,18,21,24,152
下連雀　　　,女,8,15,9,24,17,30,11,32,26,29,193
下連雀　　　,女,9,8,18,34,10,22,20,22,20,15,169
下連雀　　　,女,10,15,9,26,12,28,17,17,26,26,176
下連雀　　　,女,11,17,12,14,23,30,15,18,13,22,164
下連雀　　　,女,12,7,17,32,27,22,13,30,20,23,191
下連雀　　　,女,13,10,17,15,14,18,16,18,13,12,133
下連雀　　　,女,14,14,13,22,22,17,23,25,21,22,179
下連雀　　　,女,15,10,14,32,17,12,13,18,11,22,149
下連雀　　　,女,16,10,14,25,14,20,17,25,17,15,157
下連雀　　　,女,17,14,16,22,18,16,14,32,13,15,160
下連雀　　　,女,18,15,13,24,13,13,20,18,13,23,152
下連雀　　　,女,19,13,15,37,25,10,17,26,18,14,175
下連雀　　　,女,20,12,15,33,27,18,19,20,15,12,171
下連雀　　　,女,21,15,20,38,23,15,14,22,13,24,184
下連雀　　　,女,22,26,25,52,24,13,26,31,16,12,225
下連雀　　　,女,23,17,16,82,33,13,17,17,17,20,232
下連雀　　　,女,24,27,26,83,41,18,26,27,20,20,288
下連雀　　　,女,25,17,27,127,41,16,30,21,18,22,319
下連雀　　　,女,26,30,19,147,45,9,32,27,22,22,353
下連雀　　　,女,27,22,30,122,42,13,27,23,25,34,338
下連雀　　　,女,28,30,37,112,59,15,21,23,23,24,344
下連雀　　　,女,29,16,25,115,58,17,32,24,27,28,342
下連雀　　　,女,30,28,28,117,63,21,31,22,36,42,388
下連雀　　　,女,31,25,23,92,52,29,33,32,25,40,351
下連雀　　　,女,32,24,29,127,51,24,30,46,31,45,407
下連雀　　　,女,33,17,23,107,57,33,30,35,34,40,376
下連雀　　　,女,34,21,32,88,58,33,30,43,29,51,385
下連雀　　　,女,35,24,30,100,40,38,24,31,35,41,363
下連雀　　　,女,36,21,30,104,54,41,28,45,42,45,410
下連雀　　　,女,37,28,22,94,63,47,33,69,47,48,451
下連雀　　　,女,38,26,24,108,60,47,37,50,26,52,430
下連雀　　　,女,39,17,31,103,62,47,35,50,40,41,426
下連雀　　　,女,40,24,18,87,53,56,30,48,36,46,398
下連雀　　　,女,41,22,25,97,61,48,22,41,34,51,401
下連雀　　　,女,42,23,33,85,56,39,31,54,36,35,392
下連雀　　　,女,43,24,19,89,45,42,38,52,30,51,390
下連雀　　　,女,44,21,16,68,37,40,28,34,27,23,294
下連雀　　　,女,45,27,23,90,47,29,32,60,34,19,361
下連雀　　　,女,46,27,27,92,41,30,39,36,28,24,344
下連雀　　　,女,47,21,21,72,48,21,27,35,17,22,284
下連雀　　　,女,48,27,18,77,38,38,30,43,21,33,325
下連雀　　　,女,49,19,25,56,48,27,30,43,18,24,290
下連雀　　　,女,50,18,22,64,46,31,24,25,21,29,280
下連雀　　　,女,51,22,19,55,40,24,18,37,19,34,268
下連雀　　　,女,52,14,18,50,29,20,20,30,13,26,220
下連雀　　　,女,53,20,20,55,36,20,18,22,14,20,225
下連雀　　　,女,54,16,18,45,34,24,23,35,15,24,234
下連雀　　　,女,55,18,26,43,29,11,26,33,10,10,206
下連雀　　　,女,56,17,21,46,33,26,22,33,17,26,241
下連雀　　　,女,57,10,16,51,40,21,23,22,20,19,222
下連雀　　　,女,58,16,16,44,36,14,24,26,25,26,227
下連雀　　　,女,59,21,33,43,36,21,25,44,17,11,251
下連雀　　　,女,60,21,26,53,32,29,30,42,18,31,282
下連雀　　　,女,61,23,31,55,36,24,28,39,18,36,290
下連雀　　　,女,62,30,34,63,43,18,31,50,15,39,323
下連雀　　　,女,63,24,33,50,51,28,26,39,21,27,299
下連雀　　　,女,64,17,28,33,23,12,11,24,8,16,172
下連雀　　　,女,65,16,17,32,37,11,17,33,10,12,185
下連雀　　　,女,66,16,27,35,27,19,33,35,8,23,223
下連雀　　　,女,67,20,23,53,40,13,25,33,8,17,232
下連雀　　　,女,68,14,17,47,28,10,20,41,14,27,218
下連雀　　　,女,69,21,13,46,32,13,29,27,10,22,213
下連雀　　　,女,70,15,15,45,34,13,27,24,8,13,194
下連雀　　　,女,71,8,19,38,28,11,20,21,5,15,165
下連雀　　　,女,72,19,18,31,30,11,20,24,10,16,179
下連雀　　　,女,73,20,16,31,30,12,20,31,9,16,185
下連雀　　　,女,74,16,20,39,18,15,18,37,11,20,194
下連雀　　　,女,75,11,12,31,18,17,22,19,8,21,159
下連雀　　　,女,76,5,16,27,23,10,19,28,9,12,149
下連雀　　　,女,77,16,15,22,30,4,10,20,11,21,149
下連雀　　　,女,78,14,14,22,29,14,20,21,13,13,160
下連雀　　　,女,79,21,15,33,25,9,22,28,12,11,176
下連雀　　　,女,80,12,13,19,23,11,12,17,14,13,134
下連雀　　　,女,81,12,12,26,18,13,12,16,13,7,129
下連雀　　　,女,82,8,12,26,22,9,23,24,16,12,152
