平成25年10月１日現在,,,,,,,,,,,,
町丁目,性別,年齢,１丁目,２丁目,３丁目,４丁目,５丁目,６丁目,７丁目,８丁目,９丁目,計
下連雀　　　,男,0,3,19,46,34,25,23,14,19,32,215
下連雀　　　,男,1,14,11,51,18,17,14,26,26,40,217
下連雀　　　,男,2,8,12,32,23,33,20,24,25,46,223
下連雀　　　,男,3,13,10,34,21,19,15,19,30,39,200
下連雀　　　,男,4,10,10,29,27,17,21,22,33,31,200
下連雀　　　,男,5,9,16,41,24,18,12,14,22,46,202
下連雀　　　,男,6,11,6,19,19,33,16,27,23,28,182
下連雀　　　,男,7,15,8,23,17,25,11,26,19,38,182
下連雀　　　,男,8,9,11,20,22,30,11,14,31,37,185
下連雀　　　,男,9,10,11,25,19,26,20,19,18,24,172
下連雀　　　,男,10,14,8,19,18,21,24,28,23,27,182
下連雀　　　,男,11,7,12,28,13,34,16,22,14,29,175
下連雀　　　,男,12,15,9,28,19,27,27,24,17,24,190
下連雀　　　,男,13,10,13,23,27,22,12,27,20,29,183
下連雀　　　,男,14,5,13,35,15,17,18,19,22,33,177
下連雀　　　,男,15,21,12,19,25,29,25,24,14,18,187
下連雀　　　,男,16,9,9,27,19,20,20,25,15,30,174
下連雀　　　,男,17,11,8,19,26,19,21,28,14,17,163
下連雀　　　,男,18,8,8,21,17,9,14,21,14,21,133
下連雀　　　,男,19,14,13,27,25,17,25,17,16,25,179
下連雀　　　,男,20,14,14,27,21,16,26,31,13,10,172
下連雀　　　,男,21,6,17,36,27,8,22,18,10,21,165
下連雀　　　,男,22,13,22,38,26,15,25,23,14,11,187
下連雀　　　,男,23,17,18,37,30,17,26,19,12,14,190
下連雀　　　,男,24,22,21,49,43,6,31,27,21,18,238
下連雀　　　,男,25,22,21,64,28,8,37,27,18,10,235
下連雀　　　,男,26,17,28,71,36,6,24,31,11,13,237
下連雀　　　,男,27,27,36,62,51,11,23,21,20,22,273
下連雀　　　,男,28,25,27,85,40,10,25,20,17,24,273
下連雀　　　,男,29,20,32,95,38,13,26,20,29,28,301
下連雀　　　,男,30,29,37,87,50,13,31,25,22,27,321
下連雀　　　,男,31,27,33,104,62,19,34,23,18,26,346
下連雀　　　,男,32,21,29,109,49,20,32,21,26,34,341
下連雀　　　,男,33,24,29,102,48,20,42,27,36,44,372
下連雀　　　,男,34,18,28,93,54,28,39,21,36,41,358
下連雀　　　,男,35,24,35,104,47,30,30,34,31,54,389
下連雀　　　,男,36,27,23,103,66,36,34,30,32,45,396
下連雀　　　,男,37,24,29,92,50,28,37,37,41,64,402
下連雀　　　,男,38,26,30,89,61,28,34,45,34,46,393
下連雀　　　,男,39,30,28,80,59,31,40,43,42,68,421
下連雀　　　,男,40,41,31,88,60,40,32,40,42,50,424
下連雀　　　,男,41,19,20,94,63,43,34,48,41,53,415
下連雀　　　,男,42,24,27,82,54,47,40,50,36,62,422
下連雀　　　,男,43,25,28,83,47,33,34,53,36,49,388
下連雀　　　,男,44,34,33,97,52,60,40,46,31,53,446
下連雀　　　,男,45,26,26,91,49,41,24,38,35,46,376
下連雀　　　,男,46,39,23,78,48,41,29,43,41,50,392
下連雀　　　,男,47,18,18,60,51,24,39,42,28,34,314
下連雀　　　,男,48,19,34,87,56,45,30,49,31,40,391
下連雀　　　,男,49,19,27,76,52,39,41,43,30,42,369
下連雀　　　,男,50,15,17,69,37,31,34,43,26,30,302
下連雀　　　,男,51,18,22,59,38,33,32,42,30,21,295
下連雀　　　,男,52,19,23,56,43,22,30,40,22,18,273
下連雀　　　,男,53,25,20,65,32,25,30,25,21,23,266
下連雀　　　,男,54,14,22,50,53,24,35,48,17,33,296
下連雀　　　,男,55,14,18,50,36,19,22,25,16,22,222
下連雀　　　,男,56,17,17,44,35,20,23,27,15,24,222
下連雀　　　,男,57,13,15,57,34,11,21,26,14,18,209
下連雀　　　,男,58,20,18,50,42,13,24,27,6,15,215
下連雀　　　,男,59,20,13,56,37,11,13,41,15,24,230
下連雀　　　,男,60,18,25,41,27,20,20,29,15,24,219
下連雀　　　,男,61,18,23,42,41,20,29,34,15,24,246
下連雀　　　,男,62,15,24,40,45,23,19,28,21,23,238
下連雀　　　,男,63,17,27,42,39,26,25,31,16,27,250
下連雀　　　,男,64,23,31,48,33,13,28,39,18,33,266
下連雀　　　,男,65,23,28,37,47,20,35,40,20,28,278
下連雀　　　,男,66,20,32,44,23,14,18,35,15,25,226
下連雀　　　,男,67,6,21,39,28,13,19,20,13,10,169
下連雀　　　,男,68,12,17,33,20,16,17,20,12,20,167
下連雀　　　,男,69,23,20,32,30,13,15,32,9,18,192
下連雀　　　,男,70,19,17,34,29,12,12,25,10,15,173
下連雀　　　,男,71,21,25,31,29,9,17,18,9,20,179
下連雀　　　,男,72,13,22,26,34,6,17,25,8,17,168
下連雀　　　,男,73,14,16,30,26,7,21,30,12,18,174
下連雀　　　,男,74,9,16,13,15,8,15,22,5,12,115
下連雀　　　,男,75,9,9,20,15,11,13,19,13,18,127
下連雀　　　,男,76,10,14,19,24,11,20,31,5,14,148
下連雀　　　,男,77,16,9,28,18,17,11,14,3,11,127
下連雀　　　,男,78,11,14,18,20,6,12,16,7,7,111
下連雀　　　,男,79,11,9,26,12,11,14,9,3,13,108
下連雀　　　,男,80,7,9,23,8,10,11,12,5,7,92
下連雀　　　,男,81,10,9,23,18,9,13,10,5,8,105
下連雀　　　,男,82,7,5,24,18,10,3,8,4,11,90
下連雀　　　,男,83,18,8,7,10,7,9,6,5,9,79
下連雀　　　,男,84,5,9,12,14,10,4,9,8,4,75
下連雀　　　,男,85,7,7,9,10,6,7,5,3,5,59
下連雀　　　,男,86,6,8,11,3,5,2,3,8,11,57
下連雀　　　,男,87,4,6,9,11,6,4,4,2,2,48
下連雀　　　,男,88,5,7,2,11,6,4,6,5,5,51
下連雀　　　,男,89,5,4,5,5,3,5,0,3,2,32
下連雀　　　,男,90,2,4,5,2,2,6,1,0,2,24
下連雀　　　,男,91,2,1,6,1,3,2,2,2,0,19
下連雀　　　,男,92,2,2,1,2,0,2,0,1,0,10
下連雀　　　,男,93,0,2,2,0,2,1,2,0,1,10
下連雀　　　,男,94,1,0,2,0,0,1,0,0,0,4
下連雀　　　,男,95,1,1,0,1,0,1,0,0,0,4
下連雀　　　,男,96,0,0,2,1,0,0,0,0,0,3
下連雀　　　,男,97,0,2,2,0,0,0,0,0,0,4
下連雀　　　,男,98,0,0,1,1,0,0,0,1,0,3
下連雀　　　,男,99,1,1,0,0,1,1,0,0,0,4
下連雀　　　,男,100,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,101,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,102,0,0,0,0,0,1,0,0,0,1
下連雀　　　,男,103,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,104以上,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,不詳,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,計,1479,1692,4274,2904,1799,2044,2364,1712,2385,20653
下連雀　　　,女,0,7,8,47,40,13,17,8,24,41,205
下連雀　　　,女,1,5,11,55,22,22,16,14,23,31,199
下連雀　　　,女,2,14,13,24,17,22,17,22,26,39,194
下連雀　　　,女,3,5,10,35,30,24,23,27,17,50,221
下連雀　　　,女,4,4,9,22,18,29,17,22,19,33,173
下連雀　　　,女,5,13,8,30,24,20,21,19,25,31,191
下連雀　　　,女,6,7,12,26,17,30,14,24,22,32,184
下連雀　　　,女,7,11,11,38,9,20,17,28,27,39,200
下連雀　　　,女,8,10,8,27,28,25,11,11,28,26,174
下連雀　　　,女,9,18,8,37,22,29,22,27,23,23,209
下連雀　　　,女,10,12,11,15,17,18,15,16,18,26,148
下連雀　　　,女,11,16,10,24,17,28,13,31,30,34,203
下連雀　　　,女,12,10,19,31,10,21,23,20,21,21,176
下連雀　　　,女,13,13,10,25,16,28,20,16,22,26,176
下連雀　　　,女,14,18,12,19,24,28,14,18,15,25,173
下連雀　　　,女,15,7,20,31,28,20,15,28,22,30,201
下連雀　　　,女,16,10,18,14,12,18,13,17,15,13,130
下連雀　　　,女,17,13,14,19,21,16,27,20,17,21,168
下連雀　　　,女,18,9,16,36,23,12,15,17,15,28,171
下連雀　　　,女,19,13,18,36,18,19,16,25,19,14,178
下連雀　　　,女,20,13,18,35,25,17,15,32,13,13,181
下連雀　　　,女,21,24,18,44,15,9,27,21,15,20,193
下連雀　　　,女,22,14,10,67,44,15,17,27,17,10,221
下連雀　　　,女,23,14,18,68,45,16,29,19,18,14,241
下連雀　　　,女,24,17,21,80,34,11,21,18,17,26,245
下連雀　　　,女,25,28,29,91,37,11,29,25,15,13,278
下連雀　　　,女,26,18,25,104,41,13,28,19,17,19,284
下連雀　　　,女,27,27,23,95,46,19,30,20,21,25,306
下連雀　　　,女,28,26,20,125,48,16,20,20,25,20,320
下連雀　　　,女,29,33,27,124,48,16,34,23,22,35,362
下連雀　　　,女,30,21,30,127,45,22,31,20,35,43,374
下連雀　　　,女,31,23,39,114,59,19,23,25,32,38,372
下連雀　　　,女,32,16,26,120,61,23,31,21,38,29,365
下連雀　　　,女,33,33,23,102,63,29,34,32,44,52,412
下連雀　　　,女,34,24,25,99,62,34,41,24,31,55,395
下連雀　　　,女,35,26,28,95,63,28,32,37,34,61,404
