平成25年12月１日現在,,,,
年齢,計,男,女,
総計　　　,180385,88581,91804,
　０～４　,7552,3878,3674,
0,1484,738,746,
1,1475,759,716,
2,1570,830,740,
3,1492,743,749,
4,1531,808,723,
　５～９　,7190,3687,3503,
5,1484,776,708,
6,1394,723,671,
7,1447,712,735,
8,1469,770,699,
9,1396,706,690,
１０～１４,7329,3763,3566,
10,1417,733,684,
11,1489,776,713,
12,1414,713,701,
13,1510,771,739,
14,1499,770,729,
１５～１９,7905,4002,3903,
15,1569,780,789,
16,1454,742,712,
17,1481,756,725,
18,1547,769,778,
19,1854,955,899,
２０～２４,10241,5089,5152,
20,1907,964,943,
21,1977,973,1004,
22,1995,972,1023,
23,2074,1059,1015,
24,2288,1121,1167,
２５～２９,12497,6326,6171,
25,2486,1266,1220,
26,2312,1169,1143,
27,2472,1259,1213,
28,2505,1287,1218,
29,2722,1345,1377,
３０～３４,13945,7076,6869,
30,2736,1376,1360,
31,2763,1433,1330,
32,2717,1365,1352,
33,2794,1427,1367,
34,2935,1475,1460,
３５～３９,14678,7464,7214,
35,2896,1502,1394,
36,2890,1462,1428,
37,2925,1484,1441,
38,2885,1467,1418,
39,3082,1549,1533,
４０～４４,16164,8176,7988,
40,3334,1708,1626,
41,3248,1617,1631,
42,3246,1631,1615,
43,3144,1580,1564,
44,3192,1640,1552,
４５～４９,14152,7300,6852,
45,3042,1543,1499,
46,3039,1542,1497,
47,2316,1172,1144,
48,3083,1609,1474,
49,2672,1434,1238,
５０～５４,11636,5966,5670,
50,2507,1282,1225,
51,2496,1261,1235,
52,2241,1184,1057,
53,2194,1091,1103,
54,2198,1148,1050,
５５～５９,9442,4782,4660,
55,2007,1008,999,
56,1882,943,939,
57,1860,940,920,
58,1808,904,904,
59,1885,987,898,
６０～６４,10530,5310,5220,
60,1906,952,954,
61,1897,980,917,
62,2070,1083,987,
63,2214,1094,1120,
64,2443,1201,1242,
６５～６９,10011,4782,5229,
65,2561,1220,1341,
66,2431,1142,1289,
67,1610,776,834,
68,1552,740,812,
69,1857,904,953,
７０～７４,8746,3951,4795,
70,1900,899,1001,
71,1853,849,1004,
72,1844,831,1013,
73,1665,762,903,
74,1484,610,874,
７５～７９,7284,3105,4179,
75,1462,650,812,
76,1543,679,864,
77,1543,625,918,
78,1427,614,813,
79,1309,537,772,
８０～８４,5718,2315,3403,
80,1236,525,711,
81,1309,530,779,
82,1199,470,729,
83,1048,426,622,
84,926,364,562,
８５～８９,3474,1194,2280,
85,900,326,574,
86,772,292,480,
87,695,244,451,
88,612,198,414,
89,495,134,361,
９０～９４,1380,325,1055,
90,398,104,294,
91,351,97,254,
92,276,55,221,
93,226,46,180,
94,129,23,106,
９５～１０３,502,90,412,
95,133,26,107,
96,120,24,96,
97,75,11,64,
98,66,10,56,
99,42,6,36,
100,24,7,17,
101,24,4,20,
102,11,2,9,
103,7,0,7,
１０４以上,9,0,9,
不詳者　　,0,0,0,
平成25年11月１日現在,,,,
年齢,計,男,女,
総計　　　,180439,88608,91831,
　０～４　,7499,3863,3636,
0,1454,732,722,
1,1471,756,715,
2,1590,849,741,
3,1495,730,765,
4,1489,796,693,
　５～９　,7193,3693,3500,
5,1479,772,707,
6,1415,734,681,
7,1461,723,738,
8,1446,756,690,
9,1392,708,684,
１０～１４,7327,3752,3575,
10,1434,733,701,
11,1479,769,710,
12,1428,724,704,
13,1494,765,729,
14,1492,761,731,
１５～１９,7952,4027,3925,
15,1566,778,788,
16,1455,746,709,
17,1486,752,734,
18,1579,796,783,
19,1866,955,911,
２０～２４,10318,5122,5196,
20,1939,973,966,
21,1996,981,1015,
22,1979,963,1016,
23,2112,1075,1037,
24,2292,1130,1162,
２５～２９,12512,6349,6163,
25,2474,1257,1217,
26,2307,1173,1134,
27,2490,1256,1234,
28,2540,1301,1239,
29,2701,1362,1339,
３０～３４,13914,7051,6863,
30,2752,1370,1382,
31,2744,1434,1310,
32,2703,1350,1353,
33,2804,1441,1363,
34,2911,1456,1455,
３５～３９,14779,7503,7276,
35,2925,1503,1422,
36,2885,1475,1410,
37,2940,1490,1450,
38,2880,1456,1424,
39,3149,1579,1570,
４０～４４,16156,8183,7973,
40,3282,1683,1599,
41,3291,1646,1645,
42,3244,1612,1632,
43,3132,1575,1557,
44,3207,1667,1540,
４５～４９,14120,7279,6841,
45,3035,1524,1511,
46,2994,1533,1461,
47,2376,1205,1171,
48,3038,1581,1457,
49,2677,1436,1241,
５０～５４,11591,5935,5656,
50,2491,1274,1217,
51,2483,1258,1225,
52,2241,1170,1071,
53,2179,1091,1088,
54,2197,1142,1055,
５５～５９,9446,4787,4659,
55,1997,1005,992,
56,1890,940,950,
57,1849,934,915,
58,1806,910,896,
59,1904,998,906,
６０～６４,10601,5339,5262,
60,1906,953,953,
61,1900,987,913,
62,2098,1095,1003,
63,2227,1097,1130,
64,2470,1207,1263,
６５～６９,9993,4780,5213,
65,2551,1228,1323,
66,2414,1127,1287,
67,1540,748,792,
68,1579,757,822,
69,1909,920,989,
７０～７４,8686,3916,4770,
70,1864,877,987,
71,1897,871,1026,
72,1827,835,992,
73,1656,749,907,
74,1442,584,858,
７５～７９,7304,3114,4190,
75,1518,683,835,
76,1521,665,856,
77,1529,616,913,
78,1418,614,804,
79,1318,536,782,
８０～８４,5697,2310,3387,
80,1243,530,713,
81,1272,512,760,
82,1215,484,731,
83,1046,422,624,
84,921,362,559,
８５～８９,3447,1185,2262,
85,876,312,564,
86,786,303,483,
87,686,237,449,
88,613,198,415,
89,486,135,351,
９０～９４,1390,331,1059,
90,410,109,301,
91,337,89,248,
92,279,55,224,
93,227,47,180,
94,137,31,106,
９５～１０３,504,89,415,
95,134,22,112,
96,122,25,97,
97,75,11,64,
98,61,10,51,
99,48,9,39,
100,21,5,16,
101,24,4,20,
102,12,3,9,
103,7,0,7,
１０４以上,10,0,10,
不詳者　　,0,0,0,
平成25年10月１日現在,,,,
年齢,計,男,女,
総計　　　,180372,88585,91787,
　０～４　,7462,3836,3626,
0,1431,720,711,
1,1470,750,720,
2,1573,839,734,
3,1512,741,771,
4,1476,786,690,
　５～９　,7214,3708,3506,
5,1458,756,702,
6,1438,745,693,
7,1467,731,736,
8,1419,742,677,
9,1432,734,698,
１０～１４,7308,3732,3576,
10,1411,711,700,
11,1474,768,706,
12,1443,731,712,
13,1489,757,732,
14,1491,765,726,
１５～１９,7978,4037,3941,
15,1578,783,795,
16,1449,751,698,
17,1483,740,743,
18,1584,794,790,
19,1884,969,915,
２０～２４,10298,5127,5171,
20,1910,974,936,
21,1990,962,1028,
22,1988,964,1024,
23,2096,1071,1025,
