平成27年10月１日現在,,,,,,,,,,,,
町丁目,性別,年齢,１丁目,２丁目,３丁目,４丁目,５丁目,６丁目,７丁目,８丁目,９丁目,計
下連雀　　　,男,0,8,14,44,27,15,8,15,30,22,183
下連雀　　　,男,1,7,17,55,30,11,20,15,35,31,221
下連雀　　　,男,2,6,20,46,35,20,19,18,23,33,220
下連雀　　　,男,3,10,11,42,11,18,14,28,27,40,201
下連雀　　　,男,4,8,13,29,26,24,20,24,26,46,216
下連雀　　　,男,5,14,15,34,13,18,13,19,30,43,199
下連雀　　　,男,6,9,9,25,30,14,20,23,34,28,192
下連雀　　　,男,7,8,14,45,18,19,14,15,22,43,198
下連雀　　　,男,8,12,10,20,20,30,17,30,23,23,185
下連雀　　　,男,9,16,8,23,18,24,9,25,21,39,183
下連雀　　　,男,10,12,11,20,22,27,10,14,29,36,181
下連雀　　　,男,11,12,13,23,20,28,18,21,18,24,177
下連雀　　　,男,12,13,9,16,19,21,26,24,25,25,178
下連雀　　　,男,13,9,12,29,12,33,17,22,14,31,179
下連雀　　　,男,14,15,10,28,19,25,26,24,17,27,191
下連雀　　　,男,15,11,13,25,25,19,12,27,21,27,180
下連雀　　　,男,16,6,14,35,15,18,15,20,24,31,178
下連雀　　　,男,17,20,13,22,24,28,25,24,12,17,185
下連雀　　　,男,18,8,8,31,21,20,23,22,15,28,176
下連雀　　　,男,19,10,9,26,27,21,28,23,12,16,172
下連雀　　　,男,20,8,10,27,17,11,21,17,14,22,147
下連雀　　　,男,21,9,17,42,30,16,28,19,15,24,200
下連雀　　　,男,22,21,16,37,29,16,23,32,17,12,203
下連雀　　　,男,23,8,27,42,39,9,23,23,20,19,210
下連雀　　　,男,24,16,17,52,35,10,30,20,17,13,210
下連雀　　　,男,25,18,17,59,33,18,22,17,11,15,210
下連雀　　　,男,26,21,23,70,38,7,27,26,21,17,250
下連雀　　　,男,27,22,23,76,34,9,26,21,16,13,240
下連雀　　　,男,28,22,21,78,43,6,15,27,12,11,235
下連雀　　　,男,29,21,39,79,58,14,19,17,18,20,285
下連雀　　　,男,30,20,22,92,45,13,21,18,19,26,276
下連雀　　　,男,31,25,32,109,38,12,17,22,32,25,312
下連雀　　　,男,32,16,35,90,44,16,27,27,20,23,298
下連雀　　　,男,33,27,37,100,44,25,26,23,25,27,334
下連雀　　　,男,34,20,31,89,49,25,30,21,31,39,335
下連雀　　　,男,35,20,22,96,52,18,46,33,30,44,361
下連雀　　　,男,36,22,34,87,42,23,38,26,35,41,348
下連雀　　　,男,37,24,33,94,49,26,31,35,30,57,379
下連雀　　　,男,38,28,22,105,56,29,28,26,34,48,376
下連雀　　　,男,39,21,29,101,49,29,38,36,40,62,405
下連雀　　　,男,40,24,29,95,71,22,28,47,35,51,402
下連雀　　　,男,41,30,28,92,53,29,37,44,42,73,428
下連雀　　　,男,42,36,36,86,60,40,35,37,37,50,417
下連雀　　　,男,43,19,21,90,58,41,31,46,43,50,399
下連雀　　　,男,44,23,26,75,61,46,38,49,40,58,416
下連雀　　　,男,45,28,29,82,52,30,33,47,32,57,390
下連雀　　　,男,46,32,30,94,49,59,38,44,35,50,431
下連雀　　　,男,47,25,23,90,44,38,23,35,34,45,357
下連雀　　　,男,48,38,22,77,43,40,31,47,43,47,388
下連雀　　　,男,49,19,19,59,39,28,36,40,24,30,294
下連雀　　　,男,50,19,33,92,53,44,31,45,30,38,385
下連雀　　　,男,51,19,26,79,62,37,42,46,31,39,381
下連雀　　　,男,52,13,19,67,35,33,36,40,22,28,293
下連雀　　　,男,53,15,22,63,37,33,29,40,30,20,289
下連雀　　　,男,54,16,25,59,39,21,27,37,22,17,263
下連雀　　　,男,55,24,20,62,31,23,32,26,21,23,262
下連雀　　　,男,56,14,21,58,51,27,32,44,16,33,296
下連雀　　　,男,57,12,17,56,33,17,18,23,17,22,215
下連雀　　　,男,58,18,16,45,34,18,22,26,16,25,220
下連雀　　　,男,59,14,13,51,32,12,22,25,12,18,199
下連雀　　　,男,60,17,17,46,39,11,25,26,6,16,203
下連雀　　　,男,61,19,11,51,32,14,14,37,13,23,214
下連雀　　　,男,62,18,23,38,24,20,19,30,16,23,211
下連雀　　　,男,63,18,22,42,38,22,25,29,15,23,234
下連雀　　　,男,64,12,27,36,41,21,22,26,22,22,229
下連雀　　　,男,65,15,25,39,37,27,27,31,16,24,241
下連雀　　　,男,66,22,32,47,31,15,27,37,19,34,264
下連雀　　　,男,67,23,24,36,44,22,35,39,21,32,276
下連雀　　　,男,68,19,31,42,19,12,19,33,13,22,210
下連雀　　　,男,69,8,22,39,25,12,18,17,11,11,163
下連雀　　　,男,70,13,16,32,20,16,15,20,13,20,165
下連雀　　　,男,71,22,19,33,28,14,16,32,9,18,191
下連雀　　　,男,72,16,17,31,24,11,11,27,9,14,160
下連雀　　　,男,73,20,23,28,28,10,18,18,8,20,173
下連雀　　　,男,74,13,21,23,30,6,15,22,8,16,154
下連雀　　　,男,75,13,14,28,23,8,22,28,14,15,165
下連雀　　　,男,76,8,17,12,13,10,16,19,4,9,108
下連雀　　　,男,77,8,9,18,15,8,12,16,12,18,116
下連雀　　　,男,78,7,14,17,24,14,17,27,5,12,137
下連雀　　　,男,79,15,7,21,19,18,11,14,6,10,121
下連雀　　　,男,80,10,14,19,16,5,13,12,7,7,103
下連雀　　　,男,81,11,6,24,10,12,13,9,3,10,98
下連雀　　　,男,82,7,9,21,8,5,10,12,4,7,83
下連雀　　　,男,83,9,8,17,17,9,12,11,5,7,95
下連雀　　　,男,84,7,4,21,18,9,3,10,4,12,88
下連雀　　　,男,85,16,5,8,7,8,9,4,6,6,69
下連雀　　　,男,86,3,9,9,10,8,4,5,7,4,59
下連雀　　　,男,87,6,5,7,9,6,8,4,4,5,54
下連雀　　　,男,88,3,6,10,2,8,2,4,6,7,48
下連雀　　　,男,89,4,4,7,10,7,4,2,2,1,41
下連雀　　　,男,90,3,7,2,8,5,2,3,6,5,41
下連雀　　　,男,91,5,4,2,4,2,4,0,2,1,24
下連雀　　　,男,92,2,4,5,1,1,3,1,0,1,18
下連雀　　　,男,93,2,0,3,0,1,1,2,2,0,11
下連雀　　　,男,94,2,2,1,3,0,2,0,1,0,11
下連雀　　　,男,95,0,1,1,0,1,1,1,0,1,6
下連雀　　　,男,96,1,0,0,0,1,0,0,0,0,2
下連雀　　　,男,97,1,1,1,2,0,0,0,0,0,5
下連雀　　　,男,98,0,0,1,1,0,0,0,0,0,2
下連雀　　　,男,99,0,1,1,0,0,0,0,0,0,2
下連雀　　　,男,100,0,0,0,1,0,0,0,1,0,2
下連雀　　　,男,101,1,0,0,0,0,0,0,0,0,1
下連雀　　　,男,102,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,103,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,104以上,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,不詳,0,0,0,0,0,0,0,0,0,0
下連雀　　　,男,計,1440,1706,4434,2874,1782,1986,2315,1797,2398,20732
下連雀　　　,女,0,11,9,33,23,16,19,19,21,26,177
下連雀　　　,女,1,11,9,36,27,19,13,16,24,32,187
下連雀　　　,女,2,6,12,43,30,20,18,10,27,40,206
下連雀　　　,女,3,6,11,47,19,17,13,15,25,31,184
下連雀　　　,女,4,14,18,22,19,22,14,25,27,37,198
下連雀　　　,女,5,4,10,35,32,18,17,24,16,45,201
下連雀　　　,女,6,3,12,16,21,27,16,20,21,33,169
下連雀　　　,女,7,11,11,29,23,15,21,21,26,36,193
下連雀　　　,女,8,5,15,23,20,30,15,23,21,33,185
下連雀　　　,女,9,11,11,33,9,21,17,27,25,37,191
下連雀　　　,女,10,8,10,26,30,26,11,14,29,24,178
下連雀　　　,女,11,18,8,31,20,26,20,29,22,25,199
下連雀　　　,女,12,11,10,20,18,16,13,15,20,28,151
下連雀　　　,女,13,15,10,23,19,30,15,34,32,32,210
下連雀　　　,女,14,11,22,31,12,20,21,20,22,24,183
下連雀　　　,女,15,13,9,25,14,26,21,13,23,25,169
下連雀　　　,女,16,15,12,23,20,28,14,18,16,25,171
下連雀　　　,女,17,6,18,33,27,18,16,27,22,29,196
下連雀　　　,女,18,8,17,22,12,13,13,18,16,15,134
下連雀　　　,女,19,13,13,29,23,19,28,21,21,23,190
下連雀　　　,女,20,13,15,58,25,12,14,16,17,27,197
下連雀　　　,女,21,11,18,52,22,17,16,25,20,13,194
下連雀　　　,女,22,16,19,60,32,15,16,28,18,14,218
下連雀　　　,女,23,28,24,83,24,11,23,22,16,21,252
下連雀　　　,女,24,14,16,101,52,12,18,25,12,11,261
下連雀　　　,女,25,13,24,96,48,16,25,13,15,14,264
下連雀　　　,女,26,18,22,87,33,14,15,16,19,23,247
下連雀　　　,女,27,31,27,96,43,13,26,21,12,17,286
下連雀　　　,女,28,18,22,95,37,16,30,17,22,16,273
下連雀　　　,女,29,29,20,111,43,16,28,22,23,24,316
下連雀　　　,女,30,22,21,115,61,18,21,17,28,18,321
下連雀　　　,女,31,23,21,107,57,16,32,24,26,27,333
下連雀　　　,女,32,17,25,127,48,17,37,20,41,42,374
下連雀　　　,女,33,22,33,114,46,25,17,27,35,42,361
下連雀　　　,女,34,20,28,116,47,24,25,25,36,28,349
下連雀　　　,女,35,26,27,107,59,23,32,38,48,48,408
下連雀　　　,女,36,24,27,92,60,29,36,32,29,55,384
