平成21年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1572,1487,1576,3063
下連雀２丁目,1726,1619,1761,3380
下連雀３丁目,5390,4108,4803,8911
下連雀４丁目,3133,2795,2963,5758
下連雀５丁目,1549,1677,1999,3676
下連雀６丁目,1819,1841,1894,3735
下連雀７丁目,2437,2519,2674,5193
下連雀８丁目,1415,1592,1721,3313
下連雀９丁目,1734,2031,2161,4192
小計,20775,19669,21552,41221
牟礼１丁目,1055,994,1029,2023
牟礼２丁目,1862,1763,1827,3590
牟礼３丁目,743,729,623,1352
牟礼４丁目,1455,1569,1627,3196
牟礼５丁目,1321,1347,1278,2625
牟礼６丁目,2304,2408,2414,4822
牟礼７丁目,808,876,857,1733
小計,9548,9686,9655,19341
井の頭１丁目,2568,2173,2341,4514
井の頭２丁目,2000,1565,1788,3353
井の頭３丁目,1191,1126,1181,2307
井の頭４丁目,1076,1040,1028,2068
井の頭５丁目,1683,1612,1638,3250
小計,8518,7516,7976,15492
中原１丁目,2008,1934,2014,3948
中原２丁目,1329,1413,1400,2813
中原３丁目,1427,1490,1538,3028
中原４丁目,1865,2032,2155,4187
小計,6629,6869,7107,13976
北野１丁目,709,798,844,1642
北野２丁目,926,994,987,1981
北野３丁目,995,1205,1146,2351
北野４丁目,1013,1051,1018,2069
小計,3643,4048,3995,8043
新川１丁目,891,883,901,1784
新川２丁目,647,715,716,1431
新川３丁目,902,955,921,1876
新川４丁目,1546,1648,1682,3330
新川５丁目,1256,1239,1293,2532
新川６丁目,2527,2398,2247,4645
小計,7769,7838,7760,15598
上連雀１丁目,1734,1594,1477,3071
上連雀２丁目,1303,1088,1139,2227
上連雀３丁目,888,821,759,1580
上連雀４丁目,1701,1589,1573,3162
上連雀５丁目,1432,1410,1352,2762
上連雀６丁目,1464,1435,1570,3005
上連雀７丁目,1399,1441,1524,2965
上連雀８丁目,1455,1613,1703,3316
上連雀９丁目,1507,1631,1636,3267
小計,12883,12622,12733,25355
井口１丁目,1615,1776,1605,3381
井口２丁目,1098,1227,1278,2505
井口３丁目,928,948,1040,1988
井口４丁目,1362,1451,1417,2868
井口５丁目,481,500,548,1048
小計,5484,5902,5888,11790
深大寺１丁目,768,823,786,1609
深大寺２丁目,1971,2127,1968,4095
深大寺３丁目,1015,1019,969,1988
小計,3754,3969,3723,7692
野崎１丁目,536,532,533,1065
野崎２丁目,1134,1265,1140,2405
野崎３丁目,902,984,951,1935
野崎４丁目,282,331,262,593
小計,2854,3112,2886,5998
大沢１丁目,1226,1410,1312,2722
大沢２丁目,890,973,927,1900
大沢３丁目,793,770,794,1564
大沢４丁目,1264,1357,1468,2825
大沢５丁目,842,1022,1042,2064
大沢６丁目,698,739,726,1465
小計,5713,6271,6269,12540
合計,87570,87502,89544,177046
平成21年11月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1572,1485,1579,3064
下連雀２丁目,1716,1605,1750,3355
下連雀３丁目,5372,4094,4784,8878
下連雀４丁目,3143,2801,2969,5770
下連雀５丁目,1557,1684,2000,3684
下連雀６丁目,1819,1839,1892,3731
下連雀７丁目,2439,2522,2671,5193
下連雀８丁目,1417,1593,1720,3313
下連雀９丁目,1737,2030,2156,4186
小計,20772,19653,21521,41174
牟礼１丁目,1052,991,1039,2030
牟礼２丁目,1857,1763,1818,3581
牟礼３丁目,753,734,620,1354
牟礼４丁目,1455,1564,1623,3187
牟礼５丁目,1316,1347,1272,2619
牟礼６丁目,2318,2412,2425,4837
牟礼７丁目,808,871,856,1727
小計,9559,9682,9653,19335
井の頭１丁目,2579,2179,2348,4527
井の頭２丁目,2012,1574,1799,3373
井の頭３丁目,1197,1129,1181,2310
井の頭４丁目,1080,1044,1026,2070
井の頭５丁目,1687,1615,1644,3259
小計,8555,7541,7998,15539
中原１丁目,2008,1938,2014,3952
中原２丁目,1322,1402,1390,2792
中原３丁目,1428,1484,1537,3021
中原４丁目,1867,2029,2162,4191
小計,6625,6853,7103,13956
北野１丁目,711,795,843,1638
北野２丁目,927,989,989,1978
北野３丁目,1001,1211,1153,2364
北野４丁目,1010,1051,1022,2073
小計,3649,4046,4007,8053
新川１丁目,900,892,911,1803
新川２丁目,651,719,717,1436
新川３丁目,898,952,922,1874
新川４丁目,1547,1651,1685,3336
新川５丁目,1253,1235,1290,2525
新川６丁目,2543,2405,2253,4658
小計,7792,7854,7778,15632
上連雀１丁目,1721,1578,1468,3046
上連雀２丁目,1305,1088,1140,2228
上連雀３丁目,893,824,759,1583
上連雀４丁目,1710,1598,1576,3174
上連雀５丁目,1428,1410,1348,2758
上連雀６丁目,1465,1435,1570,3005
上連雀７丁目,1393,1440,1518,2958
上連雀８丁目,1456,1615,1698,3313
上連雀９丁目,1506,1627,1635,3262
小計,12877,12615,12712,25327
井口１丁目,1627,1784,1612,3396
井口２丁目,1097,1226,1277,2503
井口３丁目,923,944,1037,1981
井口４丁目,1360,1449,1418,2867
井口５丁目,483,503,548,1051
小計,5490,5906,5892,11798
深大寺１丁目,770,825,790,1615
深大寺２丁目,1974,2134,1967,4101
深大寺３丁目,1012,1020,964,1984
小計,3756,3979,3721,7700
野崎１丁目,535,533,534,1067
野崎２丁目,1138,1272,1139,2411
野崎３丁目,904,983,953,1936
野崎４丁目,282,330,262,592
小計,2859,3118,2888,6006
大沢１丁目,1224,1406,1311,2717
大沢２丁目,897,976,929,1905
大沢３丁目,788,762,786,1548
大沢４丁目,1269,1364,1478,2842
大沢５丁目,841,1019,1041,2060
大沢６丁目,697,737,730,1467
小計,5716,6264,6275,12539
合計,87650,87511,89548,177059
平成21年10月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1575,1489,1576,3065
下連雀２丁目,1716,1604,1754,3358
下連雀３丁目,5321,4053,4730,8783
下連雀４丁目,3161,2808,2993,5801
下連雀５丁目,1555,1682,1995,3677
下連雀６丁目,1823,1843,1894,3737
下連雀７丁目,2447,2523,2677,5200
下連雀８丁目,1422,1587,1720,3307
下連雀９丁目,1743,2035,2161,4196
小計,20763,19624,21500,41124
牟礼１丁目,1040,977,1031,2008
牟礼２丁目,1850,1757,1813,3570
牟礼３丁目,756,738,622,1360
牟礼４丁目,1452,1570,1630,3200
牟礼５丁目,1328,1357,1279,2636
牟礼６丁目,2336,2413,2431,4844
牟礼７丁目,805,869,855,1724
小計,9567,9681,9661,19342
井の頭１丁目,2586,2179,2361,4540
井の頭２丁目,2018,1574,1805,3379
井の頭３丁目,1197,1136,1178,2314
井の頭４丁目,1085,1048,1029,2077
井の頭５丁目,1689,1606,1633,3239
小計,8575,7543,8006,15549
中原１丁目,2003,1935,2007,3942
中原２丁目,1313,1394,1378,2772
中原３丁目,1426,1479,1532,3011
中原４丁目,1861,2028,2156,4184
小計,6603,6836,7073,13909
北野１丁目,711,791,844,1635
北野２丁目,926,985,987,1972
北野３丁目,997,1205,1153,2358
北野４丁目,1007,1053,1025,2078
小計,3641,4034,4009,8043
新川１丁目,895,896,908,1804
新川２丁目,657,722,722,1444
新川３丁目,899,957,920,1877
新川４丁目,1545,1646,1682,3328
新川５丁目,1257,1241,1294,2535
新川６丁目,2534,2400,2246,4646
小計,7787,7862,7772,15634
上連雀１丁目,1710,1573,1469,3042
上連雀２丁目,1302,1085,1136,2221
上連雀３丁目,894,825,762,1587
上連雀４丁目,1718,1606,1579,3185
上連雀５丁目,1427,1416,1345,2761
上連雀６丁目,1470,1432,1567,2999
上連雀７丁目,1391,1435,1513,2948
上連雀８丁目,1453,1609,1691,3300
上連雀９丁目,1499,1622,1624,3246
小計,12864,12603,12686,25289
井口１丁目,1623,1784,1606,3390
井口２丁目,1099,1226,1277,2503
井口３丁目,926,941,1037,1978
井口４丁目,1352,1437,1413,2850
井口５丁目,485,503,547,1050
小計,5485,5891,5880,11771
深大寺１丁目,771,829,792,1621
深大寺２丁目,1967,2133,1961,4094
深大寺３丁目,1021,1030,974,2004
小計,3759,3992,3727,7719
野崎１丁目,539,535,533,1068
野崎２丁目,1140,1275,1140,2415
野崎３丁目,896,978,947,1925
野崎４丁目,280,326,261,587
小計,2855,3114,2881,5995
大沢１丁目,1221,1411,1307,2718
大沢２丁目,897,975,925,1900
大沢３丁目,790,760,787,1547
大沢４丁目,1272,1363,1474,2837
大沢５丁目,841,1020,1043,2063
大沢６丁目,691,729,732,1461
小計,5712,6258,6268,12526
合計,87611,87438,89463,176901
平成21年９月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1569,1483,1574,3057
下連雀２丁目,1712,1595,1752,3347
下連雀３丁目,5316,4040,4710,8750
下連雀４丁目,3148,2788,2994,5782
下連雀５丁目,1556,1684,1988,3672
下連雀６丁目,1814,1834,1888,3722
下連雀７丁目,2454,2533,2679,5212
下連雀８丁目,1417,1588,1709,3297
下連雀９丁目,1747,2044,2167,4211
小計,20733,19589,21461,41050
牟礼１丁目,1045,974,1035,2009
牟礼２丁目,1853,1750,1804,3554
牟礼３丁目,768,750,628,1378
牟礼４丁目,1456,1569,1632,3201
牟礼５丁目,1325,1352,1281,2633
牟礼６丁目,2341,2412,2437,4849
牟礼７丁目,807,869,858,1727
小計,9595,9676,9675,19351
井の頭１丁目,2595,2179,2369,4548
井の頭２丁目,2021,1579,1812,3391
井の頭３丁目,1195,1138,1185,2323
井の頭４丁目,1083,1046,1022,2068
井の頭５丁目,1688,1604,1639,3243
小計,8582,7546,8027,15573
中原１丁目,1996,1931,2005,3936
中原２丁目,1313,1391,1373,2764
中原３丁目,1423,1481,1526,3007
中原４丁目,1855,2017,2154,4171
小計,6587,6820,7058,13878
北野１丁目,708,789,843,1632
北野２丁目,926,980,985,1965
北野３丁目,1001,1203,1157,2360
北野４丁目,1010,1058,1029,2087
小計,3645,4030,4014,8044
新川１丁目,897,896,907,1803
新川２丁目,654,722,713,1435
新川３丁目,898,951,917,1868
新川４丁目,1551,1647,1686,3333
新川５丁目,1253,1236,1294,2530
新川６丁目,2547,2414,2246,4660
小計,7800,7866,7763,15629
上連雀１丁目,1708,1567,1470,3037
上連雀２丁目,1308,1088,1137,2225
上連雀３丁目,896,830,765,1595
上連雀４丁目,1701,1581,1576,3157
上連雀５丁目,1427,1415,1346,2761
上連雀６丁目,1470,1430,1568,2998
上連雀７丁目,1391,1440,1513,2953
上連雀８丁目,1451,1607,1694,3301
上連雀９丁目,1502,1629,1630,3259
小計,12854,12587,12699,25286
井口１丁目,1620,1775,1610,3385
井口２丁目,1102,1236,1290,2526
井口３丁目,915,936,1026,1962
井口４丁目,1354,1443,1419,2862
井口５丁目,488,504,548,1052
小計,5479,5894,5893,11787
深大寺１丁目,772,827,794,1621
深大寺２丁目,1974,2139,1963,4102
深大寺３丁目,1021,1031,968,1999
小計,3767,3997,3725,7722
野崎１丁目,538,530,535,1065
野崎２丁目,1143,1281,1141,2422
野崎３丁目,893,973,937,1910
野崎４丁目,273,322,260,582
小計,2847,3106,2873,5979
大沢１丁目,1217,1408,1306,2714
大沢２丁目,893,975,929,1904
大沢３丁目,794,761,793,1554
大沢４丁目,1270,1360,1472,2832
大沢５丁目,840,1020,1043,2063
大沢６丁目,686,728,728,1456
小計,5700,6252,6271,12523
合計,87589,87363,89459,176822
平成21年８月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1572,1484,1568,3052
下連雀２丁目,1712,1595,1750,3345
下連雀３丁目,5295,4031,4692,8723
下連雀４丁目,3162,2799,2999,5798
下連雀５丁目,1560,1692,1993,3685
下連雀６丁目,1826,1841,1895,3736
下連雀７丁目,2462,2538,2685,5223
下連雀８丁目,1424,1598,1717,3315
下連雀９丁目,1756,2050,2181,4231
小計,20769,19628,21480,41108
牟礼１丁目,1043,977,1033,2010
牟礼２丁目,1809,1705,1758,3463
牟礼３丁目,778,753,636,1389
牟礼４丁目,1460,1574,1637,3211
牟礼５丁目,1331,1352,1283,2635
牟礼６丁目,2344,2419,2440,4859
牟礼７丁目,812,873,854,1727
小計,9577,9653,9641,19294
井の頭１丁目,2598,2185,2368,4553
井の頭２丁目,2020,1580,1814,3394
井の頭３丁目,1188,1130,1186,2316
井の頭４丁目,1084,1042,1026,2068
井の頭５丁目,1683,1606,1637,3243
小計,8573,7543,8031,15574
中原１丁目,2004,1937,2007,3944
中原２丁目,1310,1394,1368,2762
中原３丁目,1417,1474,1519,2993
中原４丁目,1854,2024,2150,4174
小計,6585,6829,7044,13873
北野１丁目,709,788,844,1632
北野２丁目,916,974,981,1955
北野３丁目,999,1198,1155,2353
北野４丁目,1008,1055,1032,2087
小計,3632,4015,4012,8027
新川１丁目,899,900,910,1810
新川２丁目,648,718,710,1428
新川３丁目,892,939,899,1838
新川４丁目,1556,1650,1695,3345
新川５丁目,1253,1237,1303,2540
新川６丁目,2550,2419,2252,4671
小計,7798,7863,7769,15632
上連雀１丁目,1714,1571,1476,3047
上連雀２丁目,1313,1090,1141,2231
上連雀３丁目,894,832,770,1602
上連雀４丁目,1707,1587,1570,3157
上連雀５丁目,1441,1428,1360,2788
上連雀６丁目,1479,1434,1574,3008
上連雀７丁目,1395,1443,1513,2956
上連雀８丁目,1454,1612,1682,3294
上連雀９丁目,1509,1632,1638,3270
小計,12906,12629,12724,25353
井口１丁目,1619,1775,1610,3385
井口２丁目,1106,1241,1296,2537
井口３丁目,914,934,1017,1951
井口４丁目,1354,1445,1415,2860
井口５丁目,482,500,548,1048
