平成26年12月１日現在,,,
年齢,計,男,女
総計　　　,182134,89409,92725
　０～４　,7757,3962,3795
0,1542,783,759
1,1569,788,781
2,1535,790,745
3,1597,848,749
4,1514,753,761
　５～９　,7396,3838,3558
5,1549,817,732
6,1507,793,714
7,1433,741,692
8,1438,714,724
9,1469,773,696
１０～１４,7310,3741,3569
10,1418,717,701
11,1415,726,689
12,1511,791,720
13,1443,729,714
14,1523,778,745
１５～１９,7899,3999,3900
15,1511,771,740
16,1587,792,795
17,1475,755,720
18,1576,809,767
19,1750,872,878
２０～２４,10439,5206,5233
20,2027,1052,975
21,2016,1002,1014
22,2066,989,1077
23,2153,1057,1096
24,2177,1106,1071
２５～２９,12038,6138,5900
25,2329,1183,1146
26,2489,1280,1209
27,2314,1164,1150
28,2446,1262,1184
29,2460,1249,1211
３０～３４,13741,6905,6836
30,2687,1307,1380
31,2760,1381,1379
32,2775,1425,1350
33,2714,1375,1339
34,2805,1417,1388
３５～３９,14743,7478,7265
35,2968,1488,1480
36,2933,1505,1428
37,2907,1461,1446
38,2974,1502,1472
39,2961,1522,1439
４０～４４,16107,8125,7982
40,3098,1552,1546
41,3380,1738,1642
42,3260,1641,1619
43,3244,1638,1606
44,3125,1556,1569
４５～４９,14637,7460,7177
45,3189,1633,1556
46,3027,1522,1505
47,3065,1546,1519
48,2292,1160,1132
49,3064,1599,1465
５０～５４,12149,6240,5909
50,2667,1429,1238
51,2518,1293,1225
52,2515,1262,1253
53,2244,1166,1078
54,2205,1090,1115
５５～５９,9751,4924,4827
55,2194,1142,1052
56,2013,1007,1006
57,1885,938,947
58,1852,938,914
59,1807,899,908
６０～６４,9853,5008,4845
60,1861,975,886
61,1889,940,949
62,1862,952,910
63,2047,1058,989
64,2194,1083,1111
６５～６９,10497,5014,5483
65,2441,1195,1246
66,2518,1198,1320
67,2417,1132,1285
68,1586,762,824
69,1535,727,808
７０～７４,9012,4162,4850
70,1849,895,954
71,1870,871,999
72,1820,829,991
73,1823,818,1005
74,1650,749,901
７５～７９,7290,3083,4207
75,1449,589,860
76,1441,636,805
77,1501,655,846
78,1514,611,903
79,1385,592,793
８０～８４,5871,2358,3513
