平成22年12月１日現在,,,
年齢,計,男,女
総計　　　,176645,87139,89506
　０～４　,7232,3688,3544
0,1463,740,723
1,1522,800,722
2,1451,728,723
3,1385,720,665
4,1411,700,711
　５～９　,7048,3602,3446
5,1453,764,689
6,1367,676,691
7,1385,713,672
8,1462,755,707
9,1381,694,687
１０～１４,7344,3726,3618
10,1480,746,734
11,1462,744,718
12,1506,763,743
13,1424,722,702
14,1472,751,721
１５～１９,7433,3799,3634
15,1428,712,716
16,1484,777,707
17,1380,712,668
18,1463,739,724
19,1678,859,819
２０～２４,10388,5136,5252
20,1778,887,891
21,1879,948,931
22,2111,1035,1076
23,2189,1080,1109
24,2431,1186,1245
２５～２９,13645,7049,6596
25,2561,1321,1240
26,2805,1423,1382
27,2775,1454,1321
28,2752,1437,1315
29,2752,1414,1338
３０～３４,14610,7490,7120
30,2856,1448,1408
31,2913,1506,1407
32,2950,1514,1436
33,2952,1498,1454
34,2939,1524,1415
３５～３９,15842,8060,7782
35,2945,1525,1420
36,3102,1567,1535
37,3358,1728,1630
38,3263,1640,1623
39,3174,1600,1574
４０～４４,14638,7495,7143
40,3131,1585,1546
41,3160,1650,1510
42,3037,1549,1488
43,3016,1551,1465
44,2294,1160,1134
４５～４９,12928,6743,6185
45,3061,1609,1452
46,2651,1426,1225
47,2473,1262,1211
48,2476,1244,1232
49,2267,1202,1065
５０～５４,10201,5233,4968
50,2190,1105,1085
51,2217,1176,1041
52,2030,1039,991
53,1908,972,936
54,1856,941,915
５５～５９,9783,5054,4729
55,1814,904,910
56,1913,1012,901
57,1976,999,977
58,1959,1021,938
59,2121,1118,1003
６０～６４,11591,5687,5904
60,2258,1127,1131
61,2527,1268,1259
62,2634,1272,1362
63,2517,1207,1310
64,1655,813,842
６５～６９,9317,4453,4864
65,1573,770,803
66,1952,968,984
67,1963,939,1024
68,1919,900,1019
69,1910,876,1034
７０～７４,7980,3546,4434
70,1718,805,913
71,1541,658,883
72,1512,688,824
73,1605,736,869
74,1604,659,945
７５～７９,7025,3005,4020
75,1530,677,853
76,1417,612,805
77,1328,578,750
78,1434,605,829
79,1316,533,783
８０～８４,5072,2065,3007
80,1193,515,678
81,1042,437,605
82,1063,404,659
83,914,375,539
84,860,334,526
８５～８９,2893,906,1987
85,782,289,493
86,645,204,441
87,545,162,383
88,499,150,349
89,422,101,321
９０～９４,1230,311,919
90,381,101,280
91,246,66,180
92,239,63,176
93,221,55,166
94,143,26,117
９５～１０３,437,91,346
95,126,29,97
96,111,30,81
97,56,17,39
98,65,7,58
99,37,6,31
100,21,2,19
101,8,0,8
102,11,0,11
103,2,0,2
１０４以上,8,0,8
不詳者　　,0,0,0
平成22年11月１日現在,,,
年齢,計,男,女
総計　　　,176737,87189,89548
　０～４　,7234,3693,3541
0,1460,736,724
1,1502,789,713
2,1447,736,711
3,1386,717,669
4,1439,715,724
　５～９　,7052,3598,3454
5,1429,747,682
6,1369,686,683
7,1405,711,694
8,1448,748,700
9,1401,706,695
１０～１４,7335,3716,3619
10,1468,741,727
11,1450,738,712
12,1510,764,746
13,1426,722,704
14,1481,751,730
１５～１９,7458,3813,3645
15,1433,724,709
16,1474,772,702
17,1382,705,677
18,1497,756,741
19,1672,856,816
２０～２４,10428,5165,5263
20,1801,899,902
21,1904,962,942
22,2093,1024,1069
23,2190,1086,1104
24,2440,1194,1246
２５～２９,13704,7078,6626
25,2611,1335,1276
26,2780,1421,1359
27,2796,1459,1337
28,2769,1456,1313
29,2748,1407,1341
３０～３４,14655,7513,7142
30,2883,1468,1415
31,2912,1487,1425
32,2942,1506,1436
33,2968,1523,1445
34,2950,1529,1421
３５～３９,15902,8077,7825
35,2937,1508,1429
36,3192,1626,1566
37,3306,1690,1616
38,3273,1661,1612
39,3194,1592,1602
４０～４４,14639,7510,7129
40,3108,1577,1531
41,3169,1665,1504
42,3047,1539,1508
43,2958,1538,1420
44,2357,1191,1166
４５～４９,12866,6702,6164
45,2991,1570,1421
46,2688,1443,1245
47,2452,1254,1198
48,2471,1244,1227
49,2264,1191,1073
５０～５４,10168,5210,4958
50,2167,1089,1078
51,2224,1189,1035
52,2024,1032,992
53,1910,966,944
54,1843,934,909
５５～５９,9804,5066,4738
55,1813,909,904
56,1919,1014,905
57,1965,995,970
58,1964,1020,944
59,2143,1128,1015
６０～６４,11530,5668,5862
60,2276,1138,1138
61,2549,1270,1279
62,2627,1283,1344
63,2493,1193,1300
64,1585,784,801
６５～６９,9384,4487,4897
65,1609,793,816
66,1997,983,1014
67,1933,913,1020
68,1958,922,1036
69,1887,876,1011
７０～７４,7967,3531,4436
70,1714,797,917
71,1492,631,861
72,1577,733,844
73,1580,716,864
74,1604,654,950
７５～７９,7007,3004,4003
75,1513,674,839
76,1429,614,815
77,1343,584,759
78,1396,590,806
79,1326,542,784
８０～８４,5045,2051,2994
80,1186,506,680
81,1045,441,604
82,1035,390,645
83,923,386,537
84,856,328,528
８５～８９,2886,903,1983
85,775,284,491
86,645,202,443
87,547,164,383
88,484,147,337
89,435,106,329
９０～９４,1230,310,920
90,370,95,275
91,253,73,180
92,244,58,186
93,221,57,164
94,142,27,115
９５～１０３,435,94,341
95,123,31,92
96,115,33,82
97,54,15,39
98,63,7,56
99,37,6,31
100,23,2,21
101,7,0,7
102,13,0,13
103,0,0,0
１０４以上,8,0,8
不詳者　　,0,0,0
平成22年10月１日現在,,,
年齢,計,男,女
総計　　　,176725,87169,89556
　０～４　,7227,3674,3553
0,1475,736,739
1,1497,780,717
2,1420,718,702
3,1398,733,665
4,1437,707,730
　５～９　,7049,3596,3453
5,1400,736,664
6,1413,711,702
7,1382,692,690
8,1435,744,691
9,1419,713,706
１０～１４,7337,3712,3625
10,1450,730,720
11,1451,744,707
12,1532,773,759
13,1427,730,697
14,1477,735,742
１５～１９,7464,3821,3643
15,1426,721,705
16,1474,776,698
17,1374,712,662
18,1509,756,753
19,1681,856,825
２０～２４,10486,5193,5293
20,1823,929,894
21,1913,962,951
22,2113,1016,1097
23,2214,1092,1122
24,2423,1194,1229
２５～２９,13767,7093,6674
25,2631,1348,1283
26,2776,1426,1350
27,2815,1455,1360
28,2794,1461,1333
29,2751,1403,1348
３０～３４,14650,7509,7141
30,2917,1494,1423
31,2891,1476,1415
32,2934,1499,1435
33,2961,1535,1426
34,2947,1505,1442
３５～３９,15893,8100,7793
35,2928,1528,1400
36,3220,1635,1585
37,3325,1704,1621
38,3268,1670,1598
39,3152,1563,1589
４０～４４,14697,7535,7162
40,3113,1581,1532
41,3187,1673,1514
42,3012,1523,1489
43,2946,1515,1431
44,2439,1243,1196
４５～４９,12761,6653,6108
45,2927,1550,1377
46,2680,1423,1257
47,2473,1262,1211
48,2413,1227,1186
49,2268,1191,1077
５０～５４,10149,5201,4948
50,2180,1105,1075
51,2213,1173,1040
52,1986,1008,978
53,1910,977,933
54,1860,938,922
５５～５９,9833,5090,4743
55,1812,912,900
56,1931,1012,919
57,1958,996,962
58,1955,1027,928
59,2177,1143,1034
６０～６４,11455,5621,5834
60,2299,1150,1149
61,2569,1266,1303
62,2642,1294,1348
63,2431,1162,1269
64,1514,749,765
６５～６９,9447,4514,4933
65,1658,820,838
66,2025,993,1032
67,1901,889,1012
68,1959,929,1030
69,1904,883,1021
７０～７４,7962,3519,4443
70,1684,784,900
71,1487,638,849
72,1620,742,878
73,1536,682,854
74,1635,673,962
７５～７９,6990,2999,3991
75,1505,670,835
76,1410,617,793
77,1348,579,769
78,1411,601,810
79,1316,532,784
８０～８４,5021,2042,2979
80,1169,506,663
81,1062,439,623
82,1035,400,635
83,909,374,535
84,846,323,523
８５～８９,2873,897,1976
85,780,280,500
86,639,205,434
87,539,163,376
88,482,142,340
89,433,107,326
９０～９４,1221,304,917
90,364,90,274
91,263,76,187
92,238,57,181
93,211,54,157
94,145,27,118
９５～１０３,434,95,339
95,131,31,100
96,108,34,74
97,58,16,42
98,58,6,52
99,38,5,33
100,21,3,18
101,10,0,10
102,10,0,10
103,0,0,0
１０４以上,9,1,8
不詳者　　,0,0,0
平成22年９月１日現在,,,
年齢,計,男,女
総計　　　,176748,87184,89564
