平成27年12月１日現在,,,
年齢,計,男,女
総計　　　,182785,89562,93223
　０～４　,7862,4036,3826
0,1529,766,763
1,1590,813,777
2,1579,805,774
3,1548,795,753
4,1616,857,759
　５～９　,7538,3874,3664
5,1529,762,767
6,1583,831,752
7,1522,798,724
8,1448,758,690
9,1456,725,731
１０～１４,7282,3757,3525
10,1476,778,698
11,1413,723,690
12,1419,731,688
13,1523,793,730
14,1451,732,719
１５～１９,7999,4082,3917
15,1519,776,743
16,1515,784,731
17,1597,797,800
18,1573,808,765
19,1795,917,878
２０～２４,10541,5202,5339
20,1924,942,982
21,2072,1057,1015
22,2073,1014,1059
23,2275,1119,1156
24,2197,1070,1127
２５～２９,11624,5872,5752
25,2227,1141,1086
26,2305,1151,1154
27,2409,1230,1179
28,2307,1159,1148
29,2376,1191,1185
３０～３４,13373,6731,6642
30,2503,1264,1239
31,2644,1294,1350
32,2813,1397,1416
33,2729,1405,1324
34,2684,1371,1313
３５～３９,14526,7305,7221
35,2785,1387,1398
36,2952,1491,1461
37,2910,1464,1446
38,2912,1460,1452
39,2967,1503,1464
４０～４４,15896,8051,7845
40,2960,1518,1442
41,3102,1567,1535
42,3354,1711,1643
43,3231,1618,1613
44,3249,1637,1612
４５～４９,14676,7367,7309
45,3125,1546,1579
46,3172,1619,1553
47,3029,1526,1503
48,3075,1535,1540
49,2275,1141,1134
５０～５４,12995,6736,6259
50,3077,1606,1471
51,2644,1412,1232
52,2534,1295,1239
53,2500,1263,1237
54,2240,1160,1080
５５～５９,10062,5071,4991
55,2166,1070,1096
56,2177,1129,1048
57,1994,1002,992
58,1899,949,950
59,1826,921,905
６０～６４,9342,4731,4611
60,1775,873,902
61,1827,949,878
62,1893,941,952
63,1847,934,913
64,2000,1034,966
６５～６９,10997,5276,5721
65,2153,1063,1090
66,2422,1182,1240
67,2489,1174,1315
68,2377,1108,1269
69,1556,749,807
７０～７４,8778,4046,4732
70,1512,714,798
71,1827,877,950
72,1842,849,993
73,1798,811,987
74,1799,795,1004
７５～７９,7352,3105,4247
75,1606,716,890
76,1411,565,846
77,1400,607,793
78,1459,628,831
79,1476,589,887
８０～８４,5987,2398,3589
80,1346,563,783
81,1210,482,728
82,1136,475,661
83,1199,465,734
84,1096,413,683
８５～８９,3802,1392,2410
85,952,381,571
86,819,300,519
87,791,280,511
88,662,239,423
89,578,192,386
９０～９４,1625,442,1183
90,488,153,335
91,389,105,284
92,302,77,225
93,256,68,188
94,190,39,151
９５～１０３,520,88,432
95,151,31,120
96,77,8,69
97,91,18,73
98,68,10,58
99,43,5,38
100,37,6,31
101,26,4,22
102,12,4,8
103,15,2,13
１０４以上,8,0,8
不詳者　　,0,0,0
平成27年11月１日現在,,,
年齢,計,男,女
総計　　　,182866,89594,93272
　０～４　,7895,4060,3835
0,1532,770,762
1,1615,824,791
2,1575,802,773
3,1536,783,753
4,1637,881,756
　５～９　,7535,3872,3663
5,1538,748,790
6,1543,829,714
7,1520,790,730
8,1454,767,687
9,1480,738,742
１０～１４,7277,3748,3529
10,1450,765,685
11,1415,728,687
12,1431,729,702
13,1513,785,728
14,1468,741,727
１５～１９,8020,4089,3931
15,1504,776,728
16,1516,774,742
17,1587,794,793
18,1598,826,772
19,1815,919,896
２０～２４,10561,5208,5353
20,1954,970,984
21,2080,1042,1038
22,2113,1029,1084
23,2245,1107,1138
24,2169,1060,1109
２５～２９,11666,5900,5766
25,2273,1172,1101
26,2286,1142,1144
27,2436,1237,1199
28,2290,1150,1140
29,2381,1199,1182
３０～３４,13392,6735,6657
30,2530,1261,1269
31,2634,1313,1321
32,2823,1381,1442
33,2706,1408,1298
34,2699,1372,1327
３５～３９,14553,7322,7231
35,2806,1410,1396
36,2944,1474,1470
37,2907,1450,1457
38,2903,1476,1427
39,2993,1512,1481
４０～４４,15934,8042,7892
40,2943,1503,1440
41,3168,1599,1569
42,3309,1691,1618
43,3266,1641,1625
44,3248,1608,1640
４５～４９,14678,7393,7285
45,3100,1535,1565
46,3181,1640,1541
47,3046,1521,1525
48,3011,1516,1495
49,2340,1181,1159
５０～５４,12919,6682,6237
50,3020,1565,1455
51,2660,1428,1232
52,2513,1289,1224
53,2496,1257,1239
54,2230,1143,1087
５５～５９,10039,5055,4984
55,2164,1073,1091
56,2179,1131,1048
57,1982,997,985
58,1897,941,956
59,1817,913,904
６０～６４,9390,4767,4623
60,1783,888,895
61,1847,956,891
62,1886,940,946
63,1850,940,910
64,2024,1043,981
６５～６９,10940,5255,5685
65,2173,1072,1101
66,2434,1182,1252
67,2478,1184,1294
68,2364,1096,1268
69,1491,721,770
７０～７４,8848,4084,4764
70,1543,732,811
71,1874,890,984
72,1808,830,978
73,1837,829,1008
74,1786,803,983
７５～７９,7326,3080,4246
75,1592,703,889
76,1376,544,832
77,1461,641,820
78,1437,614,823
79,1460,578,882
８０～８４,5987,2400,3587
80,1342,563,779
81,1223,484,739
82,1141,478,663
83,1173,451,722
84,1108,424,684
８５～８９,3771,1379,2392
85,944,373,571
86,815,306,509
87,769,267,502
88,667,242,425
89,576,191,385
９０～９４,1605,434,1171
90,485,152,333
91,385,102,283
92,307,80,227
93,241,62,179
94,187,38,149
９５～１０３,521,89,432
95,152,31,121
96,81,13,68
97,87,13,74
98,70,10,60
99,40,5,35
100,37,7,30
101,29,6,23
102,9,2,7
103,16,2,14
１０４以上,9,0,9
不詳者　　,0,0,0
平成27年10月１日現在,,,
年齢,計,男,女
総計　　　,182879,89591,93288
　０～４　,7885,4060,3825
0,1549,782,767
1,1619,834,785
2,1557,793,764
3,1545,789,756
4,1615,862,753
　５～９　,7549,3883,3666
5,1564,765,799
6,1530,819,711
7,1498,776,722
8,1481,785,696
9,1476,738,738
１０～１４,7275,3743,3532
10,1423,752,671
11,1451,751,700
12,1415,709,706
13,1505,783,722
14,1481,748,733
１５～１９,8047,4094,3953
15,1492,764,728
16,1523,781,742
17,1604,802,802
18,1615,837,778
19,1813,910,903
２０～２４,10575,5213,5362
20,1949,952,997
21,2075,1043,1032
22,2120,1058,1062
23,2266,1096,1170
24,2165,1064,1101
２５～２９,11689,5916,5773
25,2273,1185,1088
26,2290,1150,1140
27,2417,1221,1196
28,2292,1144,1148
29,2417,1216,1201
３０～３４,13388,6746,6642
30,2503,1240,1263
31,2681,1353,1328
32,2786,1351,1435
33,2743,1425,1318
34,2675,1377,1298
３５～３９,14591,7313,7278
35,2874,1439,1435
36,2938,1457,1481
37,2886,1441,1445
38,2907,1474,1433
39,2986,1502,1484
４０～４４,15940,8059,7881
40,2968,1532,1436
41,3184,1596,1588
42,3315,1705,1610
43,3261,1642,1619
44,3212,1584,1628
４５～４９,14724,7408,7316
45,3108,1539,1569
46,3193,1639,1554
47,3008,1492,1516
48,2975,1496,1479
49,2440,1242,1198
５０～５４,12815,6634,6181
50,2951,1539,1412
51,2695,1437,1258
52,2503,1284,1219
53,2436,1230,1206
54,2230,1144,1086
５５～５９,10031,5045,4986
55,2186,1088,1098
56,2165,1113,1052
57,1956,984,972
58,1890,946,944
59,1834,914,920
６０～６４,9429,4800,4629
60,1789,904,885
61,1861,956,905
62,1872,934,938
63,1851,954,897
64,2056,1052,1004
６５～６９,10880,5222,5658
65,2198,1088,1110
66,2447,1177,1270
67,2507,1202,1305
68,2298,1064,1234
69,1430,691,739
７０～７４,8891,4099,4792
70,1589,760,829
71,1895,893,1002
