平成20年12月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1556,1484,1584,3068
下連雀２丁目,1693,1580,1734,3314
下連雀３丁目,5217,3995,4630,8625
下連雀４丁目,3144,2787,2984,5771
下連雀５丁目,1559,1688,1974,3662
下連雀６丁目,1812,1875,1870,3745
下連雀７丁目,2464,2522,2694,5216
下連雀８丁目,1412,1581,1699,3280
下連雀９丁目,1756,2038,2181,4219
小計,20613,19550,21350,40900
牟礼１丁目,1047,997,1036,2033
牟礼２丁目,1716,1616,1667,3283
牟礼３丁目,863,835,743,1578
牟礼４丁目,1454,1560,1643,3203
牟礼５丁目,1308,1319,1271,2590
牟礼６丁目,2325,2422,2429,4851
牟礼７丁目,785,859,832,1691
小計,9498,9608,9621,19229
井の頭１丁目,2572,2157,2361,4518
井の頭２丁目,2010,1582,1807,3389
井の頭３丁目,1161,1102,1148,2250
井の頭４丁目,1085,1042,1024,2066
井の頭５丁目,1676,1601,1629,3230
小計,8504,7484,7969,15453
中原１丁目,1972,1937,1998,3935
中原２丁目,1258,1348,1318,2666
中原３丁目,1403,1461,1518,2979
中原４丁目,1857,2045,2153,4198
小計,6490,6791,6987,13778
北野１丁目,711,778,858,1636
北野２丁目,920,982,986,1968
北野３丁目,993,1189,1149,2338
北野４丁目,981,1051,1036,2087
小計,3605,4000,4029,8029
新川１丁目,898,898,911,1809
新川２丁目,634,713,702,1415
新川３丁目,888,931,901,1832
新川４丁目,1552,1637,1693,3330
新川５丁目,1268,1240,1311,2551
新川６丁目,2549,2450,2255,4705
小計,7789,7869,7773,15642
上連雀１丁目,1667,1534,1427,2961
上連雀２丁目,1324,1104,1152,2256
上連雀３丁目,880,825,761,1586
上連雀４丁目,1693,1578,1563,3141
上連雀５丁目,1468,1465,1375,2840
上連雀６丁目,1493,1440,1601,3041
上連雀７丁目,1371,1421,1507,2928
上連雀８丁目,1422,1593,1635,3228
上連雀９丁目,1510,1637,1670,3307
小計,12828,12597,12691,25288
井口１丁目,1586,1733,1586,3319
井口２丁目,1051,1183,1196,2379
井口３丁目,877,923,995,1918
井口４丁目,1346,1433,1397,2830
井口５丁目,473,501,542,1043
小計,5333,5773,5716,11489
深大寺１丁目,762,817,784,1601
深大寺２丁目,1915,2108,1959,4067
深大寺３丁目,1005,1027,927,1954
小計,3682,3952,3670,7622
野崎１丁目,529,515,537,1052
野崎２丁目,1133,1257,1135,2392
野崎３丁目,881,954,943,1897
野崎４丁目,273,326,259,585
小計,2816,3052,2874,5926
大沢１丁目,1193,1389,1289,2678
大沢２丁目,895,973,928,1901
大沢３丁目,797,735,768,1503
大沢４丁目,1240,1331,1438,2769
大沢５丁目,820,996,1029,2025
大沢６丁目,701,730,743,1473
小計,5646,6154,6195,12349
合計,86804,86830,88875,175705
平成20年11月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1559,1491,1584,3075
下連雀２丁目,1696,1588,1735,3323
下連雀３丁目,5195,3983,4629,8612
下連雀４丁目,3159,2795,2999,5794
下連雀５丁目,1565,1700,1982,3682
下連雀６丁目,1820,1884,1862,3746
下連雀７丁目,2473,2535,2703,5238
下連雀８丁目,1407,1577,1701,3278
下連雀９丁目,1763,2042,2182,4224
小計,20637,19595,21377,40972
牟礼１丁目,1056,1000,1038,2038
牟礼２丁目,1717,1616,1664,3280
牟礼３丁目,859,841,741,1582
牟礼４丁目,1458,1561,1643,3204
牟礼５丁目,1311,1324,1275,2599
牟礼６丁目,2335,2430,2434,4864
牟礼７丁目,790,863,836,1699
小計,9526,9635,9631,19266
井の頭１丁目,2586,2162,2369,4531
井の頭２丁目,2011,1587,1807,3394
井の頭３丁目,1164,1108,1149,2257
井の頭４丁目,1092,1052,1022,2074
井の頭５丁目,1673,1596,1637,3233
小計,8526,7505,7984,15489
中原１丁目,1955,1925,1984,3909
中原２丁目,1259,1354,1321,2675
中原３丁目,1404,1458,1518,2976
中原４丁目,1856,2047,2152,4199
小計,6474,6784,6975,13759
北野１丁目,712,778,855,1633
北野２丁目,921,986,994,1980
北野３丁目,986,1182,1141,2323
北野４丁目,990,1055,1042,2097
小計,3609,4001,4032,8033
新川１丁目,898,898,910,1808
新川２丁目,636,715,705,1420
新川３丁目,888,929,904,1833
新川４丁目,1550,1628,1691,3319
新川５丁目,1271,1248,1316,2564
新川６丁目,2558,2458,2255,4713
小計,7801,7876,7781,15657
上連雀１丁目,1655,1523,1419,2942
上連雀２丁目,1323,1103,1155,2258
上連雀３丁目,875,820,762,1582
上連雀４丁目,1702,1583,1566,3149
上連雀５丁目,1469,1466,1372,2838
上連雀６丁目,1486,1430,1600,3030
上連雀７丁目,1373,1423,1509,2932
上連雀８丁目,1426,1590,1630,3220
上連雀９丁目,1512,1635,1666,3301
