平成17年12月1日現在,,,
年  齢,計,男,女
総  数,171408,85064,86344
0～4,6796,3434,3362
0,1372,701,671
1,1330,639,691
2,1371,694,677
3,1408,719,689
4,1315,681,634
5～9,7092,3614,3478
5,1428,717,711
6,1411,729,682
7,1466,754,712
8,1379,697,682
9,1408,717,691
10～14,6731,3478,3253
10,1385,709,676
11,1419,750,669
12,1301,681,620
13,1323,665,658
14,1303,673,630
15～19,7370,3765,3605
15,1254,645,609
16,1340,691,649
17,1419,717,702
18,1502,757,745
19,1855,955,900
20～24,12356,6135,6221
20,2088,1045,1043
21,2326,1149,1177
22,2497,1220,1277
23,2678,1334,1344
24,2767,1387,1380
25～29,15278,7912,7366
25,2935,1491,1444
26,3054,1614,1440
27,3182,1653,1529
28,3028,1539,1489
29,3079,1615,1464
30～34,16298,8554,7744
30,3127,1660,1467
31,3210,1685,1525
32,3397,1772,1625
33,3346,1729,1617
34,3218,1708,1510
35～39,14679,7668,7011
35,3170,1620,1550
36,3171,1699,1472
37,3045,1581,1464
38,3016,1592,1424
39,2277,1176,1101
40～44,12866,6722,6144
40,3010,1578,1432
41,2625,1397,1228
42,2515,1278,1237
43,2448,1256,1192
44,2268,1213,1055
45～49,10179,5233,4946
45,2134,1096,1038
46,2174,1145,1029
47,2074,1067,1007
48,1923,968,955
49,1874,957,917
50～54,10059,5206,4853
50,1865,932,933
51,2008,1059,949
52,2025,1032,993
53,2005,1054,951
54,2156,1129,1027
55～59,12160,6070,6090
55,2366,1200,1166
56,2625,1333,1292
57,2759,1360,1399
58,2637,1288,1349
59,1773,889,884
60～64,9885,4817,5068
60,1692,834,858
61,2062,1038,1024
62,2049,1001,1048
63,2027,975,1052
64,2055,969,1086
65～69,8506,3910,4596
65,1838,882,956
66,1599,706,893
67,1628,769,859
68,1712,821,891
69,1729,732,997
70～74,7776,3478,4298
70,1680,772,908
71,1541,697,844
72,1475,674,801
73,1607,712,895
74,1473,623,850
75～79,6052,2643,3409
75,1378,634,744
76,1238,555,683
77,1248,514,734
78,1110,484,626
79,1078,456,622
80～84,3948,1412,2536
80,987,395,592
81,856,311,545
82,754,265,489
83,718,256,462
84,633,185,448
85～89,2139,659,1480
85,612,188,424
86,422,146,276
87,410,125,285
88,395,117,278
89,300,83,217
90～94,973,293,680
90,267,82,185
91,259,77,182
92,181,63,118
93,158,40,118
94,108,31,77
95～103,265,61,204
95,77,20,57
96,62,16,46
97,35,6,29
98,34,7,27
99,20,5,15
100,14,3,11
101,23,4,19
102,0,0,0
103,0,0,0
104以上,0,0,0
不詳者,0,0,0
平成17年11月1日現在,,,
年  齢,計,男,女
総  数,171341,85039,86302
0～4,6820,3444,3376
0,1359,690,669
1,1324,653,671
2,1386,691,695
3,1403,711,692
4,1348,699,649
5～9,7059,3596,3463
5,1391,710,681
6,1401,721,680
7,1483,754,729
8,1370,699,671
9,1414,712,702
10～14,6714,3474,3240
10,1382,715,667
11,1407,745,662
12,1311,678,633
13,1331,671,660
14,1283,665,618
15～19,7413,3798,3615
15,1274,652,622
16,1350,701,649
17,1423,717,706
18,1515,762,753
19,1851,966,885
20～24,12380,6164,6216
20,2108,1051,1057
21,2354,1162,1192
22,2498,1238,1260
23,2637,1315,1322
24,2783,1398,1385
25～29,15329,7928,7401
25,2964,1528,1436
26,3045,1592,1453
27,3179,1645,1534
28,3023,1528,1495
29,3118,1635,1483
30～34,16304,8538,7766
30,3099,1651,1448
31,3276,1705,1571
32,3329,1727,1602
33,3357,1760,1597
34,3243,1695,1548
35～39,14688,7684,7004
35,3163,1612,1551
36,3185,1718,1467
37,3044,1577,1467
38,2948,1562,1386
39,2348,1215,1133
40～44,12780,6679,6101
40,2942,1541,1401
41,2645,1405,1240
42,2492,1281,1211
43,2451,1256,1195
44,2250,1196,1054
45～49,10159,5217,4942
45,2109,1085,1024
46,2191,1156,1035
47,2050,1053,997
48,1939,968,971
49,1870,955,915
50～54,10077,5222,4855
50,1871,940,931
51,2018,1060,958
52,2012,1026,986
53,2001,1049,952
54,2175,1147,1028
55～59,12103,6046,6057
55,2386,1202,1184
56,2661,1346,1315
57,2746,1366,1380
58,2616,1279,1337
59,1694,853,841
60～64,9942,4843,5099
60,1725,849,876
61,2106,1051,1055
62,2006,969,1037
63,2078,1004,1074
64,2027,970,1057
65～69,8488,3892,4596
65,1827,871,956
66,1567,685,882
67,1675,807,868
68,1692,796,896
69,1727,733,994
70～74,7769,3476,4293
70,1667,767,900
71,1557,702,855
72,1485,675,810
73,1571,694,877
74,1489,638,851
75～79,6021,2629,3392
75,1367,622,745
76,1230,549,681
77,1216,501,715
78,1133,505,628
79,1075,452,623
80～84,3939,1405,2534
80,983,394,589
81,846,305,541
82,758,264,494
83,707,255,452
84,645,187,458
85～89,2130,655,1475
85,595,180,415
86,433,156,277
87,398,113,285
88,397,119,278
89,307,87,220
90～94,964,293,671
90,276,82,194
91,255,86,169
92,171,56,115
93,149,35,114
94,113,34,79
95～103,262,56,206
95,77,16,61
96,58,16,42
97,39,6,33
98,33,7,26
99,19,5,14
100,12,2,10
101,24,4,20
102,0,0,0
103,0,0,0
104以上,0,0,0
不詳者,0,0,0
平成17年10月1日現在,,,
年  齢,計,男,女
総  数,171310,85029,86281
0～4,6817,3449,3368
0,1332,672,660
1,1362,681,681
2,1371,676,695
3,1395,719,676
4,1357,701,656
5～9,7066,3592,3474
5,1376,697,679
6,1398,726,672
7,1511,764,747
8,1358,695,663
9,1423,710,713
10～14,6680,3455,3225
10,1362,698,664
11,1400,745,655
12,1315,690,625
13,1332,664,668
14,1271,658,613
15～19,7457,3815,3642
15,1292,671,621
16,1365,708,657
17,1414,707,707
18,1563,784,779
19,1823,945,878
20～24,12423,6197,6226
20,2140,1067,1073
21,2360,1172,1188
22,2489,1234,1255
23,2679,1342,1337
24,2755,1382,1373
25～29,15400,7945,7455
25,3009,1534,1475
26,3061,1605,1456
27,3170,1645,1525
28,3036,1554,1482
29,3124,1607,1517
30～34,16293,8556,7737
30,3093,1667,1426
31,3318,1712,1606
32,3311,1738,1573
33,3368,1770,1598
34,3203,1669,1534
35～39,14699,7680,7019
35,3157,1607,1550
36,3201,1722,1479
37,3008,1559,1449
38,2928,1544,1384
39,2405,1248,1157
40～44,12691,6641,6050
40,2890,1516,1374
41,2655,1404,1251
42,2504,1288,1216
43,2402,1239,1163
44,2240,1194,1046
45～49,10169,5231,4938
45,2134,1101,1033
46,2186,1152,1034
47,2014,1032,982
48,1931,974,957
49,1904,972,932
50～54,10113,5240,4873
50,1883,948,935
51,2016,1054,962
52,2006,1028,978
53,1995,1050,945
54,2213,1160,1053
55～59,12033,5994,6039
55,2408,1210,1198
56,2689,1350,1339
57,2740,1360,1380
58,2577,1255,1322
59,1619,819,800
60～64,9995,4868,5127
60,1767,877,890
61,2138,1058,1080
62,1984,956,1028
63,2072,1010,1062
64,2034,967,1067
65～69,8490,3885,4605
65,1806,861,945
66,1555,687,868
67,1718,819,899
68,1652,769,883
69,1759,749,1010
70～74,7737,3463,4274
70,1651,764,887
71,1542,704,838
72,1480,663,817
73,1585,703,882
74,1479,629,850
75～79,5982,2622,3360
75,1349,622,727
76,1235,539,696
77,1221,520,701
78,1117,492,625
79,1060,449,611
80～84,3927,1401,2526
80,995,388,607
81,835,305,530
82,759,274,485
83,695,243,452
84,643,191,452
85～89,2119,649,1470
85,591,182,409
86,442,152,290
87,395,113,282
88,385,113,272
89,306,89,217
90～94,961,290,671
90,285,81,204
91,252,88,164
92,169,56,113
93,142,33,109
94,113,32,81
95～103,257,56,201
95,73,16,57
96,56,15,41
97,38,6,32
98,37,9,28
99,21,5,16
100,10,1,9
101,10,1,9
