平成24年10月１日現在,,,,,,,,,,,,
町丁目,性別,年齢,１丁目,２丁目,３丁目,４丁目,５丁目,６丁目,７丁目,８丁目,９丁目,計
下連雀　　　,男,0,12,13,47,21,20,12,20,23,36,204
下連雀　　　,男,1,4,12,38,29,38,18,28,24,37,228
下連雀　　　,男,2,11,10,35,21,20,16,19,24,37,193
下連雀　　　,男,3,12,11,33,29,22,20,21,30,32,210
下連雀　　　,男,4,9,14,40,22,17,12,16,22,42,194
下連雀　　　,男,5,9,6,20,20,33,15,30,22,32,187
下連雀　　　,男,6,15,7,21,19,26,10,28,21,38,185
下連雀　　　,男,7,8,10,26,24,30,10,17,29,38,192
下連雀　　　,男,8,8,9,25,19,26,20,19,17,23,166
下連雀　　　,男,9,14,9,21,18,23,22,31,19,26,183
下連雀　　　,男,10,7,11,26,12,34,15,22,16,27,170
下連雀　　　,男,11,15,7,29,20,25,26,24,17,25,188
下連雀　　　,男,12,9,10,24,25,21,14,30,17,24,174
下連雀　　　,男,13,6,13,34,16,17,17,18,20,35,176
下連雀　　　,男,14,23,12,21,23,29,24,25,13,18,188
下連雀　　　,男,15,11,9,27,19,20,20,24,14,30,174
下連雀　　　,男,16,12,8,18,21,19,21,31,13,19,162
下連雀　　　,男,17,10,8,22,17,10,11,21,12,20,131
下連雀　　　,男,18,15,13,26,19,15,22,20,13,26,169
下連雀　　　,男,19,12,9,26,24,17,19,33,12,13,165
下連雀　　　,男,20,7,15,30,25,7,20,20,11,21,156
下連雀　　　,男,21,11,19,34,25,16,26,24,14,12,181
下連雀　　　,男,22,16,13,38,25,19,21,20,11,18,181
下連雀　　　,男,23,19,18,47,42,6,27,27,20,17,223
下連雀　　　,男,24,25,17,55,32,9,35,34,20,12,239
下連雀　　　,男,25,19,26,62,36,7,28,32,8,12,230
下連雀　　　,男,26,20,34,62,45,11,24,21,19,22,258
下連雀　　　,男,27,26,32,83,49,10,26,19,19,19,283
下連雀　　　,男,28,26,30,106,42,14,24,24,19,24,309
下連雀　　　,男,29,32,51,95,49,15,32,21,22,22,339
下連雀　　　,男,30,27,29,118,61,23,37,20,20,20,355
下連雀　　　,男,31,26,26,113,53,23,35,16,20,26,338
下連雀　　　,男,32,29,34,112,49,21,48,25,21,41,380
下連雀　　　,男,33,17,31,90,59,28,40,25,28,40,358
下連雀　　　,男,34,21,38,98,52,30,33,38,26,46,382
下連雀　　　,男,35,26,22,90,64,41,37,33,26,46,385
下連雀　　　,男,36,24,30,85,60,28,39,42,39,60,407
下連雀　　　,男,37,25,30,85,68,29,35,43,33,44,392
下連雀　　　,男,38,26,33,88,62,29,41,39,42,67,427
下連雀　　　,男,39,37,32,98,61,39,35,40,39,52,433
下連雀　　　,男,40,19,23,104,62,44,38,46,39,49,424
下連雀　　　,男,41,25,27,84,55,46,40,48,35,56,416
下連雀　　　,男,42,25,27,90,51,35,35,55,37,47,402
下連雀　　　,男,43,34,31,95,50,63,39,47,28,53,440
下連雀　　　,男,44,30,26,92,48,42,22,41,33,46,380
下連雀　　　,男,45,40,20,83,50,38,28,46,40,51,396
下連雀　　　,男,46,16,20,60,49,25,42,45,27,30,314
下連雀　　　,男,47,23,33,89,55,45,28,48,30,39,390
下連雀　　　,男,48,17,27,73,53,42,39,44,28,40,363
下連雀　　　,男,49,17,15,64,38,32,35,47,27,30,305
下連雀　　　,男,50,20,19,57,39,36,30,43,28,22,294
下連雀　　　,男,51,20,21,55,44,23,32,43,22,17,277
下連雀　　　,男,52,24,20,73,36,25,29,27,20,25,279
