平成28年12月１日現在,,,
年齢,計,男,女
総計　　　,185273,90799,94474
　０～４　,8064,4151,3913
0,1584,830,754
1,1643,839,804
2,1625,828,797
3,1634,843,791
4,1578,811,767
　５～９　,7888,4106,3782
5,1662,875,787
6,1577,790,787
7,1627,846,781
8,1566,832,734
9,1456,763,693
１０～１４,7401,3815,3586
10,1492,749,743
11,1485,782,703
12,1438,735,703
13,1436,740,696
14,1550,809,741
１５～１９,8028,4058,3970
15,1467,731,736
16,1535,786,749
17,1522,780,742
18,1694,846,848
19,1810,915,895
２０～２４,10833,5378,5455
20,1977,984,993
21,2058,981,1077
22,2208,1110,1098
23,2250,1133,1117
24,2340,1170,1170
２５～２９,11597,5868,5729
25,2278,1122,1156
26,2257,1165,1092
27,2337,1169,1168
28,2394,1242,1152
29,2331,1170,1161
３０～３４,13171,6612,6559
30,2386,1214,1172
31,2536,1286,1250
32,2701,1299,1402
33,2818,1412,1406
34,2730,1401,1329
３５～３９,14428,7239,7189
35,2724,1372,1352
36,2838,1420,1418
37,2965,1495,1470
38,2919,1460,1459
39,2982,1492,1490
４０～４４,15730,7963,7767
40,2983,1509,1474
41,3006,1542,1464
42,3128,1572,1556
43,3350,1708,1642
44,3263,1632,1631
４５～４９,15767,7920,7847
45,3277,1650,1627
46,3158,1558,1600
47,3191,1622,1569
48,3059,1551,1508
49,3082,1539,1543
５０～５４,13067,6728,6339
50,2314,1167,1147
51,3076,1598,1478
52,2650,1420,1230
53,2541,1281,1260
54,2486,1262,1224
５５～５９,10442,5309,5133
55,2233,1158,1075
56,2159,1067,1092
57,2185,1137,1048
58,1991,1002,989
59,1874,945,929
６０～６４,9109,4560,4549
60,1819,911,908
61,1768,862,906
62,1814,931,883
63,1878,929,949
64,1830,927,903
６５～６９,11322,5469,5853
65,1994,1025,969
66,2124,1042,1082
67,2383,1161,1222
68,2461,1147,1314
69,2360,1094,1266
７０～７４,8445,3931,4514
70,1544,740,804
71,1493,703,790
72,1810,859,951
73,1829,840,989
74,1769,789,980
７５～７９,7489,3196,4293
75,1746,760,986
76,1580,700,880
77,1379,540,839
78,1370,594,776
79,1414,602,812
８０～８４,6148,2440,3708
80,1439,568,871
81,1299,533,766
82,1173,461,712
83,1098,446,652
84,1139,432,707
８５～８９,4010,1456,2554
85,1031,378,653
86,890,350,540
87,759,270,489
88,728,249,479
89,602,209,393
９０～９４,1787,512,1275
90,526,173,353
91,434,135,299
92,345,87,258
93,263,63,200
94,219,54,165
９５～１０３,534,86,448
95,162,29,133
96,120,21,99
97,60,8,52
98,61,11,50
99,47,4,43
100,28,3,25
101,32,4,28
102,16,2,14
103,8,4,4
１０４以上,13,2,11
不詳者　　,0,0,0
平成28年11月１日現在,,,
年齢,計,男,女
総計　　　,185267,90768,94499
　０～４　,8051,4132,3919
0,1576,829,747
1,1626,830,796
2,1651,842,809
3,1628,832,796
4,1570,799,771
　５～９　,7878,4113,3765
5,1683,897,786
6,1577,774,803
7,1592,852,740
8,1559,819,740
9,1467,771,696
１０～１４,7398,3803,3595
10,1511,759,752
11,1462,769,693
12,1437,737,700
13,1445,737,708
14,1543,801,742
１５～１９,8060,4079,3981
15,1487,741,746
16,1513,782,731
17,1528,775,753
18,1711,856,855
19,1821,925,896
２０～２４,10903,5400,5503
20,2012,984,1028
21,2093,1013,1080
22,2213,1098,1115
23,2258,1139,1119
24,2327,1166,1161
２５～２９,11573,5851,5722
25,2255,1110,1145
26,2297,1199,1098
27,2316,1153,1163
28,2405,1238,1167
29,2300,1151,1149
３０～３４,13181,6615,6566
30,2395,1221,1174
31,2565,1286,1279
32,2675,1306,1369
33,2846,1420,1426
34,2700,1382,1318
３５～３９,14457,7267,7190
35,2733,1376,1357
36,2855,1439,1416
37,2974,1501,1473
38,2926,1450,1476
39,2969,1501,1468
４０～４４,15752,7970,7782
40,2998,1506,1492
41,2987,1529,1458
42,3192,1608,1584
43,3284,1674,1610
44,3291,1653,1638
４５～４９,15685,7872,7813
45,3260,1611,1649
46,3143,1553,1590
47,3195,1645,1550
48,3073,1544,1529
49,3014,1519,1495
５０～５４,13062,6723,6339
50,2369,1200,1169
51,3011,1552,1459
52,2675,1436,1239
53,2524,1277,1247
54,2483,1258,1225
５５～５９,10406,5278,5128
55,2224,1145,1079
56,2155,1068,1087
57,2186,1137,1049
