平成19年12月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1579,1524,1594,3118
下連雀２丁目,1680,1581,1725,3306
下連雀３丁目,5056,3944,4492,8436
下連雀４丁目,3159,2777,2999,5776
下連雀５丁目,1528,1667,1938,3605
下連雀６丁目,1865,1911,1923,3834
下連雀７丁目,2452,2551,2678,5229
下連雀８丁目,1379,1544,1713,3257
下連雀９丁目,1761,2037,2180,4217
小計,20459,19536,21242,40778
牟礼１丁目,1042,999,1004,2003
牟礼２丁目,1724,1603,1647,3250
牟礼３丁目,835,839,724,1563
牟礼４丁目,1447,1524,1627,3151
牟礼５丁目,1313,1311,1297,2608
牟礼６丁目,2307,2454,2430,4884
牟礼７丁目,790,858,836,1694
小計,9458,9588,9565,19153
井の頭１丁目,2551,2122,2352,4474
井の頭２丁目,2005,1591,1822,3413
井の頭３丁目,1148,1097,1150,2247
井の頭４丁目,1093,1047,1034,2081
井の頭５丁目,1684,1613,1627,3240
小計,8481,7470,7985,15455
中原１丁目,1971,1930,1993,3923
中原２丁目,1285,1374,1353,2727
中原３丁目,1370,1444,1519,2963
中原４丁目,1835,2058,2149,4207
小計,6461,6806,7014,13820
北野１丁目,700,788,849,1637
北野２丁目,915,986,982,1968
北野３丁目,998,1191,1137,2328
北野４丁目,994,1051,1025,2076
小計,3607,4016,3993,8009
新川１丁目,896,884,935,1819
新川２丁目,626,716,697,1413
新川３丁目,907,929,900,1829
新川４丁目,1444,1521,1554,3075
新川５丁目,1257,1263,1321,2584
新川６丁目,2544,2467,2244,4711
小計,7674,7780,7651,15431
上連雀１丁目,1610,1489,1415,2904
上連雀２丁目,1328,1104,1158,2262
上連雀３丁目,863,790,738,1528
上連雀４丁目,1714,1584,1558,3142
上連雀５丁目,1450,1488,1367,2855
上連雀６丁目,1453,1392,1576,2968
上連雀７丁目,1354,1400,1499,2899
上連雀８丁目,1440,1597,1638,3235
上連雀９丁目,1503,1641,1667,3308
小計,12715,12485,12616,25101
井口１丁目,1573,1722,1570,3292
井口２丁目,1043,1144,1188,2332
井口３丁目,873,924,1001,1925
井口４丁目,1324,1385,1359,2744
井口５丁目,470,506,543,1049
小計,5283,5681,5661,11342
深大寺１丁目,739,786,778,1564
深大寺２丁目,1833,2060,1934,3994
深大寺３丁目,998,1036,908,1944
小計,3570,3882,3620,7502
野崎１丁目,521,521,518,1039
野崎２丁目,1081,1201,1095,2296
野崎３丁目,874,951,948,1899
野崎４丁目,265,320,261,581
小計,2741,2993,2822,5815
大沢１丁目,1175,1363,1274,2637
大沢２丁目,886,965,933,1898
大沢３丁目,766,672,695,1367
大沢４丁目,1228,1325,1446,2771
大沢５丁目,793,992,995,1987
大沢６丁目,723,754,759,1513
小計,5571,6071,6102,12173
合計,86020,86308,88271,174579
平成19年11月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1570,1518,1588,3106
下連雀２丁目,1668,1573,1719,3292
下連雀３丁目,5038,3934,4476,8410
下連雀４丁目,3155,2764,2997,5761
下連雀５丁目,1540,1669,1951,3620
下連雀６丁目,1870,1920,1934,3854
下連雀７丁目,2466,2561,2698,5259
下連雀８丁目,1380,1543,1711,3254
下連雀９丁目,1756,2034,2182,4216
小計,20443,19516,21256,40772
牟礼１丁目,1037,993,1002,1995
牟礼２丁目,1720,1602,1643,3245
牟礼３丁目,836,843,720,1563
牟礼４丁目,1443,1523,1628,3151
牟礼５丁目,1313,1310,1297,2607
牟礼６丁目,2300,2456,2429,4885
牟礼７丁目,785,846,831,1677
