平成24年12月１日現在,,,
年齢,計,男,女
総計　　　,180276,88600,91676
　０～４　,7446,3841,3605
0,1440,747,693
1,1565,828,737
2,1461,718,743
3,1505,792,713
4,1475,756,719
　５～９　,7090,3613,3477
5,1389,708,681
6,1426,702,724
7,1465,770,695
8,1399,695,704
9,1411,738,673
１０～１４,7418,3769,3649
10,1481,769,712
11,1399,701,698
12,1491,757,734
13,1493,766,727
14,1554,776,778
１５～１９,7827,3965,3862
15,1447,733,714
16,1482,761,721
17,1466,727,739
18,1633,834,799
19,1799,910,889
２０～２４,10522,5173,5349
20,1957,979,978
21,1974,963,1011
22,1972,970,1002
23,2204,1063,1141
24,2415,1198,1217
２５～２９,13105,6625,6480
25,2354,1197,1157
26,2586,1284,1302
27,2562,1338,1224
28,2797,1372,1425
29,2806,1434,1372
３０～３４,14168,7290,6878
30,2784,1458,1326
31,2760,1416,1344
32,2819,1438,1381
33,2894,1479,1415
34,2911,1499,1412
３５～３９,15222,7732,7490
35,2888,1463,1425
36,2949,1491,1458
37,2942,1496,1446
38,3092,1555,1537
39,3351,1727,1624
４０～４４,15951,8085,7866
40,3300,1648,1652
41,3236,1632,1604
42,3154,1597,1557
43,3211,1659,1552
44,3050,1549,1501
４５～４９,13729,7095,6634
45,3064,1568,1496
46,2342,1183,1159
47,3113,1622,1491
48,2693,1442,1251
49,2517,1280,1237
５０～５４,11210,5745,5465
50,2481,1244,1237
51,2264,1201,1063
52,2221,1116,1105
53,2221,1164,1057
54,2023,1020,1003
５５～５９,9468,4816,4652
55,1903,957,946
56,1892,960,932
57,1827,921,906
58,1897,996,901
59,1949,982,967
６０～６４,11324,5676,5648
60,1917,1004,913
61,2088,1088,1000
62,2232,1106,1126
63,2484,1230,1254
64,2603,1248,1355
６５～６９,9501,4568,4933
65,2460,1165,1295
66,1625,787,838
67,1578,760,818
68,1900,934,966
69,1938,922,1016
７０～７４,8401,3771,4630
70,1863,852,1011
71,1877,852,1025
72,1672,772,900
73,1507,628,879
74,1482,667,815
７５～７９,7213,3072,4141
75,1563,692,871
76,1556,629,927
77,1472,639,833
78,1349,566,783
79,1273,546,727
８０～８４,5633,2250,3383
80,1347,551,796
81,1235,487,748
82,1105,460,645
83,976,393,583
84,970,359,611
８５～８９,3206,1092,2114
85,822,321,501
86,744,274,470
87,661,224,437
88,540,154,386
89,439,119,320
９０～９４,1334,319,1015
90,421,124,297
91,308,65,243
92,267,58,209
93,171,38,133
94,167,34,133
９５～１０３,497,103,394
95,150,33,117
96,98,15,83
97,82,17,65
98,65,14,51
99,38,14,24
100,36,5,31
101,17,3,14
102,9,2,7
103,2,0,2
１０４以上,11,0,11
不詳者　　,0,0,0
平成24年11月１日現在,,,
年齢,計,男,女
総計　　　,180391,88675,91716
　０～４　,7427,3833,3594
0,1435,741,694
1,1581,842,739
2,1472,716,756
3,1475,784,691
4,1464,750,714
　５～９　,7122,3629,3493
5,1401,716,685
6,1450,717,733
7,1445,759,686
8,1395,698,697
9,1431,739,692
１０～１４,7395,3758,3637
10,1460,758,702
11,1422,715,707
12,1477,751,726
13,1486,757,729
14,1550,777,773
１５～１９,7881,3984,3897
15,1448,735,713
16,1486,758,728
17,1471,737,734
18,1655,844,811
19,1821,910,911
２０～２４,10572,5196,5376
20,1971,984,987
21,1968,963,1005
22,2027,995,1032
23,2198,1057,1141
24,2408,1197,1211
２５～２９,13160,6665,6495
25,2353,1199,1154
26,2576,1286,1290
27,2602,1344,1258
28,2791,1398,1393
29,2838,1438,1400
３０～３４,14193,7297,6896
30,2780,1474,1306
31,2765,1407,1358
32,2834,1454,1380
33,2891,1467,1424
34,2923,1495,1428
３５～３９,15236,7752,7484
35,2913,1486,1427
36,2939,1496,1443
37,2936,1489,1447
38,3159,1591,1568
39,3289,1690,1599
４０～４４,15960,8093,7867
40,3339,1685,1654
41,3231,1611,1620
42,3136,1586,1550
43,3207,1678,1529
44,3047,1533,1514
４５～４９,13680,7077,6603
45,3014,1555,1459
46,2403,1209,1194
47,3063,1599,1464
48,2704,1443,1261
49,2496,1271,1225
５０～５４,11177,5728,5449
50,2476,1243,1233
51,2259,1187,1072
52,2206,1115,1091
53,2230,1166,1064
54,2006,1017,989
５５～５９,9474,4819,4655
55,1920,962,958
56,1875,950,925
57,1823,924,899
58,1909,1000,909
59,1947,983,964
６０～６４,11377,5706,5671
60,1919,1008,911
61,2116,1098,1018
62,2242,1111,1131
63,2507,1233,1274
64,2593,1256,1337
６５～６９,9460,4534,4926
65,2439,1150,1289
66,1561,765,796
67,1606,773,833
68,1952,951,1001
69,1902,895,1007
７０～７４,8431,3795,4636
70,1910,879,1031
71,1851,848,1003
72,1671,765,906
73,1462,603,859
74,1537,700,837
７５～７９,7202,3064,4138
75,1539,679,860
76,1549,623,926
77,1467,642,825
78,1364,567,797
79,1283,553,730
８０～８４,5590,2225,3365
80,1316,534,782
81,1255,498,757
82,1098,453,645
83,974,395,579
84,947,345,602
８５～８９,3218,1100,2118
85,836,332,504
86,736,264,472
87,663,226,437
88,535,152,383
89,448,126,322
９０～９４,1325,314,1011
90,398,114,284
91,314,69,245
92,269,59,210
93,175,41,134
94,169,31,138
９５～１０３,500,106,494
95,152,33,119
96,98,16,82
97,79,18,61
98,69,17,52
99,36,12,24
100,35,5,30
101,18,3,15
102,10,2,8
103,3,0,3
１０４以上,11,0,11
不詳者　　,0,0,0
平成24年10月１日現在,,,
年齢,計,男,女
総計　　　,180147,88541,91606
　０～４　,7385,3800,3585
0,1417,721,696
1,1576,844,732
2,1480,719,761
3,1473,782,691
4,1439,734,705
　５～９　,7133,3636,3497
5,1418,730,688
6,1450,718,732
7,1422,749,673
8,1431,721,710
9,1412,718,694
１０～１４,7409,3764,3645
10,1448,753,695
11,1434,721,713
12,1471,743,728
13,1489,763,726
14,1567,784,783
１５～１９,7910,4001,3909
15,1447,739,708
16,1482,744,738
17,1458,728,730
18,1690,865,825
19,1833,925,908
２０～２４,10511,5166,5345
20,1955,975,980
21,1937,939,998
22,2044,1008,1036
23,2203,1070,1133
24,2372,1174,1198
２５～２９,13138,6641,6497
25,2394,1198,1196
26,2521,1267,1254
27,2605,1344,1261
28,2804,1406,1398
29,2814,1426,1388
３０～３４,14184,7285,6899
30,2798,1485,1313
31,2744,1402,1342
32,2883,1482,1401
33,2870,1442,1428
34,2889,1474,1415
３５～３９,15245,7765,7480
35,2922,1503,1419
36,2927,1467,1460
37,2931,1513,1418
38,3176,1591,1585
39,3289,1691,1598
４０～４４,15896,8058,7838
40,3334,1692,1642
41,3194,1584,1610
42,3147,1590,1557
43,3212,1676,1536
44,3009,1516,1493
４５～４９,13709,7088,6621
45,2994,1529,1465
46,2493,1266,1227
47,2997,1575,1422
48,2723,1445,1278
49,2502,1273,1229
５０～５４,11094,5691,5403
50,2425,1225,1200
51,2268,1197,1071
52,2224,1126,1098
53,2207,1146,1061
54,1970,997,973
５５～５９,9489,4832,4657
55,1934,983,951
56,1877,946,931
57,1827,926,901
58,1918,995,923
59,1933,982,951
６０～６４,11457,5744,5713
60,1916,1019,897
61,2131,1099,1032
62,2269,1127,1142
63,2523,1229,1294
64,2618,1270,1348
６５～６９,9372,4481,4891
65,2378,1125,1253
66,1495,729,766
67,1649,798,851
68,1978,958,1020
69,1872,871,1001
７０～７４,8440,3808,4632
70,1904,885,1019
71,1869,852,1017
72,1642,757,885
73,1448,605,843
74,1577,709,868
７５～７９,7157,3046,4111
75,1498,650,848
76,1585,644,941
77,1457,636,821
78,1338,571,767
79,1279,545,734
８０～８４,5594,2232,3362
80,1326,540,786
81,1250,488,762
82,1089,456,633
83,990,397,593
84,939,351,588
８５～８９,3198,1089,2109
85,826,324,502
86,725,261,464
87,670,224,446
88,528,151,377
89,449,129,320
９０～９４,1319,310,1009
90,394,111,283
91,313,70,243
92,265,55,210
93,182,41,141
94,165,33,132
９５～１０３,497,104,393
95,146,30,116
96,102,18,84
97,85,16,69
98,62,18,44
99,36,11,25
100,32,5,27
101,22,4,18
102,8,2,6
103,4,0,4
１０４以上,10,0,10
不詳者　　,0,0,0
平成24年９月１日現在,,,
年齢,計,男,女
総計　　　,180137,88529,91608
　０～４　,7408,3801,3607
0,1451,741,710
1,1565,830,735
2,1502,726,776
3,1452,766,686
4,1438,738,700
　５～９　,7142,3641,3501
5,1416,732,684
6,1475,739,736
7,1402,728,674
8,1433,721,712
9,1416,721,695
１０～１４,7393,3766,3627
10,1446,755,691
11,1450,729,721
12,1437,732,705
13,1516,769,747
14,1544,781,763
１５～１９,7942,4013,3929
15,1469,748,721
16,1467,732,735
17,1475,736,739
18,1707,877,830
19,1824,920,904
２０～２４,10426,5112,5314
20,1941,982,959
21,1888,908,980
22,2047,993,1054
23,2194,1069,1125
24,2356,1160,1196
２５～２９,13253,6700,6553
25,2417,1224,1193
26,2549,1283,1266
27,2637,1340,1297
28,2801,1419,1382
29,2849,1434,1415
３０～３４,14211,7292,6919
30,2810,1485,1325
31,2716,1382,1334
32,2881,1479,1402
33,2859,1439,1420
34,2945,1507,1438
３５～３９,15280,7789,7491
