平成23年12月１日現在,,,,
年齢,計,男,女,
総計　　　,176871,87041,89830,
　０～４　,7302,3752,3550,
0,1518,791,727,
1,1467,725,742,
2,1500,788,712,
3,1444,741,703,
4,1373,707,666,
　５～９　,7044,3600,3444,
5,1404,692,712,
6,1438,759,679,
7,1371,678,693,
8,1377,717,660,
9,1454,754,700,
１０～１４,7290,3683,3607,
10,1387,694,693,
11,1467,740,727,
12,1478,749,729,
13,1529,774,755,
14,1429,726,703,
１５～１９,7611,3877,3734,
15,1464,746,718,
16,1440,718,722,
17,1480,769,711,
18,1508,773,735,
19,1719,871,848,
２０～２４,10040,4965,5075,
20,1822,919,903,
21,1808,884,924,
22,1936,935,1001,
23,2231,1090,1141,
24,2243,1137,1106,
２５～２９,13348,6839,6509,
25,2509,1246,1263,
26,2589,1330,1259,
27,2757,1381,1376,
28,2764,1435,1329,
29,2729,1447,1282,
３０～３４,14120,7197,6923,
30,2703,1391,1312,
31,2796,1420,1376,
32,2848,1459,1389,
33,2862,1462,1400,
34,2911,1465,1446,
３５～３９,15462,7887,7575,
35,2891,1483,1408,
36,2912,1502,1410,
37,3078,1542,1536,
38,3322,1718,1604,
39,3259,1642,1617,
４０～４４,15438,7883,7555,
40,3185,1612,1573,
41,3092,1561,1531,
42,3149,1639,1510,
43,2997,1521,1476,
44,3015,1550,1465,
４５～４９,12941,6677,6264,
45,2297,1167,1130,
46,3054,1593,1461,
47,2655,1426,1229,
48,2468,1257,1211,
49,2467,1234,1233,
５０～５４,10526,5429,5097,
50,2239,1183,1056,
51,2185,1102,1083,
52,2215,1172,1043,
53,2011,1023,988,
54,1876,949,927,
５５～５９,9428,4832,4596,
55,1864,948,916,
56,1807,908,899,
57,1896,996,900,
58,1939,979,960,
59,1922,1001,921,
６０～６４,11944,5894,6050,
60,2092,1097,995,
61,2248,1111,1137,
62,2509,1248,1261,
63,2613,1260,1353,
64,2482,1178,1304,
６５～６９,8935,4295,4640,
65,1631,795,836,
66,1569,764,805,
67,1917,945,972,
68,1938,922,1016,
69,1880,869,1011,
７０～７４,8174,3676,4498,
70,1890,860,1030,
71,1698,791,907,
72,1513,638,875,
73,1487,670,817,
74,1586,717,869,
７５～７９,7143,3027,4116,
75,1578,643,935,
76,1501,655,846,
77,1384,595,789,
78,1292,560,732,
79,1388,574,814,
８０～８４,5305,2131,3174,
80,1274,510,764,
81,1136,478,658,
82,1013,418,595,
83,1015,377,638,
84,867,348,519,
８５～８９,3072,1011,2061,
85,794,296,498,
86,728,259,469,
87,586,170,416,
88,499,149,350,
89,465,137,328,
９０～９４,1289,295,994,
90,360,83,277,
91,326,79,247,
92,211,47,164,
93,209,46,163,
94,183,40,143,
９５～１０３,453,91,362,
95,119,21,98,
96,103,21,82,
97,87,22,65,
98,45,16,29,
99,49,5,44,
100,24,4,20,
101,14,2,12,
102,4,0,4,
103,8,0,8,
１０４以上,6,0,6,
不詳者　　,0,0,0,
平成23年11月１日現在,,,,
年齢,計,男,女,
総計　　　,176837,87065,89772,
　０～４　,7276,3755,3521,
0,1531,806,725,
1,1457,718,739,
2,1470,777,693,
3,1434,739,695,
4,1384,715,669,
　５～９　,7049,3598,3451,
5,1432,709,723,
6,1418,747,671,
7,1363,678,685,
8,1399,719,680,
9,1437,745,692,
１０～１４,7296,3687,3609,
10,1408,704,704,
11,1457,737,720,
12,1467,744,723,
13,1526,771,755,
14,1438,731,707,
１５～１９,7645,3892,3753,
15,1464,741,723,
16,1445,729,716,
17,1468,763,705,
18,1541,783,758,
19,1727,876,851,
２０～２４,10089,4993,5096,
20,1820,915,905,
21,1829,894,935,
22,1970,954,1016,
23,2223,1095,1128,
24,2247,1135,1112,
２５～２９,13354,6868,6486,
25,2515,1255,1260,
26,2634,1343,1291,
27,2725,1388,1337,
28,2766,1430,1336,
29,2714,1452,1262,
３０～３４,14138,7208,6930,
30,2693,1375,1318,
31,2829,1454,1375,
32,2832,1433,1399,
33,2877,1472,1405,
34,2907,1474,1433,
３５～３９,15460,7886,7574,
35,2893,1482,1411,
36,2899,1481,1418,
37,3152,1594,1558,
38,3250,1673,1577,
39,3266,1656,1610,
４０～４４,15392,7851,7541,
40,3197,1598,1599,
41,3077,1552,1525,
42,3150,1650,1500,
43,3002,1510,1492,
44,2966,1541,1425,
