平成22年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1536,1452,1539,2991
下連雀２丁目,1716,1631,1748,3379
下連雀３丁目,5443,4139,4847,8986
下連雀４丁目,3145,2826,2993,5819
下連雀５丁目,1536,1679,1993,3672
下連雀６丁目,1952,1936,2014,3950
下連雀７丁目,2338,2424,2637,5061
下連雀８丁目,1427,1597,1718,3315
下連雀９丁目,1745,2045,2160,4205
小計,20838,19729,21649,41378
牟礼１丁目,1040,989,1001,1990
牟礼２丁目,1865,1760,1848,3608
牟礼３丁目,767,742,631,1373
牟礼４丁目,1451,1562,1647,3209
牟礼５丁目,1290,1318,1246,2564
牟礼６丁目,2267,2364,2361,4725
牟礼７丁目,805,873,859,1732
小計,9485,9608,9593,19201
井の頭１丁目,2579,2181,2388,4569
井の頭２丁目,1992,1564,1776,3340
井の頭３丁目,1186,1122,1179,2301
井の頭４丁目,1060,1036,1000,2036
井の頭５丁目,1684,1595,1622,3217
小計,8501,7498,7965,15463
中原１丁目,2018,1926,2004,3930
中原２丁目,1337,1416,1418,2834
中原３丁目,1456,1501,1566,3067
中原４丁目,1875,2026,2142,4168
小計,6686,6869,7130,13999
北野１丁目,695,778,835,1613
北野２丁目,935,976,1008,1984
北野３丁目,997,1204,1173,2377
北野４丁目,1009,1050,1011,2061
小計,3636,4008,4027,8035
新川１丁目,872,862,877,1739
新川２丁目,672,717,747,1464
新川３丁目,879,956,888,1844
新川４丁目,1535,1615,1670,3285
新川５丁目,1331,1260,1363,2623
新川６丁目,2482,2362,2216,4578
小計,7771,7772,7761,15533
上連雀１丁目,1690,1558,1455,3013
上連雀２丁目,1292,1078,1145,2223
上連雀３丁目,884,808,782,1590
上連雀４丁目,1704,1597,1581,3178
上連雀５丁目,1395,1369,1311,2680
上連雀６丁目,1473,1458,1591,3049
上連雀７丁目,1372,1411,1485,2896
上連雀８丁目,1430,1581,1658,3239
上連雀９丁目,1512,1609,1635,3244
小計,12752,12469,12643,25112
井口１丁目,1589,1762,1579,3341
井口２丁目,1071,1189,1281,2470
井口３丁目,903,941,1023,1964
井口４丁目,1358,1456,1432,2888
井口５丁目,473,484,536,1020
小計,5394,5832,5851,11683
深大寺１丁目,756,794,780,1574
深大寺２丁目,1976,2143,1944,4087
深大寺３丁目,1033,1046,987,2033
小計,3765,3983,3711,7694
野崎１丁目,513,518,512,1030
野崎２丁目,1150,1270,1159,2429
野崎３丁目,933,1013,973,1986
野崎４丁目,270,316,261,577
小計,2866,3117,2905,6022
大沢１丁目,1212,1393,1308,2701
大沢２丁目,887,961,919,1880
大沢３丁目,874,787,840,1627
大沢４丁目,1255,1333,1439,2772
大沢５丁目,844,1030,1032,2062
大沢６丁目,714,750,733,1483
小計,5786,6254,6271,12525
合計,87480,87139,89506,176645
平成22年11月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1535,1454,1543,2997
下連雀２丁目,1713,1632,1743,3375
下連雀３丁目,5440,4140,4859,8999
下連雀４丁目,3145,2832,2984,5816
下連雀５丁目,1535,1677,1992,3669
下連雀６丁目,1954,1935,2005,3940
下連雀７丁目,2339,2427,2641,5068
下連雀８丁目,1428,1593,1717,3310
下連雀９丁目,1749,2047,2169,4216
小計,20838,19737,21653,41390
牟礼１丁目,1026,985,991,1976
牟礼２丁目,1859,1758,1851,3609
牟礼３丁目,777,749,635,1384
牟礼４丁目,1462,1571,1662,3233
牟礼５丁目,1292,1321,1250,2571
牟礼６丁目,2276,2375,2375,4750
牟礼７丁目,808,878,863,1741
小計,9500,9637,9627,19264
井の頭１丁目,2590,2190,2386,4576
井の頭２丁目,1995,1561,1782,3343
井の頭３丁目,1181,1119,1171,2290
井の頭４丁目,1056,1033,999,2032
