"年度[西暦]","ポート数","自転車保有台数[台]","会員登録者数[人]","利用回数[回]"
2014,18,210,4162,29790
2015,38,710,13264,170982
2016,63,1710,31256,487367
2017,85,1710,58582,1101935

"平成30年度港区行政資料集　自転車シェアリング","Ver201803",,,
