"名称","所在地","連絡先","緯度","経度"
"みなと保育サポート白金","東京都港区白金三丁目10番12号　白金いきいきプラザ2階","03-5423-4909","35.644894","139.731074"
"みなと保育サポート港南四丁目","東京都港区港南四丁目2番4号　都営住宅1階 ","03-5796-8861","35.630196","139.747592"
"みなと保育サポート東麻布","東京都港区東麻布二丁目1番1号　東麻布二丁目複合施設4階","03-5544-8461","35.65821","139.742614"
"みなと保育サポート赤坂","東京都港区赤坂九丁目4番2号　パークコート赤坂檜町ザタワー2階","03-3475-3902","35.668203","139.729674"
"みなと保育サポート白金台","東京都港区白金台四丁目6番2号　ゆかしの杜1階","03-6450-4298","35.639123","139.726605"

"みなと保育サポート施設","Ver202104",,,
