平成26年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1526,1451,1505,2956
下連雀２丁目,1775,1683,1765,3448
下連雀３丁目,5651,4337,4997,9334
下連雀４丁目,3190,2912,3106,6018
下連雀５丁目,1737,1752,2160,3912
下連雀６丁目,2052,2008,2108,4116
下連雀７丁目,2291,2330,2585,4915
下連雀８丁目,1569,1786,1951,3737
下連雀９丁目,1987,2409,2575,4984
小計,21778,20668,22752,43420
牟礼１丁目,1075,976,1048,2024
牟礼２丁目,1929,1820,1970,3790
牟礼３丁目,774,773,630,1403
牟礼４丁目,1517,1599,1714,3313
牟礼５丁目,1315,1341,1314,2655
牟礼６丁目,2472,2659,2719,5378
牟礼７丁目,835,904,833,1737
小計,9917,10072,10228,20300
井の頭１丁目,2551,2138,2408,4546
井の頭２丁目,2075,1585,1833,3418
井の頭３丁目,1216,1106,1215,2321
井の頭４丁目,1098,1029,1012,2041
井の頭５丁目,1706,1656,1636,3292
小計,8646,7514,8104,15618
中原１丁目,2065,1952,2089,4041
中原２丁目,1371,1431,1468,2899
中原３丁目,1448,1524,1595,3119
中原４丁目,1889,2036,2143,4179
小計,6773,6943,7295,14238
北野１丁目,614,698,732,1430
北野２丁目,887,987,1011,1998
北野３丁目,967,1138,1121,2259
北野４丁目,1041,1019,1036,2055
小計,3509,3842,3900,7742
新川１丁目,1026,1052,1082,2134
新川２丁目,670,731,757,1488
新川３丁目,1004,1056,981,2037
新川４丁目,1487,1529,1627,3156
新川５丁目,1309,1191,1294,2485
新川６丁目,2657,2428,2211,4639
小計,8153,7987,7952,15939
上連雀１丁目,1692,1498,1441,2939
上連雀２丁目,1376,1147,1212,2359
上連雀３丁目,922,832,823,1655
上連雀４丁目,1684,1574,1579,3153
上連雀５丁目,1417,1393,1340,2733
上連雀６丁目,1515,1468,1629,3097
上連雀７丁目,1372,1376,1472,2848
上連雀８丁目,1505,1647,1731,3378
上連雀９丁目,1516,1636,1683,3319
小計,12999,12571,12910,25481
井口１丁目,1742,1921,1802,3723
井口２丁目,1064,1206,1280,2486
井口３丁目,966,991,1111,2102
井口４丁目,1404,1504,1465,2969
井口５丁目,465,459,531,990
小計,5641,6081,6189,12270
深大寺１丁目,780,818,813,1631
深大寺２丁目,2076,2216,1961,4177
深大寺３丁目,1045,1036,971,2007
小計,3901,4070,3745,7815
野崎１丁目,518,507,518,1025
野崎２丁目,1192,1281,1246,2527
野崎３丁目,916,1013,986,1999
野崎４丁目,295,326,261,587
小計,2921,3127,3011,6138
大沢１丁目,1300,1477,1411,2888
大沢２丁目,919,990,943,1933
大沢３丁目,957,827,921,1748
大沢４丁目,1341,1443,1541,2984
大沢５丁目,845,1020,1035,2055
大沢６丁目,749,777,788,1565
小計,6111,6534,6639,13173
合計,90349,89409,92725,182134
平成26年11月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1536,1454,1512,2966
下連雀２丁目,1780,1689,1771,3460
下連雀３丁目,5653,4335,4986,9321
下連雀４丁目,3185,2910,3111,6021
下連雀５丁目,1732,1741,2155,3896
下連雀６丁目,2047,2009,2108,4117
下連雀７丁目,2295,2331,2583,4914
下連雀８丁目,1569,1780,1943,3723
下連雀９丁目,1990,2408,2578,4986
小計,21787,20657,22747,43404
牟礼１丁目,1077,979,1042,2021
牟礼２丁目,1943,1836,1980,3816
牟礼３丁目,778,770,633,1403
牟礼４丁目,1509,1580,1703,3283
牟礼５丁目,1311,1337,1306,2643
牟礼６丁目,2465,2650,2707,5357
牟礼７丁目,835,907,833,1740
小計,9918,10059,10204,20263
井の頭１丁目,2554,2141,2399,4540
井の頭２丁目,2075,1578,1835,3413
井の頭３丁目,1210,1098,1208,2306
井の頭４丁目,1098,1026,1014,2040
井の頭５丁目,1687,1629,1615,3244
小計,8624,7472,8071,15543
中原１丁目,2063,1953,2088,4041
中原２丁目,1368,1427,1477,2904
中原３丁目,1454,1525,1597,3122
中原４丁目,1891,2042,2145,4187
小計,6776,6947,7307,14254
北野１丁目,617,700,734,1434
北野２丁目,892,987,1014,2001
北野３丁目,964,1142,1118,2260
北野４丁目,1040,1024,1038,2062
小計,3513,3853,3904,7757
新川１丁目,1018,1047,1075,2122
新川２丁目,666,729,755,1484
新川３丁目,1004,1053,983,2036
新川４丁目,1488,1528,1622,3150
新川５丁目,1310,1191,1289,2480
新川６丁目,2665,2440,2214,4654
小計,8151,7988,7938,15926
上連雀１丁目,1694,1499,1444,2943
上連雀２丁目,1377,1144,1213,2357
上連雀３丁目,924,827,826,1653
上連雀４丁目,1682,1576,1577,3153
上連雀５丁目,1423,1402,1338,2740
上連雀６丁目,1510,1458,1625,3083
上連雀７丁目,1368,1372,1473,2845
上連雀８丁目,1506,1647,1734,3381
上連雀９丁目,1513,1639,1679,3318
小計,12997,12564,12909,25473
井口１丁目,1735,1913,1794,3707
井口２丁目,1061,1194,1280,2474
井口３丁目,963,986,1109,2095
井口４丁目,1402,1498,1460,2958
井口５丁目,467,461,532,993
小計,5628,6052,6175,12227
深大寺１丁目,781,821,815,1636
深大寺２丁目,2075,2215,1958,4173
深大寺３丁目,1047,1038,971,2009
小計,3903,4074,3744,7818
野崎１丁目,519,507,517,1024
野崎２丁目,1195,1284,1253,2537
野崎３丁目,912,1013,985,1998
野崎４丁目,293,324,260,584
小計,2919,3128,3015,6143
大沢１丁目,1298,1471,1404,2875
大沢２丁目,923,992,947,1939
大沢３丁目,987,845,936,1781
大沢４丁目,1339,1435,1536,2971
大沢５丁目,846,1019,1029,2048
大沢６丁目,756,781,794,1575
小計,6149,6543,6646,13189
合計,90365,89337,92660,181997
平成26年10月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1531,1453,1513,2966
下連雀２丁目,1775,1683,1775,3458
下連雀３丁目,5646,4332,4981,9313
下連雀４丁目,3187,2912,3114,6026
下連雀５丁目,1739,1752,2164,3916
下連雀６丁目,2052,2013,2117,4130
下連雀７丁目,2299,2338,2587,4925
下連雀８丁目,1567,1775,1939,3714
下連雀９丁目,1995,2411,2577,4988
小計,21791,20669,22767,43436
牟礼１丁目,1074,976,1037,2013
牟礼２丁目,1951,1840,1995,3835
牟礼３丁目,778,770,631,1401
牟礼４丁目,1509,1580,1704,3284
牟礼５丁目,1298,1325,1296,2621
牟礼６丁目,2436,2618,2664,5282
牟礼７丁目,831,902,825,1727
小計,9877,10011,10152,20163
井の頭１丁目,2553,2136,2402,4538
井の頭２丁目,2080,1583,1837,3420
井の頭３丁目,1212,1096,1212,2308
井の頭４丁目,1099,1026,1014,2040
井の頭５丁目,1679,1628,1611,3239
小計,8623,7469,8076,15545
中原１丁目,2056,1944,2079,4023
中原２丁目,1369,1437,1481,2918
中原３丁目,1464,1528,1604,3132
中原４丁目,1892,2045,2143,4188
小計,6781,6954,7307,14261
北野１丁目,622,703,740,1443
北野２丁目,894,986,1014,2000
北野３丁目,963,1139,1119,2258
北野４丁目,1044,1027,1040,2067
小計,3523,3855,3913,7768
新川１丁目,1015,1044,1068,2112
新川２丁目,663,725,741,1466
新川３丁目,1001,1052,980,2032
新川４丁目,1482,1528,1614,3142
新川５丁目,1316,1193,1305,2498
新川６丁目,2598,2391,2197,4588
小計,8075,7933,7905,15838
上連雀１丁目,1695,1504,1448,2952
上連雀２丁目,1356,1125,1197,2322
上連雀３丁目,918,821,821,1642
上連雀４丁目,1690,1584,1583,3167
上連雀５丁目,1418,1398,1336,2734
上連雀６丁目,1511,1459,1630,3089
上連雀７丁目,1370,1372,1477,2849
上連雀８丁目,1484,1633,1718,3351
上連雀９丁目,1508,1635,1676,3311
小計,12950,12531,12886,25417
井口１丁目,1717,1894,1783,3677
井口２丁目,1059,1192,1278,2470
井口３丁目,962,980,1102,2082
井口４丁目,1398,1494,1455,2949
井口５丁目,468,460,534,994
小計,5604,6020,6152,12172
深大寺１丁目,784,826,816,1642
深大寺２丁目,2073,2209,1953,4162
深大寺３丁目,1048,1039,975,2014
小計,3905,4074,3744,7818
野崎１丁目,519,505,518,1023
野崎２丁目,1193,1284,1253,2537
野崎３丁目,911,1013,979,1992
野崎４丁目,290,322,259,581
小計,2913,3124,3009,6133
大沢１丁目,1297,1470,1403,2873
大沢２丁目,919,985,944,1929
大沢３丁目,993,847,942,1789
大沢４丁目,1341,1440,1538,2978
大沢５丁目,848,1024,1032,2056
大沢６丁目,756,784,791,1575
小計,6154,6550,6650,13200
合計,90196,89190,92561,181751
平成26年９月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1531,1448,1517,2965
下連雀２丁目,1781,1695,1788,3483
下連雀３丁目,5630,4336,4973,9309
下連雀４丁目,3194,2906,3131,6037
下連雀５丁目,1739,1759,2172,3931
下連雀６丁目,2054,2016,2119,4135
下連雀７丁目,2302,2350,2591,4941
下連雀８丁目,1565,1770,1938,3708
下連雀９丁目,1992,2403,2567,4970
小計,21788,20683,22796,43479
牟礼１丁目,1075,981,1037,2018
牟礼２丁目,1960,1856,2010,3866
牟礼３丁目,790,782,633,1415
牟礼４丁目,1508,1581,1707,3288
牟礼５丁目,1300,1333,1298,2631
牟礼６丁目,2301,2440,2463,4903
牟礼７丁目,835,904,842,1746
小計,9769,9877,9990,19867
井の頭１丁目,2536,2123,2381,4504
井の頭２丁目,2080,1581,1845,3426
井の頭３丁目,1210,1096,1213,2309
井の頭４丁目,1099,1031,1015,2046
井の頭５丁目,1660,1619,1598,3217
小計,8585,7450,8052,15502
中原１丁目,2054,1938,2063,4001
中原２丁目,1375,1442,1480,2922
中原３丁目,1471,1528,1606,3134
中原４丁目,1893,2039,2140,4179
小計,6793,6947,7289,14236
北野１丁目,621,703,734,1437
北野２丁目,895,985,1013,1998
北野３丁目,962,1134,1114,2248
北野４丁目,1041,1030,1035,2065
小計,3519,3852,3896,7748
新川１丁目,1015,1048,1065,2113
新川２丁目,665,732,747,1479
新川３丁目,996,1055,973,2028
新川４丁目,1484,1536,1623,3159
新川５丁目,1313,1193,1307,2500
新川６丁目,2609,2401,2186,4587
小計,8082,7965,7901,15866
上連雀１丁目,1693,1509,1446,2955
上連雀２丁目,1313,1082,1155,2237
上連雀３丁目,915,818,815,1633
上連雀４丁目,1681,1575,1582,3157
上連雀５丁目,1413,1390,1333,2723
上連雀６丁目,1504,1456,1623,3079
上連雀７丁目,1371,1376,1479,2855
上連雀８丁目,1491,1646,1728,3374
上連雀９丁目,1513,1643,1679,3322
小計,12894,12495,12840,25335
井口１丁目,1711,1886,1782,3668
井口２丁目,1063,1200,1283,2483
井口３丁目,965,982,1100,2082
井口４丁目,1399,1493,1450,2943
井口５丁目,467,460,534,994
小計,5605,6021,6149,12170
深大寺１丁目,783,822,823,1645
深大寺２丁目,2058,2199,1947,4146
深大寺３丁目,1045,1036,977,2013
小計,3886,4057,3747,7804
野崎１丁目,514,508,514,1022
野崎２丁目,1190,1279,1253,2532
野崎３丁目,910,1019,978,1997
野崎４丁目,301,331,260,591
小計,2915,3137,3005,6142
大沢１丁目,1312,1478,1408,2886
大沢２丁目,909,976,940,1916
大沢３丁目,947,834,908,1742
大沢４丁目,1348,1439,1546,2985
大沢５丁目,856,1029,1035,2064
大沢６丁目,758,787,793,1580
小計,6130,6543,6630,13173
合計,89966,89027,92295,181322
平成26年８月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1536,1451,1522,2973
下連雀２丁目,1788,1698,1793,3491
下連雀３丁目,5609,4319,4968,9287
下連雀４丁目,3192,2893,3123,6016
下連雀５丁目,1738,1760,2171,3931
下連雀６丁目,2056,2021,2129,4150
下連雀７丁目,2309,2366,2595,4961
下連雀８丁目,1566,1772,1941,3713
下連雀９丁目,1993,2406,2569,4975
小計,21787,20686,22811,43497
牟礼１丁目,1073,981,1029,2010
牟礼２丁目,1952,1847,2005,3852
牟礼３丁目,786,778,635,1413
牟礼４丁目,1497,1574,1698,3272
牟礼５丁目,1299,1333,1299,2632
牟礼６丁目,2295,2430,2461,4891
牟礼７丁目,833,906,843,1749
小計,9735,9849,9970,19819
井の頭１丁目,2535,2118,2386,4504
井の頭２丁目,2084,1585,1842,3427
井の頭３丁目,1212,1093,1221,2314
井の頭４丁目,1100,1033,1015,2048
井の頭５丁目,1662,1620,1599,3219
小計,8593,7449,8063,15512
中原１丁目,2050,1929,2057,3986
中原２丁目,1368,1435,1473,2908
中原３丁目,1468,1526,1606,3132
中原４丁目,1894,2043,2144,4187
小計,6780,6933,7280,14213
北野１丁目,627,706,738,1444
北野２丁目,894,984,1014,1998
北野３丁目,965,1143,1118,2261
北野４丁目,1035,1030,1030,2060
小計,3521,3863,3900,7763
新川１丁目,1012,1034,1057,2091
新川２丁目,665,726,744,1470
新川３丁目,996,1060,972,2032
新川４丁目,1484,1536,1620,3156
新川５丁目,1319,1196,1312,2508
新川６丁目,2620,2410,2197,4607
小計,8096,7962,7902,15864
上連雀１丁目,1676,1502,1427,2929
上連雀２丁目,1311,1072,1154,2226
上連雀３丁目,916,822,818,1640
上連雀４丁目,1686,1580,1585,3165
上連雀５丁目,1411,1386,1338,2724
上連雀６丁目,1513,1462,1628,3090
上連雀７丁目,1376,1376,1483,2859
上連雀８丁目,1487,1642,1729,3371
上連雀９丁目,1511,1642,1679,3321
小計,12887,12484,12841,25325
井口１丁目,1705,1878,1770,3648
井口２丁目,1059,1196,1276,2472
井口３丁目,968,985,1105,2090
井口４丁目,1393,1492,1451,2943
井口５丁目,467,460,532,992
小計,5592,6011,6134,12145
深大寺１丁目,786,824,827,1651
深大寺２丁目,2064,2200,1938,4138
深大寺３丁目,1047,1044,977,2021
小計,3897,4068,3742,7810
野崎１丁目,513,506,520,1026
野崎２丁目,1183,1270,1244,2514
野崎３丁目,912,1023,978,2001
野崎４丁目,305,334,261,595
小計,2913,3133,3003,6136
大沢１丁目,1304,1466,1409,2875
大沢２丁目,909,971,943,1914
大沢３丁目,927,819,901,1720
大沢４丁目,1342,1432,1544,2976
大沢５丁目,860,1034,1040,2074
大沢６丁目,759,785,794,1579
小計,6101,6507,6631,13138
合計,89902,88945,92277,181222
平成26年７月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1538,1452,1528,2980
下連雀２丁目,1789,1703,1802,3505
下連雀３丁目,5601,4316,4970,9286
下連雀４丁目,3203,2892,3137,6029
下連雀５丁目,1736,1761,2165,3926
下連雀６丁目,2053,2020,2120,4140
下連雀７丁目,2311,2361,2595,4956
下連雀８丁目,1560,1766,1932,3698
下連雀９丁目,1994,2408,2575,4983
小計,21785,20679,22824,43503
牟礼１丁目,1068,979,1028,2007
牟礼２丁目,1960,1858,2011,3869
牟礼３丁目,790,783,638,1421
牟礼４丁目,1491,1567,1700,3267
牟礼５丁目,1307,1337,1305,2642
牟礼６丁目,2307,2443,2472,4915
牟礼７丁目,837,916,852,1768
小計,9760,9883,10006,19889
井の頭１丁目,2523,2114,2389,4503
井の頭２丁目,2083,1590,1831,3421
井の頭３丁目,1208,1091,1213,2304
井の頭４丁目,1100,1034,1015,2049
井の頭５丁目,1673,1628,1606,3234
小計,8587,7457,8054,15511
中原１丁目,2053,1931,2060,3991
中原２丁目,1364,1433,1471,2904
中原３丁目,1466,1525,1610,3135
中原４丁目,1898,2048,2135,4183
小計,6781,6937,7276,14213
北野１丁目,630,712,740,1452
北野２丁目,903,993,1021,2014
北野３丁目,967,1146,1124,2270
北野４丁目,1036,1032,1033,2065
小計,3536,3883,3918,7801
新川１丁目,889,878,901,1779
新川２丁目,660,721,742,1463
新川３丁目,991,1056,971,2027
新川４丁目,1493,1549,1636,3185
新川５丁目,1316,1196,1314,2510
新川６丁目,2634,2415,2194,4609
小計,7983,7815,7758,15573
上連雀１丁目,1688,1507,1430,2937
上連雀２丁目,1307,1068,1150,2218
上連雀３丁目,912,817,813,1630
上連雀４丁目,1689,1579,1591,3170
上連雀５丁目,1409,1384,1339,2723
上連雀６丁目,1510,1457,1618,3075
上連雀７丁目,1377,1378,1485,2863
上連雀８丁目,1491,1644,1736,3380
上連雀９丁目,1513,1640,1681,3321
小計,12896,12474,12843,25317
井口１丁目,1699,1866,1754,3620
井口２丁目,1065,1194,1279,2473
井口３丁目,970,990,1108,2098
井口４丁目,1391,1493,1450,2943
井口５丁目,467,456,534,990
小計,5592,5999,6125,12124
深大寺１丁目,791,831,829,1660
深大寺２丁目,2076,2215,1943,4158
深大寺３丁目,1051,1051,975,2026
小計,3918,4097,3747,7844
野崎１丁目,514,505,519,1024
野崎２丁目,1190,1272,1245,2517
野崎３丁目,916,1032,981,2013
野崎４丁目,307,335,265,600
小計,2927,3144,3010,6154
大沢１丁目,1304,1465,1410,2875
大沢２丁目,905,969,939,1908
大沢３丁目,945,827,911,1738
大沢４丁目,1341,1433,1549,2982
大沢５丁目,854,1026,1033,2059
大沢６丁目,763,793,797,1590
小計,6112,6513,6639,13152
合計,89877,88881,92200,181081
平成26年６月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1541,1450,1520,2970
下連雀２丁目,1786,1694,1792,3486
下連雀３丁目,5586,4288,4959,9247
下連雀４丁目,3215,2900,3143,6043
下連雀５丁目,1734,1765,2159,3924
下連雀６丁目,2058,2028,2121,4149
下連雀７丁目,2313,2369,2595,4964
下連雀８丁目,1558,1769,1927,3696
下連雀９丁目,1993,2399,2576,4975
小計,21784,20662,22792,43454
牟礼１丁目,1076,984,1026,2010
牟礼２丁目,1957,1855,2005,3860
牟礼３丁目,791,780,638,1418
牟礼４丁目,1500,1571,1709,3280
牟礼５丁目,1315,1346,1307,2653
牟礼６丁目,2309,2439,2466,4905
牟礼７丁目,835,910,850,1760
小計,9783,9885,10001,19886
井の頭１丁目,2525,2120,2386,4506
井の頭２丁目,2089,1592,1825,3417
井の頭３丁目,1208,1091,1219,2310
井の頭４丁目,1095,1031,1016,2047
井の頭５丁目,1669,1620,1600,3220
小計,8586,7454,8046,15500
中原１丁目,2051,1933,2056,3989
中原２丁目,1364,1431,1469,2900
中原３丁目,1462,1526,1605,3131
中原４丁目,1895,2047,2132,4179
小計,6772,6937,7262,14199
北野１丁目,629,713,740,1453
北野２丁目,898,986,1013,1999
北野３丁目,971,1153,1130,2283
北野４丁目,1031,1028,1028,2056
小計,3529,3880,3911,7791
新川１丁目,864,837,861,1698
新川２丁目,661,731,742,1473
新川３丁目,995,1057,974,2031
新川４丁目,1496,1554,1645,3199
新川５丁目,1319,1197,1319,2516
新川６丁目,2644,2412,2207,4619
小計,7979,7788,7748,15536
上連雀１丁目,1694,1506,1442,2948
上連雀２丁目,1308,1066,1145,2211
上連雀３丁目,914,816,817,1633
上連雀４丁目,1695,1581,1597,3178
上連雀５丁目,1410,1379,1333,2712
上連雀６丁目,1503,1447,1610,3057
上連雀７丁目,1382,1393,1483,2876
上連雀８丁目,1491,1643,1739,3382
上連雀９丁目,1507,1638,1676,3314
小計,12904,12469,12842,25311
井口１丁目,1689,1859,1742,3601
井口２丁目,1071,1198,1286,2484
井口３丁目,971,994,1106,2100
井口４丁目,1389,1486,1452,2938
井口５丁目,466,452,531,983
小計,5586,5989,6117,12106
深大寺１丁目,792,832,827,1659
深大寺２丁目,2081,2217,1940,4157
深大寺３丁目,1043,1046,971,2017
小計,3916,4095,3738,7833
野崎１丁目,516,506,522,1028
野崎２丁目,1194,1273,1243,2516
野崎３丁目,911,1028,977,2005
野崎４丁目,306,338,265,603
小計,2927,3145,3007,6152
大沢１丁目,1303,1464,1414,2878
大沢２丁目,909,973,940,1913
大沢３丁目,982,836,938,1774
大沢４丁目,1339,1437,1536,2973
大沢５丁目,860,1028,1039,2067
大沢６丁目,766,796,794,1590
小計,6159,6534,6661,13195
合計,89925,88838,92125,180963
平成26年５月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1550,1455,1526,2981
下連雀２丁目,1790,1693,1797,3490
下連雀３丁目,5579,4278,4963,9241
下連雀４丁目,3230,2905,3153,6058
下連雀５丁目,1736,1774,2161,3935
下連雀６丁目,2064,2033,2125,4158
