平成23年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1543,1465,1550,3015
下連雀２丁目,1768,1685,1805,3490
下連雀３丁目,5453,4170,4874,9044
下連雀４丁目,3168,2874,3015,5889
下連雀５丁目,1569,1683,2029,3712
下連雀６丁目,1995,1990,2075,4065
下連雀７丁目,2321,2411,2609,5020
下連雀８丁目,1412,1592,1711,3303
下連雀９丁目,1884,2222,2390,4612
小計,21113,20092,22058,42150
牟礼１丁目,1042,978,1015,1993
牟礼２丁目,1857,1749,1881,3630
牟礼３丁目,789,774,635,1409
牟礼４丁目,1438,1541,1643,3184
牟礼５丁目,1248,1288,1250,2538
牟礼６丁目,2233,2343,2330,4673
牟礼７丁目,793,861,847,1708
小計,9400,9534,9601,19135
井の頭１丁目,2520,2134,2352,4486
井の頭２丁目,2006,1558,1786,3344
井の頭３丁目,1150,1074,1168,2242
井の頭４丁目,1066,1020,1010,2030
井の頭５丁目,1638,1545,1586,3131
小計,8380,7331,7902,15233
中原１丁目,2010,1936,1992,3928
中原２丁目,1332,1409,1423,2832
中原３丁目,1445,1499,1551,3050
中原４丁目,1844,2009,2135,4144
小計,6631,6853,7101,13954
北野１丁目,694,763,820,1583
北野２丁目,948,979,1037,2016
北野３丁目,983,1183,1147,2330
北野４丁目,1042,1068,1048,2116
小計,3667,3993,4052,8045
新川１丁目,873,853,873,1726
新川２丁目,672,719,728,1447
新川３丁目,890,960,905,1865
新川４丁目,1497,1564,1642,3206
新川５丁目,1314,1242,1337,2579
新川６丁目,2556,2401,2204,4605
小計,7802,7739,7689,15428
上連雀１丁目,1671,1530,1453,2983
上連雀２丁目,1258,1034,1116,2150
上連雀３丁目,866,791,746,1537
上連雀４丁目,1704,1590,1585,3175
上連雀５丁目,1390,1343,1295,2638
上連雀６丁目,1477,1458,1612,3070
上連雀７丁目,1341,1375,1467,2842
上連雀８丁目,1435,1581,1668,3249
上連雀９丁目,1515,1627,1648,3275
小計,12657,12329,12590,24919
井口１丁目,1617,1786,1617,3403
井口２丁目,1074,1196,1274,2470
井口３丁目,918,949,1031,1980
井口４丁目,1349,1445,1416,2861
井口５丁目,465,476,541,1017
小計,5423,5852,5879,11731
深大寺１丁目,753,792,787,1579
