平成28年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
牟礼５丁目,1357,1316,1358,2674
牟礼６丁目,2831,3157,3254,6411
牟礼７丁目,867,945,897,1842
小計,10648,10890,11234,22124
井の頭１丁目,2503,2129,2382,4511
井の頭２丁目,2124,1600,1842,3442
井の頭３丁目,1252,1107,1233,2340
井の頭４丁目,1099,1031,1022,2053
井の頭５丁目,1740,1700,1668,3368
小計,8718,7567,8147,15714
中原１丁目,2115,2019,2185,4204
中原２丁目,1425,1480,1519,2999
中原３丁目,1479,1541,1619,3160
中原４丁目,1915,2032,2133,4165
小計,6934,7072,7456,14528
北野１丁目,637,704,743,1447
北野２丁目,917,993,1006,1999
北野３丁目,920,1063,1025,2088
北野４丁目,996,965,984,1949
小計,3470,3725,3758,7483
新川１丁目,1039,1069,1091,2160
新川２丁目,681,746,765,1511
新川３丁目,1000,1058,1009,2067
新川４丁目,1628,1617,1784,3401
新川５丁目,1352,1223,1347,2570
新川６丁目,2550,2320,2118,4438
小計,8250,8033,8114,16147
上連雀１丁目,1786,1597,1507,3104
上連雀２丁目,1360,1135,1209,2344
上連雀３丁目,925,796,807,1603
上連雀４丁目,1694,1630,1564,3194
上連雀５丁目,1463,1380,1365,2745
上連雀６丁目,1513,1458,1625,3083
上連雀７丁目,1398,1408,1524,2932
上連雀８丁目,1558,1680,1831,3511
上連雀９丁目,1524,1629,1662,3291
小計,13221,12713,13094,25807
井口１丁目,1726,1890,1829,3719
井口２丁目,1060,1174,1271,2445
井口３丁目,979,995,1105,2100
井口４丁目,1409,1514,1494,3008
井口５丁目,477,475,512,987
小計,5651,6048,6211,12259
深大寺１丁目,808,845,848,1693
深大寺２丁目,2036,2160,1947,4107
深大寺３丁目,1084,1100,1002,2102
小計,3928,4105,3797,7902
野崎１丁目,556,523,562,1085
野崎２丁目,1198,1267,1237,2504
野崎３丁目,946,1055,1033,2088
野崎４丁目,295,349,262,611
小計,2995,3194,3094,6288
大沢１丁目,1311,1468,1418,2886
大沢２丁目,929,1001,977,1978
大沢３丁目,949,852,931,1783
大沢４丁目,1340,1424,1508,2932
大沢５丁目,849,1006,1017,2023
大沢６丁目,736,760,764,1524
小計,6114,6511,6615,13126
合計,92127,90757,94566,185323
平成28年９月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1553,1462,1504,2966
下連雀２丁目,1783,1714,1763,3477
下連雀３丁目,5895,4523,5260,9783
