平成27年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1528,1437,1503,2940
下連雀２丁目,1774,1704,1762,3466
下連雀３丁目,5809,4452,5188,9640
下連雀４丁目,3205,2886,3093,5979
下連雀５丁目,1788,1804,2202,4006
下連雀６丁目,2037,1980,2085,4065
下連雀７丁目,2283,2319,2572,4891
下連雀８丁目,1572,1793,1957,3750
下連雀９丁目,1971,2395,2554,4949
小計,21967,20770,22916,43686
牟礼１丁目,1063,963,1036,1999
牟礼２丁目,1970,1824,2019,3843
牟礼３丁目,784,787,654,1441
牟礼４丁目,1527,1614,1728,3342
牟礼５丁目,1346,1328,1340,2668
牟礼６丁目,2494,2699,2790,5489
牟礼７丁目,846,895,856,1751
小計,10030,10110,10423,20533
井の頭１丁目,2536,2139,2388,4527
井の頭２丁目,2092,1601,1842,3443
井の頭３丁目,1221,1089,1181,2270
井の頭４丁目,1077,1007,990,1997
井の頭５丁目,1685,1657,1629,3286
小計,8611,7493,8030,15523
中原１丁目,2103,2010,2149,4159
中原２丁目,1393,1459,1485,2944
中原３丁目,1468,1542,1602,3144
中原４丁目,1891,2003,2129,4132
小計,6855,7014,7365,14379
北野１丁目,611,695,726,1421
北野２丁目,921,1014,1014,2028
北野３丁目,927,1100,1049,2149
北野４丁目,1029,985,1034,2019
小計,3488,3794,3823,7617
新川１丁目,1018,1055,1073,2128
新川２丁目,685,745,770,1515
新川３丁目,1003,1075,995,2070
新川４丁目,1563,1597,1704,3301
新川５丁目,1342,1217,1322,2539
新川６丁目,2548,2338,2144,4482
小計,8159,8027,8008,16035
上連雀１丁目,1765,1549,1484,3033
上連雀２丁目,1364,1145,1198,2343
上連雀３丁目,914,804,797,1601
上連雀４丁目,1699,1606,1582,3188
上連雀５丁目,1419,1367,1336,2703
上連雀６丁目,1504,1467,1615,3082
上連雀７丁目,1381,1375,1513,2888
上連雀８丁目,1563,1691,1809,3500
上連雀９丁目,1506,1617,1662,3279
小計,13115,12621,12996,25617
井口１丁目,1711,1875,1802,3677
井口２丁目,1058,1186,1260,2446
井口３丁目,951,989,1089,2078
井口４丁目,1416,1521,1506,3027
井口５丁目,464,459,516,975
小計,5600,6030,6173,12203
深大寺１丁目,798,838,840,1678
深大寺２丁目,2024,2144,1954,4098
深大寺３丁目,1066,1075,993,2068
小計,3888,4057,3787,7844
野崎１丁目,544,516,547,1063
野崎２丁目,1194,1267,1246,2513
野崎３丁目,927,1026,1009,2035
野崎４丁目,278,319,256,575
小計,2943,3128,3058,6186
大沢１丁目,1307,1472,1421,2893
大沢２丁目,932,1014,970,1984
大沢３丁目,936,835,928,1763
大沢４丁目,1338,1428,1524,2952
大沢５丁目,849,1008,1026,2034
大沢６丁目,740,761,775,1536
小計,6102,6518,6644,13162
合計,90758,89562,93223,182785
平成27年11月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1527,1439,1507,2946
下連雀２丁目,1785,1709,1773,3482
下連雀３丁目,5787,4437,5173,9610
下連雀４丁目,3199,2884,3101,5985
下連雀５丁目,1782,1795,2203,3998
下連雀６丁目,2037,1988,2092,4080
下連雀７丁目,2283,2312,2573,4885
下連雀８丁目,1573,1797,1959,3756
下連雀９丁目,1975,2393,2557,4950
小計,21948,20754,22938,43692
