平成25年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1545,1462,1539,3001
下連雀２丁目,1786,1679,1800,3479
下連雀３丁目,5542,4288,4941,9229
下連雀４丁目,3222,2909,3140,6049
下連雀５丁目,1748,1796,2189,3985
下連雀６丁目,2066,2050,2144,4194
下連雀７丁目,2307,2364,2595,4959
下連雀８丁目,1527,1731,1912,3643
下連雀９丁目,2009,2392,2571,4963
小計,21752,20671,22831,43502
牟礼１丁目,1083,1002,1055,2057
牟礼２丁目,1943,1842,1977,3819
牟礼３丁目,783,778,637,1415
牟礼４丁目,1502,1575,1700,3275
牟礼５丁目,1307,1346,1300,2646
牟礼６丁目,2186,2280,2305,4585
牟礼７丁目,853,933,866,1799
小計,9657,9756,9840,19596
井の頭１丁目,2547,2158,2373,4531
井の頭２丁目,2061,1584,1799,3383
井の頭３丁目,1214,1094,1214,2308
井の頭４丁目,1074,1016,1009,2025
井の頭５丁目,1638,1583,1573,3156
小計,8534,7435,7968,15403
中原１丁目,2024,1923,2037,3960
中原２丁目,1345,1400,1469,2869
中原３丁目,1461,1529,1605,3134
中原４丁目,1896,2024,2152,4176
小計,6726,6876,7263,14139
北野１丁目,653,738,773,1511
北野２丁目,914,996,1038,2034
北野３丁目,972,1169,1122,2291
北野４丁目,1062,1053,1050,2103
小計,3601,3956,3983,7939
新川１丁目,835,823,844,1667
新川２丁目,660,719,735,1454
新川３丁目,971,1043,950,1993
新川４丁目,1485,1537,1615,3152
新川５丁目,1320,1207,1337,2544
新川６丁目,2620,2430,2196,4626
小計,7891,7759,7677,15436
上連雀１丁目,1667,1491,1432,2923
上連雀２丁目,1301,1062,1145,2207
上連雀３丁目,899,815,795,1610
上連雀４丁目,1714,1604,1607,3211
上連雀５丁目,1420,1371,1336,2707
上連雀６丁目,1511,1461,1635,3096
上連雀７丁目,1359,1380,1496,2876
上連雀８丁目,1498,1671,1762,3433
上連雀９丁目,1519,1644,1679,3323
小計,12888,12499,12887,25386
井口１丁目,1605,1752,1625,3377
井口２丁目,1064,1197,1277,2474
井口３丁目,933,953,1065,2018
井口４丁目,1394,1493,1445,2938
井口５丁目,460,448,523,971
小計,5456,5843,5935,11778
深大寺１丁目,797,842,840,1682
深大寺２丁目,2046,2190,1938,4128
深大寺３丁目,1040,1055,955,2010
小計,3883,4087,3733,7820
