"年度[西暦]","田町[人]","赤坂[人]","芝[人]","麻布東[人]","麻布西[人]","青山[人]","高輪[人]","芝浦港南[人]"
2013,877129,320946,328636,449798,,525141,721335,571497
2014,866447,308609,347911,139690,326983,543389,727267,599520
2015,872789,300878,367742,133457,324469,536783,769609,641329
2016,860716,293930,312823,128848,334440,541579,769379,659470
2017,913361,288558,289113,131056,344829,567010,773928,642598

"平成30年度港区行政資料集　コミュニティバス「ちぃばす」の利用者数","Ver201803",,,,,,,
