X,Y,GAIRONO
"-33,400.82","-50,710.17",A1382
"-33,431.24","-50,714.96",A1381
"-33,466.41","-50,904.39",A6164
"-33,409.34","-50,968.60",A2907
"-33,417.15","-51,017.85",A4634
"-33,456.29","-51,047.89",A4639
"-33,478.74","-51,082.18",A4646
"-33,429.32","-51,082.19",A4647
"-33,315.54","-51,077.71",A3223
"-33,365.34","-50,704.60",A08414
"-33,512.26","-50,643.64",A04875
"-33,538.57","-50,727.11",A2343
"-33,487.62","-50,759.32",A4369
"-33,503.36","-50,838.33",A6642
"-33,557.69","-50,854.32",A6640
"-33,542.53","-50,884.70",A6639
"-33,489.74","-50,912.42",A2874
"-33,488.17","-51,007.54",A4640
"-33,551.01","-51,114.75",A4655
"-33,553.19","-51,129.89",A4657
"-33,992.06","-50,663.93",A01799
"-33,965.96","-50,653.06",A05861
"-33,952.75","-50,642.39",A05186
"-33,925.29","-50,743.12",A5183
"-33,956.27","-50,741.66",A0164
"-33,994.12","-50,751.52",A05178
"-33,918.27","-50,763.88",A05182
"-33,989.36","-50,833.41",A04176
"-33,939.74","-50,885.99",A6161
"-33,771.32","-50,846.64",A2342
"-33,774.67","-50,827.37",A6735
"-33,775.91","-50,780.19",A6612
"-33,804.61","-50,789.55",A6736
"-33,701.92","-50,738.90",A4872
"-33,836.81","-50,697.35",A0158
"-33,999.61","-50,169.96",A00198
"-33,897.94","-50,185.44",A5217
"-33,869.15","-50,240.95",A5220
"-33,831.50","-50,239.13",A5221
"-33,765.01","-50,238.68",A5222
"-33,744.62","-50,238.69",A5223
"-33,719.61","-50,257.13",A05131
"-33,679.82","-50,264.19",A06543
"-33,699.88","-50,283.18",A00293
"-33,720.94","-50,321.06",A00155
"-33,774.35","-50,314.77",A04309
"-33,746.81","-50,280.19",A04310
"-33,894.24","-50,243.95",A5219
"-33,901.64","-50,271.55",A5218
"-33,945.46","-50,337.28",A06615
"-33,923.13","-50,346.24",A00553
"-33,872.07","-50,369.04",A05907
"-33,924.06","-50,384.39",A04859
"-33,928.29","-50,363.61",A00501
"-33,995.58","-50,388.47",A00256
"-34,014.89","-50,384.64",A04434
"-33,892.94","-50,443.17",A05021
"-33,736.06","-50,353.65",A02331
"-33,697.12","-50,352.10",A01127
"-33,804.58","-50,378.71",A06796
"-33,865.98","-50,509.18",A06482
"-33,750.68","-50,518.66",A02685
"-33,885.98","-50,599.50",A04123
"-33,644.35","-50,127.74",A06907
"-33,611.28","-50,102.60",A06908
"-33,610.97","-50,178.97",A06909
"-33,663.69","-50,171.87",A06906
"-33,665.89","-50,213.29",A6905
"-33,576.18","-50,181.70",A02700
"-33,539.96","-50,172.90",A02711
"-33,538.04","-50,232.35",A02710
"-33,564.73","-50,224.87",A02699
"-33,513.54","-50,214.41",A02727
"-33,444.17","-50,148.46",A05014
"-33,418.28","-50,149.21",A00149
"-33,476.75","-50,164.18",A02326
"-33,500.46","-50,202.36",A00152
"-33,488.67","-50,224.21",A00962
"-33,421.77","-50,199.59",A3568
"-33,412.84","-50,226.96",A04773
"-33,412.45","-50,244.48",A00150
"-33,452.41","-50,243.11",A04121
"-33,500.94","-50,258.38",A01103
"-33,351.17","-50,142.05",A01128
"-33,379.83","-50,230.23",A04436
"-33,319.19","-50,246.03",A5042
"-33,455.17","-50,259.80",A00963
"-33,414.72","-50,298.83",A01800
"-33,386.20","-50,307.40",A3569
"-33,459.14","-50,323.34",A01121
"-33,418.06","-50,343.56",A00928
"-33,324.62","-50,338.36",A02785
"-33,292.10","-50,342.82",A05390
"-33,311.42","-50,368.36",A00821
"-33,298.92","-50,383.21",A05508
"-33,654.85","-50,237.81",A00154
"-33,637.81","-50,230.85",A02672
"-33,608.30","-50,227.40",A06544
"-33,590.25","-50,226.03",A02671
"-33,645.79","-50,261.22",A02673
"-33,608.68","-50,251.55",A02670
"-33,573.58","-50,248.82",A02698
"-33,538.31","-50,260.78",A02709
"-33,536.74","-50,290.46",A02708
"-33,571.59","-50,291.05",A02697
"-33,607.01","-50,293.74",A02669
"-33,637.15","-50,296.63",A02674
"-33,627.64","-50,335.33",A02675
"-33,611.34","-50,347.75",A02668
"-33,637.53","-50,374.56",A02676
"-33,664.51","-50,378.98",A02689
"-33,602.78","-50,388.09",A02667
"-33,569.99","-50,332.66",A02696
"-33,568.79","-50,367.09",A02695
"-33,535.73","-50,319.53",A02707
"-33,534.38","-50,349.81",A02706
"-33,531.82","-50,395.25",A02705
"-33,503.34","-50,294.21",A00295
"-33,498.21","-50,335.41",A02327
"-33,485.19","-50,364.57",A05503
"-33,461.51","-50,384.17",A02328
"-33,383.37","-50,365.38",A2329
"-33,353.19","-50,386.59",A02532
"-33,365.03","-50,485.44",A00318
"-33,474.93","-50,483.53",A02814
"-33,354.95","-50,522.32",A04291
"-33,296.12","-50,526.65",A4491
"-33,527.67","-50,591.54",A04874
"-33,213.28","-50,158.31",A00826
"-33,163.52","-50,151.43",A1313
"-33,151.90","-50,168.90",A0838
"-33,102.31","-50,165.50",A00839
"-33,100.13","-50,207.94",A00840
"-33,142.86","-50,210.61",A00204
"-33,170.30","-50,192.89",A00280
"-33,201.18","-50,175.88",A00825
"-33,227.60","-50,180.51",A01312
"-33,268.16","-50,183.30",A1834
"-33,264.32","-50,227.46",A00823
"-33,229.20","-50,220.45",A00205
"-33,205.70","-50,216.60",A05211
"-33,161.58","-50,209.20",A01309
"-33,130.33","-50,237.27",A01308
"-33,058.16","-50,170.02",A00202
"-33,014.07","-50,168.79",A01316
"-32,970.23","-50,172.01",A04218
"-32,954.76","-50,191.39",A04249
"-33,008.35","-50,194.57",A00842
"-33,032.08","-50,204.17",A02533
"-33,064.95","-50,214.02",A00843
"-32,991.20","-50,229.05",A02516
"-32,941.62","-50,239.15",A04250
"-32,979.75","-50,254.85",A4251
"-33,069.86","-50,265.38",A00201
"-33,100.34","-50,262.44",A00203
"-33,100.59","-50,291.06",A05418
"-33,072.26","-50,299.84",A0844
"-33,043.74","-50,306.24",A01317
"-33,027.53","-50,314.54",A4260
"-32,997.84","-50,257.75",A0341
"-32,993.96","-50,284.88",A04259
"-32,966.86","-50,297.73",A6032
"-32,940.41","-50,311.12",A04258
"-32,988.02","-50,338.95",A4261
"-32,961.80","-50,263.37",A4996
"-32,943.38","-50,272.28",A04252
"-33,066.80","-50,339.40",A00845
"-33,085.44","-50,336.35",A04272
"-33,115.78","-50,335.92",A00846
"-33,073.65","-50,352.95",A04270
"-33,134.79","-50,270.57",A00841
"-33,190.60","-50,238.22",A00822
"-33,185.80","-50,276.83",A00482
"-33,225.46","-50,275.55",A00481
"-33,168.15","-50,305.23",A01307
"-33,125.11","-50,302.49",A2445
"-33,142.56","-50,328.67",A04273
"-33,182.38","-50,329.20",A00476
"-33,218.65","-50,306.05",A00477
"-33,239.37","-50,278.40",A01311
"-33,248.92","-50,283.00",A04769
"-33,268.58","-50,275.40",A00480
"-33,262.62","-50,285.41",A00479
"-33,277.43","-50,313.37",A01793
"-33,279.60","-50,260.99",A05970
"-33,247.67","-50,332.59",A04858
"-33,271.44","-50,353.14",A04427
"-33,197.06","-50,359.05",A00254
"-33,226.13","-50,384.92",A04289
"-33,151.52","-50,367.47",A4274
"-33,115.06","-50,359.02",A4271
"-33,123.96","-50,383.56",A01010
"-33,117.04","-50,412.71",A01013
"-33,037.41","-50,353.46",A04689
"-33,009.14","-50,367.87",A01033
"-32,984.42","-50,379.74",A04264
"-32,932.08","-50,358.58",A04262
"-32,953.88","-50,355.86",A05040
"-33,022.25","-50,393.49",A04268
"-33,053.09","-50,377.38",A04269
"-33,084.49","-50,384.52",A03561
"-33,164.34","-50,486.32",A06752
"-32,907.34","-50,151.79",A4217
"-32,914.59","-50,178.69",A04247
"-32,898.84","-50,227.83",A04248
"-32,834.94","-50,250.73",A04246
"-32,833.57","-50,154.38",A4886
"-32,824.35","-50,181.84",A4222
"-32,811.95","-50,220.42",A05419
"-32,801.92","-50,240.05",A04223
"-32,780.23","-50,233.23",A06794
"-32,765.43","-50,205.49",A06795
"-32,772.31","-50,183.47",A4243
"-32,758.76","-50,226.30",A04224
"-32,726.75","-50,219.71",A04225
"-32,708.60","-50,249.65",A04244
"-32,742.87","-50,147.41",A4823
"-32,714.43","-50,174.28",A4242
"-32,699.34","-50,142.22",A2579
"-32,638.17","-50,175.77",A2595
"-32,560.72","-50,141.71",A2590
"-32,562.34","-50,170.07",A4160
"-32,564.62","-50,206.74",A6449
"-32,601.32","-50,180.70",A2602
"-32,596.95","-50,220.49",A04532
"-32,640.84","-50,209.73",A04059
"-32,673.68","-50,208.36",A04945
"-32,699.89","-50,210.04",A04226
"-32,663.33","-50,236.99",A01158
"-32,719.50","-50,144.09",A6104
"-32,732.90","-50,260.21",A06611
"-32,629.66","-50,246.18",A02603
"-32,566.13","-50,236.92",A2606
"-32,568.69","-50,276.93",A6450
"-32,562.41","-50,301.89",A2653
"-32,607.67","-50,318.30",A02604
"-32,653.63","-50,269.48",A06695
"-32,644.49","-50,305.00",A00320
"-32,636.07","-50,338.24",A2576
"-32,597.51","-50,357.12",A4690
"-32,673.10","-50,337.79",A6725
"-32,715.63","-50,350.70",A03717
"-32,628.08","-50,373.28",A4944
"-32,592.64","-50,390.89",A2605
"-32,557.72","-50,388.12",A4567
"-32,674.92","-50,482.69",A03648
"-32,595.25","-50,626.94",A50032
"-32,814.83","-50,384.99",A03642
"-32,899.28","-50,386.85",A03716
"-32,920.79","-50,372.19",A4263
"-32,912.47","-50,326.38",A5859
"-32,885.99","-50,348.98",A04257
"-32,862.72","-50,322.19",A04256
"-32,830.27","-50,325.81",A03643
"-32,842.75","-50,299.06",A04255
"-32,771.43","-50,301.68",A03645
"-32,897.28","-50,295.64",A4254
"-32,783.74","-50,339.00",A03644
"-32,916.76","-50,285.51",A04253
"-32,758.30","-50,267.38",A04245
"-32,794.55","-50,278.65",A04971
"-34,461.98","-51,553.69",A4032
"-34,478.97","-51,567.33",A04033
"-34,539.93","-51,492.24",A2872
"-34,460.69","-51,621.53",A0671
"-34,620.27","-51,635.71",A3907
"-34,657.74","-51,619.63",A01067
"-34,686.90","-51,604.81",A00676
"-34,653.83","-51,521.74",A05729
"-34,646.32","-51,518.73",A5728
"-34,626.71","-51,483.49",A5727
"-34,356.62","-51,163.87",A5250
"-34,288.47","-51,220.31",A4839
"-34,268.68","-51,231.11",A4840
"-34,250.56","-51,198.61",A4841
"-34,235.04","-51,177.27",A0180
"-34,236.47","-51,252.74",A1132
"-34,099.65","-51,311.98",A0298
"-34,172.64","-51,308.17",A0658
"-34,203.28","-51,306.52",A1184
"-34,213.33","-51,444.44",A4594
"-34,211.20","-51,494.34",A6814
"-34,152.17","-51,512.26",A1186
"-34,212.52","-51,550.44",A0441
"-34,117.87","-51,551.23",A00440
"-34,097.98","-51,620.14",A7442
"-34,218.93","-51,618.68",A0444
"-34,385.35","-51,613.08",A00447
"-34,349.52","-51,593.55",A5291
"-34,304.10","-51,582.65",A5289
"-34,414.15","-51,641.19",A5294
"-34,335.85","-51,487.00",A4199
"-34,392.40","-51,473.00",A4203
"-34,337.71","-51,306.15",A0436
"-34,276.68","-51,345.71",A00653
"-33,178.99","-51,160.74",A3227
"-33,089.54","-51,214.96",A2970
"-33,072.89","-51,236.53",A50076
"-33,225.37","-51,302.31",A3240
"-33,249.26","-51,266.98",A4157
"-33,232.90","-51,367.34",A5456
"-33,152.33","-51,375.39",A3867
"-33,084.96","-51,407.43",A0911
"-33,277.99","-51,360.49",A2377
"-33,268.12","-51,421.38",A2379
"-33,235.45","-51,536.82",A5453
"-33,131.31","-51,528.48",A3871
"-33,024.05","-51,595.00",A2386
"-33,088.09","-51,642.40",A02364
"-33,101.79","-51,525.55",A2369
"-33,071.02","-51,550.63",A4007
"-32,929.74","-51,583.15",A0867
"-32,931.78","-51,547.64",A02403
"-33,054.61","-51,399.20",A3327
"-33,036.10","-51,483.56",A0900
"-33,021.69","-51,397.95",A0912
"-32,966.19","-51,471.92",A03613
"-32,939.81","-51,469.77",A00863
"-33,026.97","-51,305.39",A3256
"-32,938.71","-51,361.04",A04506
"-33,062.17","-51,358.85",A0910
"-33,054.96","-51,324.82",A4129
"-33,061.94","-51,239.27",A50077
"-33,044.18","-51,244.09",A50078
"-33,027.69","-51,248.73",A50079
"-33,002.10","-51,256.21",A50080
"-32,985.91","-51,261.26",A50081
"-32,967.34","-51,265.93",A50058
"-32,942.65","-51,273.27",A50057
"-33,033.16","-51,163.52",A3168
"-32,899.64","-51,227.72",A3171
"-32,783.72","-51,214.37",A3087
"-32,718.11","-51,166.30",A3090
