"年度[西暦]","一般相談 金融[件]","一般相談 経営[件]","一般相談 その他[件]","一般相談 計[件]","受発注相談 金融[件]","受発注相談 その他[件]","受発注相談 計[件]"
"2018","2381","6","84","2471","346","2691","3037"
"2019","2830","3","61","2894","333","2731","3064"
"2020","1989","18","321","2328","178","1354","1532"
"2021","1848","48","96","1992","11","1550","1561"
"2022","1959","127","327","2413","41","2823","2864"

"令和5年度港区行政資料集　商工相談件数","Ver202303",,,,,,
