"年度[西暦]","個人[人]","団体[団体数]"
"2018","203","97"
"2019","98","101"
"2020","141","102"
"2021","125","94"
"2022","187","95"

"令和5年度港区行政資料集　ボランティア登録数","Ver202303",
