"年度","一般利用者数 各種事業参加者[人]","開館日数[日]"
"2017","61617","344"
"2018","54459","347"
"2019","69250","340"
"2020","52314","288"
"2021","70504","347"

"令和4年度港区行政資料集　施設利用状況一覧 エコプラザ","Ver202203",
