"年度","戸籍事務 戸籍届受付[件]","戸籍事務 新戸籍編製[件]","戸籍事務 戸籍全部消除[件]","戸籍事務 埋火改葬許可証交付[件]","戸籍事務 身分証明書交付[件]","戸籍事務 戸籍関係諸証明書交付[件]","戸籍事務 身元関係事務処理[件]","戸籍事務 附票事務処理[件]","住民記録事務 住民記録転入届受付[件]","住民記録事務 印鑑登録届受付[件]","住民記録事務 転出証明書交付[件]","住民記録事務 住民記録諸証明書交付[件]","住民記録事務 印鑑登録証明書交付[件]","住民記録事務 住民記録諸届等記載・消除[件]"
"2013","22938","4662","3027","2100","5477","165927","6080","31287","23187","18677","17194","274013","140769","48793"
"2014","23126","4567","3113","2314","5079","172460","5423","31368","23176","18300","17305","265801","138985","48998"
"2015","23543","4705","3168","2070","5335","172008","5431","32067","24056","18169","18367","267949","141755","49971"
"2016","23020","4530","3030","2122","6108","168522","6449","31183","22616","17368","16874","273561","141732","46025"
"2017","22693","4619","2995","2314","5769","170165","6218","31116","22904","17720","16421","263709","140570","46249"

"平成30年度港区行政資料集　窓口事務","Ver201803",,,,,,,,,,,,,
