"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]","他団体出資等分[百万円]"
"年度","2016",,,
"期間（自）","20160401",,,
"期間（至）","20170331",,,
"前年度末純資産残高","3435826","3450617","-14794","2"
"本年度純資産変動額 本年度差額 純行政コスト","-164119",,"-164119","0"
"本年度純資産変動額 本年度差額 財源","180825",,"180825","0"
"本年度純資産変動額 本年度差額 財源 税収等","139799",,"139799","0"
"本年度純資産変動額 本年度差額 財源 国都等補助金","41026",,"41026","0"
"本年度純資産変動額 本年度差額","16706",,"16706","0"
"本年度純資産変動額 固定資産等の変動（内部変動）",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,,,
"本年度純資産変動額 資産評価差額","0","0",,
"本年度純資産変動額 無償所管換等","10647","10647",,
"本年度純資産変動額 他団体出資等分の増加","0",,,"0"
"本年度純資産変動額 他団体出資等分の減少","0",,,"0"
"本年度純資産変動額 比例連結割合変更に伴う差額","648","689","-41","0"
"本年度純資産変動額 その他","-372","93","-464",
"本年度純資産変動額","27629","28186","-557","0"
"本年度末純資産残高","3463455","3478803","-15351","3"


"連結会計財務書類（純資産変動計算書）(平成28年4月1日から平成29年3月31日)","Ver201703",,,
