"年度[西暦]","戸板女子短期大学 服飾芸術科[人]","戸板女子短期大学 食物栄養科[人]","戸板女子短期大学 国際コミュ学科[人]","東京海洋大学 海洋科学部[人]","東京海洋大学 海洋資源環境学部[人]","東京海洋大学 海洋生命科学部[人]","東京海洋大学 水産専攻科[人]","東京海洋大学 海洋科学専攻科[人]","東京海洋大学 大学院[人]","北里大学 薬学部[人]","北里大学 大学院[人]","慶応義塾大学 文学部[人]","慶応義塾大学 経済学部[人]","慶応義塾大学 法学部[人]","慶応義塾大学 商学部[人]","慶応義塾大学 薬学部[人]","慶応義塾大学 大学院[人]","東京慈恵会医科大学 医学部[人]","東京慈恵会医科大学 大学院[人]","東洋英和女学院大学 大学院（夜間）[人]","明治学院大学 文学部[人]","明治学院大学 経済学部[人]","明治学院大学 社会学部[人]","明治学院大学 法学部[人]","明治学院大学 心理学部[人]","明治学院大学 大学院[人]","政策研究大学院大学 大学院[人]","事業構想大学院大学 大学院（夜間）[人]","合計[人]"
"2019","378","318","253","334","340","539","38",,"555","1398","158","2675","2569","2615","2251","953","1090","558","187","77","1067","1583","1077","1342","658","160","344","86","23603"
"2020","376","312","256","34","444","722","41",,"534","1408","150","2660","2654","2677","2224","935","1232","556","186","71","1059","1502","1123","1314","630","159","335","95","23689"
"2021","385","311","240","11","450","741","3","38","546","1429","136","2668","2698","2672","2230","936","1217","548","187","71","1032","1268","1059","1283","623","144","379","93","23398"
"2022","383","308","228","3","459","748",,"40","566","1434","152","2650","2634","2563","2223","930","1207","546","181","81","1033","1265","978","1283","620","141","363","96","23115"
"2023","383","293","238",,"462","754",,"34","565","1439","160","2684","2584","2598","2194","931","1234","544","193","84","1040","1369","1005","1298","645","135","362","100","23328"

"令和5年度港区行政資料集　短期大学・大学・大学院大学学生数","Ver202305",,,,,,,,,,,,,,,,,,,,,,,,,,,,
