"年度","区立 白金の森[日]","区立 港南の郷[日]","区立 サン・サン赤坂[日]","区立 合計[日]","民間 麻布慶福苑[日]","民間 ベル[日]","民間 新橋さくらの園[日]","民間 ありすの杜きのこ南麻布[日]","民間 洛和ヴィラ南麻布[日]","民間 合計[日]"
"2015","4501","4215","8483","17199","1369","1907","7426","3252","4513","18467"
"2016","4262","4217","8020","16499","1223","1490","6755","3195","4436","17099"
"2017","4003","4164","7942","16109","1154","1554","7260","2923","4612","17503"
"2018","3880","3692","7766","15338","1054","1599","7199","3023","4324","17199"
"2019","4157","3834","8044","16035","1243","1246","7175","3624","4323","17611"

"令和2年度港区行政資料集　特別養護老人ホーム短期入所生活介護（ショートステイ）延利用日数","Ver202003",,,,,,,,,
