施設名,施設名カナ,カテゴリ１,カテゴリ２,トイレ,授乳スペース,おむつ替え,住所,URL,電話番号,経度,緯度
梅若橋コミュニティ会館,ウメワカバシコミュニティカイカン,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区堤通二丁目9番1号,http://www.city.sumida.lg.jp/sisetu_info/tamokuteki/communitykaikan/umewakabashi/index.html,03-3616-1101,139.816696,35.735395
子育て支援総合センター,コソダテシエンソウゴウセンター,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区京島一丁目35番9号103号室　マーク・ゼロワン曳舟タワー棟1階,http://www.city.sumida.lg.jp/sisetu_info/kosodate/kosodate_sougouc/index.html,03-5630-6351,139.819806,35.716666
さくら橋コミュニティセンター,サクラバシコミュニティセンター,赤ちゃん休けいスポット,公共施設,トイレ,,おむつ,墨田区向島二丁目3番8号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/zidoukan/sakurabasi.html,03-3623-2181,139.805844,35.71368
社会福祉会館,シャカイフクシカイカン,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区東墨田二丁目7番1号,http://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/syakaihukusikaikan.html,03-3619-1051,139.830361,35.71903
スポーツプラザ梅若,スポーツプラザウメワカ,赤ちゃん休けいスポット,公共施設,トイレ,,おむつ,墨田区墨田一丁目4番4号,http://www.city.sumida.lg.jp/sisetu_info/sports/umewaka.html,03-5630-8880,139.8158411,35.7292066
墨田区総合体育館,スミダクソウゴウタイイクカン,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区錦糸四丁目15番1号,http://www.sumidacity-gym.com/,03-3623-7273,139.8172152,35.6995475
墨田区役所,スミダクヤクショ,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区吾妻橋一丁目23番20号,http://www.city.sumida.lg.jp/sisetu_info/kuyakusyo/sumidakuyakusyo.html,03-5608-1111,139.801497,35.710722
墨田児童会館　,スミダジドウカイカン　,赤ちゃん休けいスポット,公共施設,トイレ,,おむつ,墨田区墨田二丁目30番15号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/zidoukan/sumida.html,03-3614-7141,139.818932,35.729294
すみだ生涯学習センター,スミダショウガイガクシュウセンター,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区東向島二丁目38番7号,http://www.yutoriya.jp/,03-5247-2001,139.818398,35.721128
すみだ女性センター,スミダジョセイセンター,赤ちゃん休けいスポット,公共施設,,,おむつ,墨田区押上二丁目12番7号111号室,http://www.city.sumida.lg.jp/sisetu_info/tamokuteki/sumida_zyoseicenter/index.html,03-5608-1771,139.812105,35.712706
すみだスポーツ健康センター,スミダスポーツケンコウセンター,赤ちゃん休けいスポット,公共施設,,授乳,おむつ,墨田区東墨田一丁目6番1号,http://www.sumispo.com/,03-5247-7755,139.830555,35.716461
すみだ中小企業センター,スミダチュウショウキギョウセンター,赤ちゃん休けいスポット,公共施設,,,おむつ,墨田区文花一丁目19番1号,http://www.city.sumida.lg.jp/sangyo_matidukuri/kinrou/sisetu/tyusyoukigyou_center/index.html,03-3617-4351,139.823905,35.710607
外手児童館,ソトテジドウカン,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区本所二丁目6番9号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/zidoukan/sotode.html,03-3621-4531,139.800778,35.702991
立川児童館,タテカワジドウカン,赤ちゃん休けいスポット,公共施設,,,おむつ,墨田区立川一丁目5番2号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/zidoukan/tatekawa.html,03-3633-2874,139.799531,35.6905
立花児童館,タチバナジドウカン,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区立花一丁目27番9号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/zidoukan/tatibana.html,03-3619-5781,139.828832,35.705501
立花図書館,タチバナトショカン,赤ちゃん休けいスポット,公共施設,トイレ,,おむつ,墨田区立花六丁目8番1号101号室,http://www.library.sumida.tokyo.jp/libguide?2&pid=31,03-3618-2620,139.834888,35.710483
東京ガス・ライフバル両国　,トウキョウガス・ライフバルリョウゴク　,赤ちゃん休けいスポット,公共施設,トイレ,,,墨田区緑二丁目13番7号,http://www.city.sumida.lg.jp/sisetu_info/sonotasisetu/denki.html,03-3619-4466,139.801274,35.694548
中川児童館,ナカガワジドウカン,赤ちゃん休けいスポット,公共施設,,,おむつ,墨田区立花五丁目18番9号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/zidoukan/nakagawa.html,03-3619-7188,139.830966,35.712977
東駒形コミュニティ会館　,ヒガシコマガタコミュニティカイカン　,赤ちゃん休けいスポット,公共施設,,,おむつ,墨田区東駒形四丁目14番1号,http://www.city.sumida.lg.jp/sisetu_info/tamokuteki/communitykaikan/higashikomagata/index.html,03-3623-1141,139.807754,35.705524
東向島児童館,ヒガシムコウジマジドウカン,赤ちゃん休けいスポット,公共施設,,,おむつ,墨田区東向島六丁目6番12号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/zidoukan/higasi_mukouzima.html,03-3611-2500,139.819709,35.721429
ひきふね図書館,ヒキフネトショカン,赤ちゃん休けいスポット,公共施設,トイレ,,おむつ,墨田区京島一丁目36番5号,http://www.library.sumida.tokyo.jp/libguide?7&pid=28,03-5655-2350,139.819492,35.717058
文花子育てひろば,ブンカコソダテヒロバ,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区文花一丁目20番3号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/kosodate_hiroba.html,03-5630-6027,139.822829,35.710452
