"年度[西暦]","田町[人]","赤坂[人]","芝[人]","麻布東[人]","麻布西[人]","青山[人]","高輪[人]","芝浦港南[人]","合計[人]"
"2017","913361","288558","289113","131056","344829","567010","773928","642598","3950453"
"2018","947499","306264","311892","142423","357277","579051","793030","648024","4085460"
"2019","933401","293738","300907","141266","336538","535210","766030","641632","3948722"
"2020","608652","195111","175316","89430","234388","340724","520232","453108","2616961"
"2021","690726","169777","207035","72283","272862","400409","591632","537524","2942248"

"令和4年度港区行政資料集　コミュニティバス「ちぃばす」の利用者数","Ver202203",,,,,,,,
