"町丁目","調査区域面積[平方メートル]","総合支所","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被地[平方メートル]","緑被地+オープンスペース[平方メートル]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]","裸地率[％]","水面率[％]","緑被率[％]","緑被地+オープンスペース率[％]"
"芝一丁目","66856","芝地区","7281","373","111","0","0","7765","7765","10.89","0.56","0.17","0.00","0.00","11.61","11.61"
"芝二丁目","165806","芝地区","16426","353","1561","348","0","18339","18688","9.91","0.21","0.94","0.21","0.00","11.06","11.27"
"芝三丁目","153826","芝地区","13774","247","1403","635","0","15425","16059","8.95","0.16","0.91","0.41","0.00","10.03","10.44"
"芝四丁目","94317","芝地区","10278","152","682","1315","0","11112","12428","10.90","0.16","0.72","1.39","0.00","11.78","13.18"
"芝五丁目","215034","芝地区","20756","656","2544","1950","0","23955","25906","9.65","0.31","1.18","0.91","0.00","11.14","12.05"
"海岸一丁目","391983","芝地区","57996","12549","5331","2507","15388","75876","93771","14.80","3.20","1.36","0.64","3.93","19.36","23.92"
"東新橋一丁目","235565","芝地区","27404","3185","7366","0","0","37956","37956","11.63","1.35","3.13","0.00","0.00","16.11","16.11"
"東新橋二丁目","73384","芝地区","3849","6","1143","0","0","4998","4998","5.25","0.01","1.56","0.00","0.00","6.81","6.81"
"新橋一丁目","74541","芝地区","3170","130","754","0","0","4053","4053","4.25","0.17","1.01","0.00","0.00","5.44","5.44"
"新橋二丁目","99557","芝地区","2518","0","205","0","0","2723","2723","2.53","0.00","0.21","0.00","0.00","2.74","2.74"
"新橋三丁目","64063","芝地区","2133","7","500","339","0","2640","2979","3.33","0.01","0.78","0.53","0.00","4.12","4.65"
"新橋四丁目","66761","芝地区","3665","0","579","2535","0","4244","6779","5.49","0.00","0.87","3.80","0.00","6.36","10.15"
"新橋五丁目","74374","芝地区","3649","38","665","106","0","4352","4458","4.91","0.05","0.89","0.14","0.00","5.85","5.99"
"新橋六丁目","78507","芝地区","5009","0","643","0","0","5652","5652","6.38","0.00","0.82","0.00","0.00","7.20","7.20"
"西新橋一丁目","104036","芝地区","6929","79","1708","0","0","8716","8716","6.66","0.08","1.64","0.00","0.00","8.38","8.38"
"西新橋二丁目","93208","芝地区","7771","952","634","775","0","9356","10131","8.34","1.02","0.68","0.83","0.00","10.04","10.87"
"西新橋三丁目","114272","芝地区","6429","91","2833","779","0","9353","10132","5.63","0.08","2.48","0.68","0.00","8.19","8.87"
"三田一丁目","231167","芝地区","30394","1869","5214","8606","4692","37477","50775","13.15","0.81","2.26","3.72","2.03","16.21","21.96"
"三田二丁目","318314","芝地区","91423","6420","2424","9825","1941","100266","112032","28.72","2.02","0.76","3.09","0.61","31.50","35.20"
"三田三丁目","165543","芝地区","21660","1113","1765","34","0","24539","24573","13.08","0.67","1.07","0.02","0.00","14.82","14.84"
"浜松町一丁目","88071","芝地区","4226","29","1925","323","0","6181","6504","4.80","0.03","2.19","0.37","0.00","7.02","7.39"
"浜松町二丁目","81920","芝地区","3676","10","2261","3400","420","5948","9767","4.49","0.01","2.76","4.15","0.51","7.26","11.92"
