番号,通称道路名,路線名,施工箇所,用地取得率（％）
[1],秋川街道,主要地方道第32号八王子五日市線,八王子市楢原町（楢原II期）,約38
[2],町田街道,主要地方道第47号八王子町田線,八王子市東浅川町～八王子市狭間町（東浅川）[998KB],約83
[3],,八王子都市計画道路3・3・10号,八王子市緑町～八王子市台町一丁目[1.26MB],約15
[4],,八王子都市計画道路3・4・28号(II期),八王子市石川町～八王子市宇津木町[599KB],約75
[5],高尾街道,主要地方道第46号八王子あきる野線,八王子市四谷町～八王子市泉町（並木橋）,約76
[6],高尾街道,主要地方道第46号八王子あきる野線,八王子市楢原町（八王子北高校）[812KB],約86
[7],北野街道,一般都道第173号上館日野線,八王子市長沼町（長沼町）,約98
[8],北野街道,一般都道第173号上館日野線,日野市南平三丁目、四丁目（南平I期）,約99
[9],北野街道,一般都道第173号上館日野線,日野市南平二丁目、三丁目（南平II期）[1.69MB],約31
[10],北野街道,一般都道第173号上館日野線,日野市南平七丁目～九丁目（南平7～9丁目）,約83
[11],川崎街道,日野都市計画道路3・4・3号(I期),日野市落川～日野市三沢二丁目（三沢I期）[633KB],約80
[12],川崎街道,日野都市計画道路3・4・3号(II期),日野市三沢一丁目～日野市高幡（三沢II期）[671KB],約36
