,産業大分瀬,事業所数(所),従業者数(人),事業所数割合(％),従業者数割合(％)
ABC,農林水産業,17,134,0,0.0
D,鉱業,9,151,0,0.0
E,建設業,8659,97903,6,5.8
F,製造業,23396,211439,15,12.5
G,電気・ガス・熱供給・水道業,35,4619,0,0.3
H,情報通信業,3208,124563,2,7.4
I,運輸業,6479,110757,4,6.5
J,卸売・小売業,45283,488155,29,28.8
K,金融・保険業,2496,90235,2,5.3
L,不動産業,9437,43575,6,2.6
M,飲食店、宿泊業,22809,151703,15,9.0
N,医療、福祉,5462,62191,3,3.7
O,教育.学習支援業,1826,19953,1,1.2
P,複合サービス事業,387,1865,0,0.1
Q,サービス業（他に分類されないもの）,27297,285762,17,16.9
,総数,156800,1693005,100,100.0
