水系,河川名,区域,管内区間延長（km）,管内流域面積(km2)
多摩川水系,多摩川,西多摩郡奥多摩町留浦鴨沢橋から万年橋まで,36.60,165.0
多摩川水系,残堀川,西多摩郡瑞穂町箱根ヶ崎７１１番地先狭山が池から下砂橋まで,1.99,11.1
多摩川水系,秋川,西多摩郡桧原村数馬７０１８番地先新大平橋から多摩川合流点まで,33.57,101.9
多摩川水系,養沢川,あきる野市養沢８９５番地先柿平橋から秋川合流点まで,7.30,19.3
多摩川水系,北秋川,西多摩郡桧原村藤原（小岳沢合流点）除毛橋から秋川合流点まで,10.4,46.1
多摩川水系,平井川,西多摩郡日の出町大久野４４１９番地先松尾橋から多摩川合流点まで,16.45,27.1
多摩川水系,氷沢川,あきる野市草花２１３０番地先橋場橋から平井川合流点まで,1.10,1.2
多摩川水系,鯉川,あきる野市菅生１８０４、１８１７番地先菅生高校入口橋から平井川合流点まで,3.00,3.7
多摩川水系,玉の内川,西多摩郡日の出町大久野１１１２番地先地蔵橋から平井川合流点まで,1.50,2.3
多摩川水系,北大久野川,西多摩郡日の出町大久野５１１２番地先ぐみ窪橋から平井川合流点まで,5.50,4.6
多摩川水系,大荷田川,青梅市長淵９丁目１４１２、９８０番地先から多摩川合流点まで,3.10,2.5
多摩川水系,鳶巣川,青梅市長淵５丁目１３９８、１０９０番地先から多摩川合流点まで,2.50,2.5
多摩川水系,日原川,西多摩郡奥多摩町日原（小川谷合流点）から多摩川合流点まで,9.00,93.8
多摩川水系,小菅川,西多摩郡奥多摩町川野、山梨県境から多摩川合流点まで,2.11,5.0
多摩川水系,計,14河川,134.12,486.1
荒川水系,霞川,青梅市東青梅２丁目８番地先柿沢橋から埼玉県境まで,5.50,10.6
荒川水系,成木川,青梅市成木７丁目１３０４、１２４８番地先大正院橋から埼玉県境まで,12.67,8.8
荒川水系,黒沢川,青梅市黒沢３丁目１９０５、１８７２番地先栃谷橋から成木川合流点まで,7.12,14.3
荒川水系,北小曽木川,青梅市成木８丁目１０８３番地先白岩中の橋から成木川合流点まで,4.80,7.0
荒川水系,直竹川,青梅市成木１丁目７８９番地先（右岸のみ）青梅成１号橋から成木川合流点まで,0.52,0.0
荒川水系,計,5河川,30.61,40.7
,合計,19河川,164.73,526.8
