年度,天神橋環境局(pg-TEQ/g),天神橋建設局(pg-TEQ/g),備考
14,,300,WHOの1998年時の基準で計算
15,,410,WHOの1998年時の基準で計算
16,,570,WHOの1998年時の基準で計算
17,,280,WHOの1998年時の基準で計算
18,150,230,WHOの2006年時の基準で計算
18,160,270,WHOの1998年時の基準で計算
19,88,190,WHOの2006年時の基準で計算
19,98,290,WHOの1998年時の基準で計算
20,260,210,WHOの2006年時の基準で計算
21,210,310,WHOの2006年時の基準で計算
22,150,320,WHOの2006年時の基準で計算
23,110,270,WHOの2006年時の基準で計算
24,150,200,WHOの2006年時の基準で計算
