想定地震,マグニチュード,津波高(m),出典
関東地震,7.9,0.9～1.2,平成3年9月東京都防災会議
東海・東南海・南海,8.5,0.0～1.0,平成15年12月中央防災会議
首都直下地震,7.3,0.0～0.5,平成17年7月中央防災会議
