番号,名称,所管事務所,路線名,所在地,工法,建設年度,延長(m)
1,日比谷地下自動車道,第一建設事務所,日比谷豊洲埠頭東雲町線,中央区・千代田区,開削,S43,582.0
2,新橋地下自動車道,第一建設事務所,日本橋芝浦大森線,中央区・港区,開削,S41,493.3
12,仙台坂トンネル,第二建設事務所,鮫洲大山線,品川区,開削,H9,232.0
13,平和隧道,第二建設事務所,環状七号線,大田区,開削,S49,216.6
15,東海隧道,第二建設事務所,環状七号線,大田区,開削,S64,426.0
25,白鬚東地下自動車道,第五建設事務所,吾妻橋伊興町線,墨田区,開削,S60,376.7
33,鳩の巣トンネル,西多摩建設事務所,国道411号,西多摩郡奥多摩町,山岳,S35,78.0
34,花折トンネル,西多摩建設事務所,国道411号,西多摩郡奥多摩町,山岳,S36,108.0
37,橋詰トンネル,西多摩建設事務所,国道411号,西多摩郡奥多摩町,山岳,S13,238.0
43,中山トンネル,西多摩建設事務所,国道411号,西多摩郡奥多摩町,山岳,S18,391.0
44,大麦代トンネル,西多摩建設事務所,国道411号,西多摩郡奥多摩町,山岳,S33,538.0
46,室沢トンネル,西多摩建設事務所,国道411号,西多摩郡奥多摩町,山岳,S33,215.0
48,女の湯トンネル,西多摩建設事務所,国道411号,西多摩郡奥多摩町,山岳,S33,124.0
49,あづまいトンネル,西多摩建設事務所,国道411号,西多摩郡奥多摩町,山岳,S33,96.0
52,川野トンネル,西多摩建設事務所,国道411号,西多摩郡奥多摩町,山岳,S33,139.5
53,竹の花トンネル,西多摩建設事務所,国道411号,西多摩郡奥多摩町,山岳,S33,94.0
59,青梅坂トンネル,西多摩建設事務所,青梅秩父線,青梅市,山岳,S52,127.0
60,吹上トンネル,西多摩建設事務所,青梅秩父線,青梅市,山岳,S28,245.1
70,日原トンネル,西多摩建設事務所,日原鍾乳洞線,西多摩郡奥多摩町,山岳,S54,1107.0
108,大坂トンネル,八丈支庁,八丈循環線,八丈町,山岳,S43,167.0
111,丸山トンネル,小笠原支庁,父島循環線,小笠原村,山岳,S47,145.7
112,長崎トンネル,小笠原支庁,父島循環線,小笠原村,山岳,S56,70.0
113,第一トンネル,小笠原支庁,父島循環線,小笠原村,山岳,S49,210.0
114,第三トンネル,小笠原支庁,父島循環線,小笠原村,山岳,S51,67.5
115,第四トンネル,小笠原支庁,父島循環線,小笠原村,山岳,S52,253.0
116,第五トンネル,小笠原支庁,父島循環線,小笠原村,山岳,S50,88.0
