工区名,所管区域,所在地,最寄り駅,お問い合わせ先
千代田工区,千代田区内の都道,千代田区神田松永町119番地,JR線秋葉原駅/日比谷線秋葉原駅/銀座線末広町駅,03-5295-0225
中央工区,中央区内の都道,中央区明石町5-21,有楽町線新富町駅/日比谷線築地駅,03-3544-8831
港工区,港区内の都道,港区三田1-2-13,大江戸線赤羽橋駅/南北線麻布十番駅,03-3452-1464
環二工事事務所,環状第2号線,中央区明石町2-4（第一建設事務所3階）,有楽町線新富町駅/日比谷線築地駅,03-6264-0057
