年月日,原因,浸水面積(ha),被害棟数床下,被害棟数床上,雨量観測所,日雨量又は総雨量(mm),時間最大雨量(mm)
11.8.29,集中豪雨,15.6,334,293,高浜,125,115
12.7.3,集中豪雨,1.1,34,8,高浜,44,43
平成12年7月4目,集中豪雨,1.9,161,60,中央,88,84
16.10.9,台風22号,0.5,20,15,中央,222,70
16.10.20,台風23号,0.6,32,14,中央,201,48
17.5.23,集中豪雨,0.5,12,1,中央,52,20
平成17年9月4目,集中豪雨,0.1,5,3,中央,80,68
17.9.11,集中豪雨,0.4,16,15,上目黒,86,58
