箇所番号,交差点名,種別,整理番号,路線名,通称道路名,区市町名,主管建設事務所名
1,旧日光街道,主要地方道,5,新宿青梅線,青梅街道,瑞穂町,西多摩建設事務所
2,西砂町宮沢,主要地方道,7,杉並あきる野線,五日市街道,立川市,北多摩北部建設事務所
3,松中団地南,主要地方道,7,杉並あきる野線,五日市街道,立川市,北多摩北部建設事務所
4,小金井橋,主要地方道,7,杉並あきる野線,五日市街道,小平市,北多摩北部建設事務所
5,石神井中学校前,主要地方道,8,千代田練馬田無線,富士街道,練馬区,第四建設事務所
6,日赤病院前,主要地方道,12,調布田無線,武蔵境通り,三鷹市,北多摩南部建設事務所
7,小島町,主要地方道,12,調布田無線,,調布市,北多摩南部建設事務所
8,前原交番前,主要地方道,15,府中清瀬線,小金井街道,小金井市,北多摩南部建設事務所
9,前原交番西,主要地方道,15,府中清瀬線,小金井街道,小金井市,北多摩南部建設事務所
10,鶴川四丁目,主要地方道,19,町田調布線,,町田市,南多摩東部建設事務所
11,郵便局前,主要地方道,24,練馬所沢線,小金井街道,清瀬市,北多摩北部建設事務所
12,清瀬中里,主要地方道,24,練馬所沢線,小金井街道,清瀬市,北多摩北部建設事務所
13,石神井小学校前,主要地方道,25,飯田橋石神井新座線,旧早稲田通り,練馬区,第四建設事務所
14,福生新橋,主要地方道,29,立川青梅線,奥多摩街道,福生市,西多摩建設事務所
15,栄町二丁目,主要地方道,36,保谷志木線,,西東京市,北多摩南部建設事務所
16,並木橋,主要地方道,46,八王子あきる野線,高尾街道,八王子市,南多摩西部建設事務所
17,森野,主要地方道,47,八王子町田線,,町田市,南多摩東部建設事務所
18,比丘尼,主要地方道,68,練馬川口線,,練馬区,第四建設事務所
19,三鷹市役所前,一般都道,110,府中三鷹線,人見街道,三鷹市,北多摩南部建設事務所
20,野川大橋北詰,一般都道,114,武蔵野狛江線,松原通り,調布市,北多摩南部建設事務所
21,松原,一般都道,114,武蔵野狛江線,松原通り,狛江市,北多摩南部建設事務所
22,新川二丁目,一般都道,117,世田谷三鷹線,吉祥寺通り,三鷹市,北多摩南部建設事務所
23,下石原一丁目,一般都道,119,北浦上石原線,旧甲州街道,調布市,北多摩南部建設事務所
24,佐須町,一般都道,121,武蔵野調布線,三鷹通り,調布市,北多摩南部建設事務所
25,小金井警察署前,一般都道,134,恋ヶ窪新田三鷹線,連雀通り,小金井市,北多摩南部建設事務所
26,熊野神社前,一般都道,140,川崎町田線,成瀬街道,町田市,南多摩東部建設事務所
27,南二小東,一般都道,140,川崎町田線,成瀬街道,町田市,南多摩東部建設事務所
28,宝蔵橋,一般都道,157,乞田東寺方線,,多摩市,南多摩東部建設事務所
29,三多摩市場,一般都道,162,三ツ木八王子線,,昭島市,北多摩北部建設事務所
30,三ツ木伊奈平,一般都道,162,三ツ木八王子線,,武蔵村山市,北多摩北部建設事務所
31,田島橋,一般都道,169,淵上日野線,,八王子市,南多摩西部建設事務所
32,小比企町,一般都道,173,上館日野線,北野街道,八王子市,南多摩西部建設事務所
33,上壱分方町,一般都道,521,上野原八王子線,陣馬街道,八王子市,南多摩西部建設事務所
