エリア,車道幅員13m以上延長(km),車道幅員14m以上割合(％),車道幅員13m未満延長(km),車道幅員14m未満割合(％),延長合計(km),合計割合(％),備考
区部,467.4,52.2,427.2,47.8,894.6,100,
多摩地域,116.8,10.7,978.2,89.3,1095.0,100,
島しょ,0.8,0.3,239.7,99.7,240.5,100,
合計,585.0,26.2,1645.1,73.8,2230.1,100,
,,,,,,,平成25年度末時点
,,,,,,,※延長は、都が管理する国道及び都道の延長です。
,,,,,,,※各項目は、少数第二位以下を四措五入して集計しています。
